"reason","service_request_type","total_service_requests","month","year","month_number"
"Recreation & Leisure","Program Reg - Process a Registration","2699","January","2015","1"
"Parking Authority","Parking Ticket Payment","1319","January","2015","1"
"Water","Transferred to the Utility Billing Centre","1157","January","2015","1"
"Garbage & Recycling","Carts Damaged By Collection Crews","1039","January","2015","1"
"Garbage & Recycling","Request for Bulky Pick Up - 10 Items","811","January","2015","1"
"Transit","Transit Lost Property Report","757","January","2015","1"
"Transit","TR Employees,Schedules,Routes,SchoolService Report","687","January","2015","1"
"Garbage & Recycling","Missed Garbage Collection Deficiency","644","January","2015","1"
"Parking Authority","Parking Infraction Report","502","January","2015","1"
"Animal Services","Renew Dog License Payment","443","January","2015","1"
