"reason","information_request_type","month_number","total_information_requests","month","year"
"Transit","Bus Schedule Inquiry","1","45891","January","2015"
"Non-City Services","Non-City Related Phone Number Request","1","5030","January","2015"
"Assessment & Tax","Assessment & Tax Inquiry","1","3108","January","2015"
"Garbage & Recycling","Garbage & Recycling Inquiry","1","2449","January","2015"
"311 Information","311 Use of iView Map Themes","1","2277","January","2015"
"Parking Authority","Parking Authority General Inquiry","1","2036","January","2015"
"Recreation & Leisure","Aquatics-Indoor Pool Inquiry","1","1997","January","2015"
"Street Maintenance","Know Your Zone Inquiry","1","1686","January","2015"
"Street Maintenance","Street Maintenance General Inquiry","1","1392","January","2015"
"Face to Face Interaction","311 Counter Utility Billing Payment","1","1350","January","2015"
