"year","format","type","number_of_files","total_size","average_size","resolution","data_location"
"2021","ECW","Mosaic","1","16.1GB","16.1GB","7.5cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2021/MBCWPG21_Property_Delivery.ecw"
"2021","ECW","Tile Collection","1","76.1GB","76.1GB","7.5cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2021/2021_ECW_Tiles_High_Res.zip"
"2021","ECW","Tiles","929","76.2GB","84.1MB","7.5cm","https://data.winnipeg.ca/City-Planning/Map-of-2021-Orthographic-Photography-Tiles/4gcd-nan4"
"2021","GeoTIFF","Tile Collection","1","225.5GB","225.5GB","7.5cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2021/2021_geotiff_tiles.zip"
"2018","ECW","Mosaic","1","13.5GM","13.5GB","7.5cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2018/MBCWPG18_Delivery_Updated.ecw"
"2018","ECW","Tile Collection","1","63.9GB","63.9GB","7.5cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2018/2018_ECW_Tiles.zip"
"2018","ECW","Tiles","929","66.6GB","73.41MB","7.5cm","https://data.winnipeg.ca/City-Planning/Map-of-2018-Orthographic-Photography-Tiles/nk39-ibwt"
"2016","ECW","Mosaic","1","10.6GB","10.6GB","7.5cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2016/MBCWPG16_Delivery.ecw"
"2016","ECW","Tile Collection","1","51.5GB","51.5GB","7.5cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2016/2016_ECW_Tiles.zip"
"2016","ECW","Tiles","929","53.3GB","58.75MB","7.5cm","https://data.winnipeg.ca/City-Planning/Map-of-2016-Orthographic-Photography-Tiles/rutj-999b"
"2014","ECW","Mosaic","1","7.7GB","7.7GB","10cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2014/MBCWPG14_Delivery.ecw"
"2014","ECW","Tile Collection","1","36.9GB","36.9GB","10cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2014/2014_ECW_Tiles.zip"
"2014","ECW","Tiles","2036","38.4GB","19.3MB","10cm","https://data.winnipeg.ca/City-Planning/Map-of-2014-Orthographic-Photography-Tiles/vkfd-sd2e"
"2012","ECW","Mosaic","1","8.2GB","8.2GB","10cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2012/MBCWPG12-ECW-AREA-WIDE-10CM.ecw"
"2012","ECW","Tile Collection","1","34.1GB","34.1GB","10cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2012/2012_ECW_Tiles.zip"
"2012","ECW","Tiles","2168","35GB","16.5MB","10cm","https://data.winnipeg.ca/City-Planning/Map-of-2012-Orthographic-Photography-Tiles/s9ye-ycyb"
"2009","ECW","Mosaic","1","3.0GB","3.0GB","20cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2009/2009WinnipegUrban_20cm.ecw"
"2009","ECW","Tile Collection","1","7.9GB","7.9GB","20cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2009/2009_ECW_Tiles.zip"
"2009","ECW","Tiles","549","8.0GB","15MB","20cm","https://data.winnipeg.ca/City-Planning/Map-of-2009-Orthographic-Photography-Tiles/3c9f-f3q5"
"2005","ECW","Mosaic","1","1.3GB","1.3GB","20cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2005/2005_CoW_25.ecw"
"2005","ECW","Tile Collection","1","1.0GB","1.0GB","20cm","https://wpgopendata.blob.core.windows.net/ortho-photos-2005/2005_ECW_Tiles.zip"
"2005","ECW","Tiles","549","1.2GB","2.2MB","20cm","https://data.winnipeg.ca/City-Planning/Map-of-2005-Orthographic-Photography-Tiles/wndh-62sw"
