"reason","information_request_type","total","month","year","month_number"
"Transit","Bus Schedule Inquiry","24586","August","2014","8"
"Non-City Services","Non-City Related Phone Number Request","3867","August","2014","8"
"Assessment & Tax","Assessment & Tax Inquiry","2619","August","2014","8"
"Recreation & Leisure","CmS Other-Recreation & Leisure Inquiry","2230","August","2014","8"
"311 Information","iView Use of Map Themes","2197","August","2014","8"
"Recreation & Leisure","Aquatics-Indoor Pool Inquiry","1421","August","2014","8"
"Garbage & Recycling","Garbage & Recycling Inquiry","1294","August","2014","8"
"Parking Authority","Parking Authority General Inquiry","1289","August","2014","8"
"Street Maintenance","Street Maintenance General Inquiry","1231","August","2014","8"
"Face to Face Interaction","311 Counter Utility Billing Payment","1113","August","2014","8"
