"reason","information_request_type","month_number","total_information_requests","month","year"
"Transit","Bus Schedule Inquiry","3","41017","March","2015"
"Non-City Services","Non-City Related Phone Number Request","3","5440","March","2015"
"Assessment & Tax","Assessment & Tax Inquiry","3","4566","March","2015"
"Recreation & Leisure","CmS Other-Recreation & Leisure Inquiry","3","3058","March","2015"
"311 Information","311 Use of iView Map Themes","3","2044","March","2015"
"Parking Authority","Parking Authority General Inquiry","3","1862","March","2015"
"Recreation & Leisure","Aquatics-Indoor Pool Inquiry","3","1641","March","2015"
"Face to Face Interaction","311 Counter Utility Billing Payment","3","1497","March","2015"
"Street Maintenance","Street Maintenance General Inquiry","3","1382","March","2015"
"Non-City Services","Calls to 311 for MB Hydro","3","1218","March","2015"
