"id","additionsqft","applicationnumber","buildingfinallastinspdate","buildingfinallastinspresult","buildingpermitstatusdesc","buildingpermitstatusreas","certificatecode","certificatedate","companyaddress","companycity","companyname","companyzip","daysincity","daysincitynumeric","deliveryaddress","firstsubmissiondate","folionumber","ispermitfinal","isprivateprovider","issueddate","latitude","longitude","miami21zone","newadditioncost","permitnumber","planaccepteddate","plancreateddate","processnumber","propertytype","remodelingcost","remsqft","requiredcertificate","scopeofwork","statusdate","totalcost","totaldaysinplanreview","totaldaysinplanreviewnumeric","totalsqft","workitems","geocoded_column"
"1","0","BD12000144",,,"Expired","Permit is Expired",,,"6213 SW 25 ST","MIAMI","SECURITY PLUS INDUSTRIES INC","33155","0 Day(s) 0 Hour(s) 27 Minute(s)","0","1475 SW 8 ST","2012-03-21T08:43:00.000","141020540001","false","false","2012-03-21T11:24:00.000","25.765970244658500","-80.219016409333600","T6-8-O","0","BD12000144001E001","2012-03-21T08:43:00.000","2012-03-21T08:19:00.000","BD12000144001","Commercial","0","0",,"ELECTRICAL","2019-01-16T10:52:00.000","9500","0 Day(s) 2 Hour(s) 41 Minute(s)","0","0","CCTV","POINT (-80.2190164093336 25.7659702446585)"
"2","0","BD12005697",,,"Expired","Permit is Expired",,,"12640 SW 222 TERR","MIAMI","FASCIA CONSTRUCTION INC","33170","1 Day(s) 7 Hour(s) 7 Minute(s)","1","900 BISCAYNE BLVD # 902","2012-08-08T11:11:00.000","132310690570","false","false","2012-08-23T13:31:00.000","25.783114852685500","-80.189756544172600","T6-80-O","0","BD12005697001B001","2012-08-08T11:11:00.000","2012-08-08T10:26:00.000","BD12005697001","Commercial","35000","600","CC","REMODELING/REPAIRS","2019-01-20T00:10:00.000","35000","15 Day(s) 2 Hour(s) 20 Minute(s)","15","600","PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION","POINT (-80.1897565441726 25.7831148526855)"
"3","0","BD12005697",,,"Expired","Permit is Expired",,,"10257 NW 9 ST CIR#205","MIAMI","INDUSTRIAL ELECTRICAL SYSTEMS CORP","33132","1 Day(s) 7 Hour(s) 7 Minute(s)","1","900 BISCAYNE BLVD # 902","2012-08-08T11:11:00.000","132310690570","false","false","2012-08-31T11:44:00.000","25.783114852685500","-80.189756544172600","T6-80-O","0","BD12005697001E001","2012-08-08T11:11:00.000","2012-08-08T10:26:00.000","BD12005697001","Commercial","0","600","CC","REMODELING/REPAIRS","2019-01-20T00:10:00.000","8000","23 Day(s) 0 Hour(s) 33 Minute(s)","23","600","A/C  CENTRAL|LIGHT SOCKET|LOW VOLTAGE COMPUTER / TV CABLE / PHONE TERMINAL|ROUGH WIRING OUTLETS|SUB-FEEDS|SWITCHBOARD|WATER HEATER / BOILER|TRANSFORMER","POINT (-80.1897565441726 25.7831148526855)"
"4","0","BD12005697",,,"Expired","Permit is Expired",,,"8810 Fountainbleau Blvd.","Miami","Fahreinheit Services Air Conditioning & Refrigeration  Inc.","33172","1 Day(s) 7 Hour(s) 7 Minute(s)","1","900 BISCAYNE BLVD # 902","2012-08-08T11:11:00.000","132310690570","false","false","2012-09-07T13:56:00.000","25.783114852685500","-80.189756544172600","T6-80-O","0","BD12005697001MA001","2012-08-08T11:11:00.000","2012-08-08T10:26:00.000","BD12005697001","Commercial","0","600","CC","REMODELING/REPAIRS","2019-01-20T00:10:00.000","7000","30 Day(s) 2 Hour(s) 45 Minute(s)","30","600","NEW CENTRAL AC / HEATING SYSTEM|SHEET METAL WORK","POINT (-80.1897565441726 25.7831148526855)"
"5","0","BD12009159",,,"Expired","Permit is Expired",,,"1606 Pennsylvania Ave #6","Miami Beach","Einhorn Construction Inc.","33139","0 Day(s) 9 Hour(s) 28 Minute(s)","0","2500 NE 2 AV","2012-10-31T09:44:00.000","131250090020","false","false","2013-01-15T12:31:00.000","25.801011291158300","-80.191070046862300","T6-12-O","0","BD12009159001B001","2012-10-31T09:44:00.000","2012-10-31T09:23:00.000","BD12009159001","Commercial","18000","755","CC","REMODELING/REPAIRS","2018-12-16T00:10:00.000","18000","76 Day(s) 2 Hour(s) 47 Minute(s)","76","755","RESTAURANT (LESS THAN 50 OCCUPANTS)","POINT (-80.1910700468623 25.8010112911583)"
"6","0","BD12009159",,,"Expired","Permit is Expired",,,"1265 NW 203 ST","Miami Gardens","MG Plumbing & Sprinkler Service","33169","0 Day(s) 12 Hour(s) 10 Minute(s)","0","2500 NE 2 AV","2012-10-31T09:44:00.000","131250090020","false","false","2013-02-12T09:20:00.000","25.801011291158300","-80.191070046862300","T6-12-O","0","BD12009159001PG001","2012-10-31T09:44:00.000","2012-10-31T09:23:00.000","BD12009159001","Commercial","0","755","CC","REMODELING/REPAIRS","2018-12-16T00:10:00.000","1350","103 Day(s) 23 Hour(s) 36 Minute(s)","103","755","NATURAL GAS &amp; LIQUID PETROL|APPLIANCE SET: OVEN |ROUGH OUTLET: OVEN","POINT (-80.1910700468623 25.8010112911583)"
"7","0","BD13019305",,,"Revoked","Revoked",,,"444 SW 2ND AVE","MIAMI","TRANSFER BZ PERMITS","0","0 Day(s) 3 Hour(s) 44 Minute(s)","0","231 NW 42 AV","2013-06-24T09:09:00.000","141050100020","false","false","2013-06-24T14:14:00.000","25.774203108662700","-80.263685508014600","T6-8-O",,"BD13019305001B001","2013-06-21T15:51:00.000","2013-06-14T07:43:00.000","BD13019305001","Commercial",,"0",,"PHASED PERMIT","2019-01-25T10:54:00.000","400000","2 Day(s) 22 Hour(s) 23 Minute(s)","2","0","PHASE CLASS I: FULL VERTICAL","POINT (-80.2636855080146 25.7742031086627)"
"8","4606","BD15011611",,,"Active","Permit is Active. Ready for Inspections.",,,"5923 ANGLERS AV UNIT G2","DANIA","GENERAL GREEN CONSTRUCTION CORP","33312","196 Day(s) 16 Hour(s) 50 Minute(s)","196","2231 TIGER TAIL AV","2015-08-17T14:13:00.000","141220011091","false","false","2018-12-12T15:07:00.000","25.737162184278300","-80.230317121826900","T3-R","575750","BD15011611001B001","2015-08-17T14:12:00.000","2015-08-17T11:23:00.000","BD15011611001","Residential","0","0","CO","NEW CONSTRUCTION","2018-12-12T15:07:00.000","575750","1213 Day(s) 0 Hour(s) 55 Minute(s)","1213","4606","SINGLE FAMILY RESIDENCE","POINT (-80.2303171218269 25.7371621842783)"
"9","0","BD15015847",,,"Expired","Permit is Expired",,,"4904 SW 72 AVE","MIAMI","PALMCORP MANAGEMENT LLC","33155","18 Day(s) 19 Hour(s) 45 Minute(s)","18","954 NE 87 ST","2015-11-12T15:54:00.000","132070830030","false","false","2016-01-14T11:03:00.000","25.855348705600200","-80.178136026283500","T3-R",,"BD15015847001L001","2015-11-12T15:53:00.000","2015-11-12T09:02:00.000","BD15015847001","Residential",,"0",,"TREE PERMIT","2019-01-06T00:10:00.000",,"62 Day(s) 19 Hour(s) 10 Minute(s)","62","0","TREE REMOVAL","POINT (-80.1781360262835 25.8553487056002)"
"10","1","BD17000022",,,"Expired","Permit is Expired",,,,,,,"184 Day(s) 23 Hour(s) 37 Minute(s)","184","333 SW 16 AV","2017-01-30T15:12:00.000","141020063260","false","false","2017-01-30T15:21:00.000","25.769829234196600","-80.221175859538700","T4-L","1000","BD17000022001B001","2017-01-30T15:11:00.000","2017-01-30T15:02:00.000","BD17000022001","Residential","1000","1","CO","ADDITION AND REMODELING","2019-01-11T00:10:00.000","2000","0 Day(s) 0 Hour(s) 10 Minute(s)","0","2","SINGLE FAMILY RESIDENCE","POINT (-80.2211758595387 25.7698292341966)"
