"ticket_id","issue_type","issue_description","case_owner","case_owner_description","street_address","city","state","zip_code","neighborhood_district","created_year_month","ticket_created_date_time","ticket_last_updated_date_time","ticket_closed_date_time","ticket_status","x_coordinate","y_coordinate","latitude","longitude","location","method_received","goal_days","actual_completed_days"
,,,,,,,,,,,,,,,,,,,,,,
"16-10034126","POTHOLE",,"COM_PW","COM_PW","SW 18TH AVE & SW 1ST ST","City_of_Miami","Florida","33135","District 5","20161","01/28/2016 14:13:25","10/26/2016 11:28:37","10/26/2016 11:28:37","CLOSED","911272.996","523508.653","25.771819","-80.224809","SW 18TH AVE & SW 1ST ST
MIAMI, Florida 33135
(25.771819, -80.224809)","PHONE","30","272"
"18-10509141","TREE TRIM AND ROOT PRUNING",,"COM_PW","COM_PW","798 NW 55TH ST","City_of_Miami","Florida","33127","District 3","201812","12/13/2018 13:20:37","03/11/2019 13:41:19","03/11/2019 13:41:19","CLOSED","915921.185","543018.061","25.825417","-80.21033","798 NW 55TH ST
MIAMI, Florida 33127
(25.825417, -80.21033)","PHONE","36","88"
"13-00055252","CODE ENFORCEMENT CU INSPECTION REQUEST",,"COM_Code_Enforcement","COM_Code_Enforcement","3480 MAIN HWY","City_of_Miami","Florida","33133","District 7","20132","02/26/2013 14:25:05","03/22/2013 11:55:01","03/22/2013 11:55:01","CLOSED","904987.5625","507064.625","25.726679","-80.244194","3480 MAIN HWY
MIAMI, Florida 33133
(25.726679, -80.244194)","PHONE","10","24"
"15-10229194","FIRE CU INSPECTION REQUEST",,"COM_Fire-Rescue","COM_Fire-Rescue","1201 BRICKELL AVE","City_of_Miami","Florida","33131","District 5","20157","07/14/2015 13:53:30","07/15/2015 09:42:28","07/15/2015 09:42:28","CLOSED","922322.622","519972.497","25.761908","-80.191301","1201 BRICKELL AVE
MIAMI, Florida 33131
(25.761908, -80.191301)","PHONE","5","1"
"16-10053438","CODE ENFORCEMENT CU INSPECTION REQUEST",,"COM_Code_Enforcement","COM_Code_Enforcement","2060 NW 22ND AVE","City_of_Miami","Florida","33142","District 3","20162","02/10/2016 09:48:18","02/19/2016 16:15:30",,"LOCKED","908905.333","532162.164","25.795665","-80.23185","2060 NW 22ND AVE
MIAMI, Florida 33142
(25.795665, -80.23185)","PHONE","10",
"18-10514947","RECYCLING CART DAMAGED",,"COM_SW","COM_SW","8351 NE 8TH CT","City_of_Miami","Florida","33138","District 3","201812","12/18/2018 13:20:44","12/24/2018 10:06:35","12/24/2018 10:06:35","CLOSED","925913.747","552906.062","25.852452","-80.179767","8351 NE 8TH CT
MIAMI, Florida 33138
(25.852452, -80.179767)","PHONE","10","6"
"16-10277662","TREE TRIM AND ROOT PRUNING",,"COM_PW","COM_PW","1661 CORAL GATE DR","City_of_Miami","Florida","33145","District 7","20167","07/20/2016 15:10:42","09/25/2018 11:46:56","09/25/2018 11:46:56","CLOSED","902983.997","517671.966","25.755893","-80.250096","1661 CORAL GATE DR
MIAMI, Florida 33145
(25.755893, -80.250096)","EMAIL","36","797"
"18-10180735","GARBAGE - MISSED",,"COM_SW","COM_SW","3270 NW 15TH ST","City_of_Miami","Florida","33125","District 5","20185","05/07/2018 17:20:43","05/08/2018 15:18:53","05/08/2018 15:18:52","CLOSED","903213.309","529314.937","25.787922","-80.249198","3270 NW 15TH ST
MIAMI, Florida 33125
(25.787922, -80.249198)","PHONE","1","1"
"15-10433582","OVERGROWN LOT",,"COM_Code_Enforcement","COM_Code_Enforcement","2009 SW 9TH ST","City_of_Miami","Florida","33135","District 5","201512","12/28/2015 11:00:46","01/04/2016 14:16:29","01/04/2016 14:16:30","CLOSED","910095.436","520934.654","25.764757","-80.228433","2009 SW 9TH ST
MIAMI, Florida 33135
(25.764757, -80.228433)","PHONE","7","7"
"18-10306639","SWALE GRADING / DROP OFF REPAIR",,"COM_PW","COM_PW","2103 SW 11TH ST","City_of_Miami","Florida","33135","District 5","20187","07/24/2018 15:14:58","08/15/2018 07:44:05","08/15/2018 07:42:45","CLOSED","909953.873","520291.031","25.762988","-80.228875","2103 SW 11TH ST
MIAMI, Florida 33135
(25.762988, -80.228875)","PHONE","42","22"
"13-00020909","SOLID WASTE MISCELLANEOUS REQUESTS",,"COM_SW","COM_SW","3128 NW 13TH AVE","City_of_Miami","Florida","33142","District 3","20131","01/22/2013 19:33:55","01/23/2013 13:42:20","01/23/2013 13:42:20","CLOSED","913523.375","536022.5625","25.806211","-80.217746","3128 NW 13TH AVE
MIAMI, Florida 33142
(25.806211, -80.217746)","PHONE","5","1"
"17-10403833","DEAD ANIMAL PICKUP",,"COM_SW","COM_SW","1910 NW 32ND AVE","City_of_Miami","Florida","33125","District 5","201710","10/17/2017 07:28:29","10/17/2017 08:44:41","10/17/2017 08:44:41","CLOSED","903536.31","531130.436","25.792912","-80.248185","1910 NW 32ND AVE
MIAMI, Florida 33125
(25.792912, -80.248185)","PHONE","1","0"
