"provider_name","address1","address2","city","state","zip","last_report_date","public_website","phone_number","geopoint"
"WALGREENS STORE #11795","3551 CASSOPOLIS ST",,"ELKHART","IN","46514","2022-08-25T00:00:00.000","https://www.walgreens.com/findcare/services",,"POINT (-85.97459 41.73845)"
"WALGREENS STORE #04858","6205 WESTCREEK DR",,"FORT WORTH","TX","76133","2022-08-25T00:00:00.000","https://www.walgreens.com/findcare/services",,"POINT (-97.36131 32.654665)"
"CVS Store #05942","7285 S. DURANGO DR.","CVS Pharmacy","LAS VEGAS","NV","89113","2022-08-24T00:00:00.000","https://www.cvs.com/coronavirus",,"POINT (-115.27978 36.056105)"
"HEALTH PARTNERS - QUICK CARE","1550 N Main St",,"Lima","OH","45801","2022-08-18T00:00:00.000",,"419-516-0327","POINT (-84.10443 40.7624)"
"PICKENS COUNTY PRIMARY CARE PC","108 4th Ave SW","Suite A","Reform","AL","35481","2022-08-25T00:00:00.000",,,"POINT (-86.844926 34.172365)"
"DELTA DRUGS","437 FERNANDO CT",,"GLENDALE","CA","91204","2022-08-25T00:00:00.000",,,"POINT (-118.26141 34.12862)"
"Rolette Clinic","401 2nd Ave",,"Rolette","ND","58366","2022-05-03T00:00:00.000",,,"POINT (-99.79246 48.63554)"
"Monarch Pharmacy Glendora","707 W Route 66","Ste 103","Glendora","CA","91740","2022-08-25T00:00:00.000",,,"POINT (-117.87668 34.1291)"
"Wellstreet - Farmington Hills","27810 Grand River Ave",,"Farmington Hills","MI","48336",,,,"POINT (-83.327325 42.450195)"
"PREMIER URGENT CARE ALEXANDRIA","3601 Jackson St",,"Alexandria","LA","71303","2022-08-25T00:00:00.000",,,"POINT (-92.47717 31.28302)"
"KROGER PHARMACY 01600842","5965 HOOVER RD",,"GROVE CITY","OH","43123","2022-08-25T00:00:00.000","https://www.kroger.com/health/pharmacy/covid-19-treatment",,"POINT (-83.074805 39.841025)"
"CVS STORE #09606","29610 RANCHO CALIFORNIA RD","CVS Pharmacy","TEMECULA","CA","92591","2022-08-24T00:00:00.000","https://www.cvs.com/coronavirus",,"POINT (-117.14733 33.5058)"
"WALGREENS STORE #06498","2950 GEORGE DIETER DR",,"EL PASO","TX","79936","2022-08-25T00:00:00.000","https://www.walgreens.com/locator/walgreens-2950+george+dieter+dr-el%20paso-tx-79936/id=6498",,"POINT (-106.30219 31.78126)"
