"first_name","last_name","opdiv_staffdiv","title","board_role"
"Kevin","Duvall","HHS/OS/OCIO","HHS Chief Data Officer [Acting]","Chair; HHS Chief Data Officer"
"Laina","Bush","HHS/OS/ASPE","Assistant Secretary for Planning & Evaluation, Acting","HHS Evaluation Officer"
"Brian","Moyer","CDC/NCHS","Director of CDC National Center for Health Statistics","HHS Statistical Official"
"Bethanne","Barnes","ACF","Director, Division of Data and Improvement, Office of Planning, Research, and Evaluation","ACF - Primary"
"Naomi","Goldstein","ACF","Deputy Assistant Secretary for Planning, Research, and Evaluation and Chief Evaluation Officer","ACF - Alternate"
"Scott","Cory","ACL","Chief Information Officer","ACL - Primary"
"Susan","Jenkins","ACL","Director of Office of Performance and Evaluation","ACL - Alternate"
"Mamatha","Pancholi","AHRQ","Chief Data Officer","AHRQ - Primary"
"Tim","Erny","AHRQ","Chief Information Officer","AHRQ - Alternate"
"Alan","Sim","CDC","Chief Data Officer","CDC - Primary"
"Suzi","Connor","CDC","Chief Information Officer","CDC - Alternate"
"Allison","Oelschlaeger","CMS","Chief Data Officer, Director of OEDA","CMS - Primary"
"Andrew","Shatto","CMS","Deputy Director of OEDA","CMS - Alternate"
"Ram","Iyer","FDA","Chief Data Officer","Vice Chair; FDA - Primary"
"Mary Ann","Slack","FDA","Director of Office of Strategic Programs in CDER","FDA - Alternate"
"Alexandra","Huttinger","HRSA","Chief Data Officer","HRSA - Primary"
"Susan","Monarez","HRSA","Director, Office of Planning, Analysis & Evaluation","HRSA - Alternate"
"Mitchell","Thornburg","IHS","Chief Information Officer","IHS - Primary"
"Susy","Postal","IHS","Chief Health Informatics Officer","IHS - Alternate"
"Douglas","Sheeley","NIH","Program Leader, Office of Strategic Coordination, DPCPSI, NIH","NIH - Primary"
"Olivier","Bodenreider","NIH","Acting Director, Lister Hill National Center for Biomedical Communications","NIH - Alternate"
"Meaghan","McHugh","SAMHSA","Director, Office of Evaluation","SAMHSA - Primary"
"Brooklyn","Lupari","SAMHSA","Program Analyst","SAMHSA - Alternate"
"Perryn","Ashmore","HHS/OS/OCIO","HHS Chief Information Officer","Non-Voting Member"
"David","Dasher","HHS/OS/ASFR","HHS Chief Acquisition Officer","Non-Voting Member"
"Norris","Cochran","HHS/OS/ASFR","HHS Chief Financial Officer [Acting]","Non-Voting Member"
"Norris","Cochran","HHS/OS/ASFR","HHS Chief Budget Officer","Non-Voting Member"
"Brandon","Gaylord","HHS/OS/ASPA","HHS Chief Freedom of Information Act Officer","Non-Voting Member"
"Amanda","Cash","HHS/OS/ASPE","Division Director, Division of Evidence, Evaluation, and Data Policy","Non-Voting Member"
"Sara","Azimi-Bolourian","HHS/OS/ASPR","ASPR Chief Data Officer","Non-Voting Member"
"Janet","Vogel","HHS/OS/OCIO","HHS Chief Information Security Officer","Non-Voting Member"
"Renata","Miskell","OIG","Chief Data Officer [Acting]","Non-Voting Member"
