"response_date","completiondate","q2_number_of_vehicles","q3_on_streetparking","q4_parking_place_driveway","q4_parking_place_garageattachedordetached","q4_parking_place_parkingstall","q4_parking_place_undergroundparking","q4_parking_place_frontofmyhomeonstreet","q4_parking_place_other","q5_onstreet_parking_agreement_0","q5_onstreet_parking_agreement_1","q5_onstreet_parking_agreement_2","q6_onstreet_removal_agreement_0","q6_onstreet_removal_agreement_1","q6_onstreet_removal_agreement_2","q6_onstreet_removal_agreement_3","q6_onstreet_removal_agreement_4","q6_onstreet_removal_agreement_5","q6_onstreet_removal_agreement_6","q7_onstreet_alternative_0","q7_onstreet_alternative_1","q7_onstreet_alternative_2","q8_alternative_option","ostype","browsertype","devicetype","q3_own_rent","gender","q7_children","q8_born_canada","q9a_edmonton","q10_own_business","q11_home_language","q12_employment_status","q13_volunteer","q14a_primary_transportation","q14b_secondary_transportation","q15_household_income","q16_education","q17_city_employee","fsa","age_rollup_detailed"
"2014-10-14T11:46:00.000","2014-10-14T12:10:00.000","1","No","0","1","0","0","0","0","2 Somewhat Disagree","2 Somewhat Disagree","3 Somewhat Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","3 Somewhat Agree","4 Strongly Agree","4 Strongly Agree","1 Strongly Disagree",,,,,"Windows","Desktop","Google Chrome","Own","Male","No","Yes","Between 3 to 5 years","No","English","Employed full-time (30+ hours a week)","Yes","Public Transit","Car/truck/Van as DRIVER","$100,000 to $149,000","University undergraduate degree","Yes","T6M","30-34"
"2014-10-14T12:45:00.000","2014-10-14T12:53:00.000","2","Yes","1","0","0","0","1","0","2 Somewhat Disagree","1 Strongly Disagree","4 Strongly Agree","4 Strongly Agree","2 Somewhat Disagree","4 Strongly Agree","5 Don't know","4 Strongly Agree","4 Strongly Agree","1 Strongly Disagree","1 Very Ineffective","2 Ineffective","3 Effective",,"Windows","Desktop","Google Chrome","Own","Male","Yes","Yes","Greater than 5 years","No","English","Other (Specify)","Yes","Public Transit","Car/truck/Van as DRIVER","$80,000 to $99,999","University undergraduate degree","Yes","T5B","30-34"
"2014-10-15T14:54:00.000","2014-10-15T15:00:00.000","1","Yes","0","0","0","1","0","0","1 Strongly Disagree","1 Strongly Disagree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","3 Somewhat Agree","3 Somewhat Agree","3 Somewhat Agree","2 Somewhat Disagree","2 Somewhat Disagree","3 Effective","3 Effective","2 Ineffective",,"Windows","Desktop","Google Chrome","Own","Female","No","Yes","Greater than 5 years","No","English","Employed full-time (30+ hours a week)","Yes","Car/truck/Van as DRIVER","Walk","$80,000 to $99,999","University undergraduate degree","Yes","T5E","50-54"
"2014-10-14T13:22:00.000","2014-10-14T13:43:00.000","2","Yes","0","1","0","0","1","0","4 Strongly Agree","3 Somewhat Agree","1 Strongly Disagree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","1 Strongly Disagree","3 Somewhat Agree","1 Strongly Disagree","2 Somewhat Disagree","1 Very Ineffective","1 Very Ineffective","1 Very Ineffective","No","Windows","Desktop","Google Chrome","Own","Female","Yes","Yes","Greater than 5 years","No","English","Employed full-time (30+ hours a week)","Yes","Car/truck/Van as DRIVER","Public Transit","$100,000 to $149,000","University undergraduate degree","Yes","T5E","30-34"
"2014-10-14T14:01:00.000","2014-10-14T14:08:00.000","2","No","0","1","0","0","0","0","1 Strongly Disagree","2 Somewhat Disagree","4 Strongly Agree","4 Strongly Agree","3 Somewhat Agree","3 Somewhat Agree","1 Strongly Disagree","2 Somewhat Disagree","4 Strongly Agree","1 Strongly Disagree",,,,,"Windows","Desktop","Google Chrome","Own","Male","No","Yes","Greater than 5 years","No","English","Employed full-time (30+ hours a week)","Yes","Public Transit","Car/truck/Van as DRIVER","$100,000 to $149,000","University undergraduate degree","Yes","T6T","60-64"
"2014-10-14T11:57:00.000","2014-10-14T12:14:00.000","2","Yes","0","1","0","0","0","0","1 Strongly Disagree","1 Strongly Disagree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","2 Somewhat Disagree","4 Strongly Agree","1 Strongly Disagree","4 Very Effective","4 Very Effective","2 Ineffective",,"Windows","Desktop","Google Chrome","Own","Female","Yes","Yes","Greater than 5 years","No","English","Employed full-time (30+ hours a week)","Yes","Public Transit","Car/truck/Van as DRIVER","$100,000 to $149,000","University undergraduate degree","Yes","T5H","45-49"
"2014-10-14T11:46:00.000","2014-10-14T11:54:00.000","1","No","0","1","0","0","0","0","3 Somewhat Agree","5 Don't know","3 Somewhat Agree","3 Somewhat Agree","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree",,,,,"Windows","Desktop","Google Chrome","Own","Male","Yes","No","Between 3 to 5 years","No","Other (Specify)","Employed full-time (30+ hours a week)","No","Car/truck/Van as DRIVER","Only have one mode of transportation","$100,000 to $149,000","Post-graduate degree","No","T6R","30-34"
"2014-10-14T13:19:00.000","2014-10-14T13:40:00.000","1","Yes","0","0","0","0","1","0","2 Somewhat Disagree","2 Somewhat Disagree","3 Somewhat Agree","3 Somewhat Agree","1 Strongly Disagree","1 Strongly Disagree","1 Strongly Disagree","3 Somewhat Agree","1 Strongly Disagree","2 Somewhat Disagree","1 Very Ineffective","1 Very Ineffective","1 Very Ineffective","No","Windows","Desktop","Google Chrome","Own","Male","Yes","Yes","Greater than 5 years","Yes","English","Employed full-time (30+ hours a week)","Yes","Car/truck/Van as DRIVER","Walk","Prefer not to answer","High school graduate","No","T6E","40-44"
"2014-10-14T11:53:00.000","2014-10-14T12:14:00.000","2","Yes","1","0","0","0","0","0","1 Strongly Disagree","1 Strongly Disagree","4 Strongly Agree","4 Strongly Agree","1 Strongly Disagree","1 Strongly Disagree","1 Strongly Disagree","3 Somewhat Agree","1 Strongly Disagree","1 Strongly Disagree","2 Ineffective","2 Ineffective","3 Effective",,"Mac (OS X)","Desktop","Firefox","Own","Male","No","Yes","Greater than 5 years","Yes","English","Employed part-time (0-30 hours a week)","No","Car/truck/Van as DRIVER","Walk","$100,000 to $149,000","High school graduate","No","T6H","60-64"
"2014-10-14T11:50:00.000","2014-10-14T11:55:00.000","3+","Yes","1","1","0","0","1","0","1 Strongly Disagree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","1 Strongly Disagree","1 Very Ineffective","2 Ineffective","1 Very Ineffective","No","Windows","Desktop","Google Chrome","Own","Female","No","Yes","Greater than 5 years","No","English","Employed full-time (30+ hours a week)","No","Car/truck/Van as DRIVER","Only have one mode of transportation","$100,000 to $149,000","College / technical school graduate","Yes","T5X","55-59"
"2014-10-14T13:33:00.000","2014-10-14T13:39:00.000","2","No","0","0","0","1","0","0","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","4 Strongly Agree","3 Somewhat Agree","5 Don't know","3 Somewhat Agree","5 Don't know","3 Somewhat Agree",,,,,"Mac (OS X)","Desktop","Firefox","Own","Female","No","Yes","Greater than 5 years","Yes","English","Employed full-time (30+ hours a week)","Yes","Car/truck/Van as DRIVER","Walk","$100,000 to $149,000","University undergraduate degree","No","T6E","40-44"
"2014-10-14T12:33:00.000","2014-10-14T12:40:00.000","2","Yes","0","1","0","0","0","0","3 Somewhat Agree","1 Strongly Disagree","3 Somewhat Agree","4 Strongly Agree","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree","3 Somewhat Agree","1 Strongly Disagree","3 Effective","3 Effective","1 Very Ineffective",,"Windows","Desktop","Google Chrome","Own","Male","No","Yes","Greater than 5 years","No","English","Employed full-time (30+ hours a week)","No","Public Transit","Car/truck/Van as DRIVER","$100,000 to $149,000","University undergraduate degree","No","T5T","25-29"
"2014-10-14T11:47:00.000","2014-10-14T12:04:00.000","2","Yes","0","1","0","0","0","0","1 Strongly Disagree","1 Strongly Disagree","5 Don't know","4 Strongly Agree","1 Strongly Disagree","1 Strongly Disagree","1 Strongly Disagree","1 Strongly Disagree","1 Strongly Disagree","1 Strongly Disagree","1 Very Ineffective","1 Very Ineffective","2 Ineffective","No","Windows","Desktop","Internet Explorer","Own","Male","No","Yes","Greater than 5 years","No","English","Employed full-time (30+ hours a week)","Yes","Car/truck/Van as DRIVER","Walk","$150,000 and over","College / technical school graduate","No","T6C","45-49"
