"sitecode","sitename","program","siteclass","locality","zipcode","county","town","region","x_coord","y_coord","method","accuracy","accuracyun","location_1"
"203005","Bronx Psychiatric Center","State Superfund Program","3","Bronx","10461","Bronx","New York City","2","597831.22308000003","4522623.5798300002","4.3","variable",,"1500 WATERS PLACE
Bronx, NY 10461
(40.84643568490014, -73.84287064054865)"
"V00233","Hunts Point Food Distr Ctr (Parcel A)","Voluntary Cleanup Program","A","Bronx","10474","Bronx","New York City","2","594569.12233000004","4517911.39922","4.3","variable",,"355 Food Center Drive
Bronx, NY 10474
(40.80826274246509, -73.87196554668213)"
"C203069","Former Henry B. Nevins Ship Yard","Brownfield Cleanup Program","A","Bronx","10464","Bronx","New York City","2","602414.49945","4522250.7626999998","1.1000000000000001","None",,"222 City Island Avenue
Bronx, NY 10464
(40.84454038376804, -73.78540517123682)"
"C203057","Former G & C Services","Brownfield Cleanup Program","A","Bronx","10451","Bronx","New York City","2","590130.46655999997","4518403.3519200003","4.2"," ",,"2551 3rd Ave. and 245 E. 138th St.
Bronx, NY 10451
(40.822179999807304, -73.92096000040357)"
"C203045","Prospect Court Site","Brownfield Cleanup Program","C","Bronx","10459","Bronx","New York City","2","592887.96750999999","4520099.4851399995","4.2"," ",,"1198 Prospect Avenue
Bronx, NY 10459
(40.82663083271652, -73.8986540553633)"
"V00558","CE - Zerega Ave. Station","Voluntary Cleanup Program","A","Bronx","10462","Bronx","New York City","2","597388.14963","4520532.3304500002","4.3","variable",,"Zerega Ave. between Blackrock & Watson Ave's
Bronx, NY 10462
(40.843410000371364, -73.85970999971659)"
"C203015","Gateway Center at Bronx Terminal Market, Eastern","Brownfield Cleanup Program","C","Bronx","10451","Bronx","New York City","2","590183.21840000001","4519545.2515599998","4.3","variable",,"Exterior Street
Bronx, NY 10451
(40.82562109299823, -73.93150473003044)"
"V00412","Hunts Pt - Parcel C","Voluntary Cleanup Program","C","Bronx","10474","Bronx","New York City","2","595326.28691999998","4517799.3643899998","4.3","variable",,"550 Food Center Drive
Bronx, NY 10474
(40.803628271552405, -73.87277545159168)"
"V00553","CE - Unionport Works","Voluntary Cleanup Program","A","Bronx","10462","Bronx","New York City","2","597501.16845999996","4520552.3374600001","4.3","variable",,"1066 ZEREGA AVENUE
Bronx, NY 10462
(40.83021191549159, -73.84429156935494)"
"203001","Pelham Bay Landfill","State Superfund Program","4","Bronx","10474","Bronx","New York City","2","599963","4523503.9999500001","4.3","variable",,"3410 Bruckner Boulevard
Bronx, NY 10474
(40.815556923430925, -73.89511891221375)"
