"community_district","boardchair","district_manager","website","email","tel","fax","location_1"
"1","Cedric Loftin","George Rodriguez","http://www.bronxmall.com/commboards/cd1.html","brxcb1@optonline.net","718-585-7117","718-292-0558","3024 Third Ave
Bronx, NY 10455
(40.81979686738955, -73.91323879745504)"
"3","Gloria Alston","John Dudley","http://www.bronxmall.com/commboards/cd3.html","Brxcomm3@optonline.net","718-378-8054","718-378-8150_718-378-8226","1426 Boston Rd
Bronx, NY 10456
(40.83315762408641, -73.89703293391959)"
"5","Carmen Cruz","Xavier Rodriguez","http://www.nyc.gov/html/bxcb5/html/home/home.shtml","brxcb5@optonline.net","718-364-2030_718-364-2114","718-220-1767","2155 University Ave
Bronx, NY 10453
(40.857150786667624, -73.90975643679387)"
"9","Al Heyward","Francisco M. Gonzalez","http://www.bronxmall.com/commboards/cd9.html","cb9@bronxmall.com","718-823-3034","718-823-6461","1967 Turnbull Ave
Bronx, NY 10473
(40.823099767436574, -73.85637848505142)"
"8","Robert Fanuzzi","Nicole Stent","http://www.nyc.gov/html/bxcb8/html/home/home.shtml","Brxcb8@optonline.net","718-884-3959","718-796-2763","5676 Riverdale Ave
Bronx, NY 10471
(40.9062585862892, -73.9042313826078)"
"6","Wendy Rodriguez","Ivine Galarza","http://www.bronxmall.com/commboards/cd6.html","brxcb6@optonline.net","718-579-6990","718-579-6875","1932 Arthur Ave Room 709
Bronx, NY 10457
(40.845950051004365, -73.89305280978363)"
"11","Dom Castore","Jereme Warneke","http://www.nyc.gov/html/bxcb11/html/home/home.shtml","Bx11@cb.nyc.gov","718-892-6262","718-892-1861","1741 Colden Ave
Bronx, NY 10462
(40.847292703644904, -73.85574081533936)"
"4","Pastor Wenzell Jackson","Jose Rodriguez","http://www.nyc.gov/html/bxcb4/html/home/home.shtml","bx04@cb.nyc.gov","718-299-0800","718-294-7870","1650 Selwyn Ave Suites 11A & 11B
Bronx, NY 10457
(40.8434409425426, -73.9103647588476)"
"2","Dr. Ian Amritt","Rafael Salamanca","http://www.bronxmall.com/commboards/cd2.html","brxcb2@optonline.net","718-328-9125","718-991-4974","1029 East 163rd St
Bronx, NY 10459
(40.82104785514438, -73.89165295207992)"
"10","John Marano","Kenneth Kearns","http://www.nyc.gov/html/bxcb10/html/home/home.shtml","bx10@cb.nyc.gov","718-892-1161","718-863-6860","3165 East Tremont Ave
Bronx, NY 10461
(40.83734353918396, -73.83427312194857)"
"7","Paul Foster","Fernando Tirado","http://www.bronxcb7.info/","cb7@bronxmall.com","718-933-5650","718-933-1829","299A 204th St
Bronx, NY 10458
(40.863069999581, -73.88915999983396)"
"12","Rev. Richard Gorman","Carmen Rosa","http://www.bronxmall.com/commboards/cd12.html","cb12cla@optonline.net","718-881-4455","718-231-0635","4101 White Plains Rd
Bronx, NY 10466
(40.890817227046114, -73.85894152521223)"
