"location_code","prek_type","borough","district","name","phone","day_length","area_name","seats","spcoordx","spcoordy","email","website","meals","sems_code","location"
"XAGF","NYCEEC","Bronx","8","Manida (Center #1)","(718) 542-7590","Full Day","Hunts Point","79","1015054","236102","junerose7@msn.com",,"3","08XAGF","711 Manida Street
Bronx, NY 10474
(40.81456113300004, -73.88845493399998)"
"Z066","DOE","Bronx","9","Pre-K Center at 1434 Ogden Avenue","(212) 637-8036","Full Day","Highbridge","72","1005417","246614","BSaffer3@schools.nyc.gov",,"5","09Z066","1434 Ogden Avenue
Bronx, NY 10452
(40.84353641200005, -73.92367442799997)"
"X255","CHARTER","Bronx","11","Bronx Charter School For Excellence Pre-Kindergarten","(718) 828-7303","Full Day","Van Nest-Morris Park-Westchester Square","72","1021812","247477","creid@bronxexcellence.org","http://bronxexcellence.org/","5","11X255","1804 Holland Avenue
Bronx, NY 10462
(40.84576726200004, -73.86434378499996)"
"XAXC","NYCEEC","Bronx","9","3490 Ready Set Learn","(718) 517-8787","Full Day","Claremont - Bathgate","36","1010308","241682","maygensg11@gmail.com","http://rslcc.com","3","09XAXC","3490 Third Avenue
Bronx, NY 10456
(40.83044649000004, -73.90607908499999)"
"X555","DOE","Bronx","9","Mount Eden Children's Academy","(718) 294-8155","Full Day","West Concourse","54","1007400","246313","ipayan@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X555","2","09X555","1501 JEROME AVENUE
Bronx, NY 10452
(40.84241406800004, -73.91616158599999)"
"X718","CHARTER","Bronx","11","Bronx Charter School for Better Learning","(718) 655-6660","Full Day","Eastchester - Edenwald - Baychester","18","1028544","261528","dtamulonis1@bronxbetterlearning.org","http://bronxbetterlearning.org","3","11X718","3740 Baychester Ave
Bronx, NY 10466
(40.88531970900004, -73.84062859199997)"
"X163","DOE","Bronx","9","P.S. 163 Arthur A. Schomburg","(718) 584-3045","Full Day","Mount Hope","18","1012253","249624","dmartinez20@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X163","3","09X163","2075 WEBSTER AVENUE
Bronx, NY 10457
(40.851608146000046, -73.89859847099996)"
"X073","DOE","Bronx","9","P.S. 073 Bronx","(718) 681-6776","Full Day","Highbridge","54","1004578","242650","vbueno@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X073","2","09X073","1020 ANDERSON AVENUE
Bronx, NY 10452
(40.83277064300006, -73.92677521799999)"
"XAHM","NYCEEC","Bronx","10","Northeast Bronx Day Care Center (Susan Wagner)","(718) 601-5401","Full Day","North Riverdale - Fieldston - Riverdale","38","1012413","267701","susanwagnerdayschool1@yahoo.com",,"3","10XAHM","5401 Post Road
Bronx, NY 10471
(40.90124693300004, -73.89789364199999)"
"X196","DOE","Bronx","12","P.S. 196","(718) 328-7187","Full Day","West Farms-Bronx River","36","1018171","241915","lgraciani@schools.nyc.gov","http://schools.nyc.gov/schoolportals/12/X196","3","12X196","1250 WARD AVENUE
Bronx, NY 10472
(40.830709210000066, -73.87772603799993)"
"X169","DOE","Bronx","11","BAYCHESTER ACADEMY","(718) 325-1138","Full Day","Eastchester - Edenwald - Baychester","36","1028633","260367","cvaugha2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/11/X169","2","11X169","3500 EDSON AVENUE
Bronx, NY 10466
(40.88121717900003, -73.83977102799997)"
"XANH","NYCEEC","Bronx","9","Paul T. Matson Head Start 1","(718) 316-5559","Full Day","Claremont - Bathgate","22","1012532","248296","tnew566@hotmail.com",,"3","09XANH","1951 Washington Avenue
Bronx, NY 10457
(40.84803722400005, -73.89753952399997)"
"XANK","NYCEEC","Bronx","8","Just 4 Kids Kiddie Kollege","(917) 995-8041","Full Day","Soundview-Castle Hl-Clason Pt-Hardng Pk","18","1025921","239130","Djust4kids@aol.com",,"3","08XANK","781 Castle Hill Avenue
Bronx, NY 10473
(40.82297163800007, -73.84898467299996)"
"XALE","NYCEEC","Bronx","8","NP Ready Set Learn","(718) 484-8210","Full Day","Hunts Point","36","1013027","237140","mimiallen26@gmail.com",,"3","08XALE","830 Fox Street
Bronx, NY 10459
(40.81753862900007, -73.89623859799997)"
"X394","CHARTER","Bronx","7","Little Haven @ Mott Haven Academy Charter School","(718) 292-7015","Full Day","Mott Haven - Port Morris","36","1006134","233057","info@havenacademy.org","http://havenacademy.org/littlehaven/","7","07X394","170 Brown Place
Bronx, NY 10454
(40.806421414000056, -73.92110368699997)"
"XADZ","NYCEEC","Bronx","7","St. Luke School","(718) 585-0380","Full Day","Mott Haven - Port Morris","36","1007753","233114","b247@adnyeducation.org","http://stluke138.org","5","07XADZ","608 East 139th Street
Bronx, NY 10454
(40.80655392700004, -73.91483181699994)"
"XACE","NYCEEC","Bronx","11","Nativity of Our Blessed Lady","(718) 324-2188","Full Day","Eastchester - Edenwald - Baychester","58","1030814","263142","b208@adnyeducation.org","http://nativityofourblessedlady.org","3","11XACE","3893 Dyre Avenue
Bronx, NY 10466
(40.88902843400007, -73.83132511799994)"
"XAQK","NYCEEC","Bronx","11","Saints Philip & James School","(718) 882-4576","Full Day","Williamsbridge - Olinville","54","1025045","258216","school@spjschool.org","http://stsphilipandjameschurch.com","3","11XAQK","1160 East 213th Street
Bronx, NY 10469
(40.875393547000044, -73.85208891999997)"
"XAMB","NYCEEC","Bronx","10","Trabajamos Community Head Start","(917) 962-9720","Full Day","University Heights - Morris Heights","40","1009274","251887","pcordero.trabajamos@gmail.com","http://trabajamoschs.com","3","10XAMB","2167 University Avenue
Bronx, NY 10453
(40.85718144600003, -73.90970829199995)"
"XALW","NYCEEC","Bronx","9","Sharon Baptist - Center I","(718) 585-5876","Full Day","Morrisania - Melrose","61","1009672","240510","wmaysonet012@yahoo.com","http://sharonbaptistheadstart.org","3","09XALW","507 East 165th Street
Bronx, NY 10456
(40.82665663500006, -73.90819121699997)"
"X214","DOE","Bronx","12","P.S. 214","(718) 589-6728","Full Day","Crotona Park East","90","1017453","245076","mgonzalez61@schools.nyc.gov","http://schools.nyc.gov/schoolportals/12/X214","2","12X214","1970 WEST FARMS ROAD
Bronx, NY 10460
(40.83948126100006, -73.88033572799998)"
"X042","DOE","Bronx","9","P.S. 042 Claremont","(718) 583-7366","Full Day","Claremont - Bathgate","28","1011063","244800","osolis@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X042","3","09X042","1537 WASHINGTON AVENUE
Bronx, NY 10457
(40.83825470000005, -73.90304116999994)"
"XAPQ","NYCEEC","Bronx","11","Bronx House 2","(718) 792-1800","Full Day","Bronxdale","72","1021784","252051","serene@bronxhouse.org","http://bronxhouse.org","8","11XAPQ","2222 Wallace Avenue
Bronx, NY 10467
(40.85833205900008, -73.86461534899996)"
"X028","DOE","Bronx","9","P.S. 028 Mount Hope","(718) 583-6444","Full Day","Mount Hope","54","1010903","248358","sbeckle@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X028","3","09X028","1861 ANTHONY AVENUE
Bronx, NY 10457
(40.84803491900004, -73.90354930099994)"
"XATE","NYCEEC","Bronx","11","Susan Wagner Day School","(718) 547-0501","Full Day","Williamsbridge - Olinville","110","1023358","263832","susanwagnerdayschool1@yahoo.com",,"3","11XATE","4102 White Plains Road
Bronx, NY 10466
(40.890748675000054, -73.85874753999997)"
"XATD","NYCEEC","Bronx","10","Bronx Community College Early Childhood Center","(718) 289-5461","Full Day","University Heights - Morris Heights","24","1007708","251676","shauna.harper@bcc.cuny.edu","http://bcc.cuny.edu/bcckids","3","10XATD","2010 Sedgwick
Bronx, NY 10468
(40.868699555000035, -73.90593560399998)"
"XAJJ","NYCEEC","Bronx","9","Sharon Baptist - Center II","(718) 299-6500","Full Day","Mount Hope","54","1011451","249405","ecollazo70@yahoo.com","http://sharonbaptistheadstart.org","3","09XAJJ","279 East Burnside Avenue
Bronx, NY 10457
(40.85113440300006, -73.90183228199999)"
"XAKE","NYCEEC","Bronx","12","Bronx River Early Learn Center","(718) 842-6582","Full Day","West Farms - Bronx River","35","1017906","243401","angelamazzone@yahoo.com",,"3","12XAKE","1555 East 174th Street
Bronx, NY 10472
(40.83425680100004, -73.87867127399994)"
"X110","DOE","Bronx","9","P.S. 110 Theodore Schoenfeld","(718) 861-0759","Full Day","Morrisania - Melrose","36","1011681","243548","dperez@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X110","2","09X110","580 CROTONA PARK SOUTH
Bronx, NY 10456
(40.83518352100003, -73.90049743199995)"
"X009","DOE","Bronx","10","P.S. 9 Ryer Avenue Elementary School","(718) 584-3291","Full Day","Fordham South","72","1012258","251425","jbailey5@schools.nyc.gov","http://schools.nyc.gov/schoolportals/10/X009","3","10X009","230 EAST 183 STREET
Bronx, NY 10458
(40.857196230000056, -73.89937053399996)"
"XASH","NYCEEC","Bronx","10","Tolentine Zeiser Community Life Center","(718) 933-6935","Full Day","Kingsbridge Heights","118","1010162","253394","mgmaggie2@aol.com","http://TZCLC.org","3","10XASH","2340 Andrews Avenue
Bronx, NY 10468
(40.86168393600008, -73.90709091099995)"
"XADQ","NYCEEC","Bronx","11","St. Helena School","(718) 892-3234","Full Day","Parkchester","80","1024186","243295","b239@adnyeducation.org","http://sthelenaelementary.com","5","11XADQ","2050 Benedict Avenue
Bronx, NY 10462
(40.83447405700008, -73.85626578599994)"
"XADV","NYCEEC","Bronx","10","Saint John School","(718) 548-0255","5","Spuyten Duyvil - Kingsbridge","72","1010258","260215","b242@adnyeduction.org","http://stjohnschoolbronx.org","2","10XADV","3143 Kingsbridge Avenue
Bronx, NY 10463
(40.87814519600005, -73.89932556099996)"
"X335","DOE","Bronx","8","The Academy of the Arts","(718) 860-3401","Full Day","Longwood","18","1012294","238107","fmejia@schools.nyc.gov","http://schools.nyc.gov/schoolportals/08/X335","2","08X335","888 REV J A POLITE AVE
Bronx, NY 10459
(40.825226060000034, -73.89394988899994)"
"X134","DOE","Bronx","12","P.S. 134 George F. Bristow","(718) 328-3351","Full Day","Crotona Park East","54","1013453","242175","kthomas@schools.nyc.gov","http://schools.nyc.gov/schoolportals/12/X134","2","12X134","1330 BRISTOW STREET
Bronx, NY 10459
(40.83155613800005, -73.89481552999996)"
"X016","DOE","Bronx","11","P.S. 016 Wakefield","(718) 324-1262","Full Day","Woodlawn - Wakefield","54","1024477","268049","ywillia5@schools.nyc.gov","http://schools.nyc.gov/schoolportals/11/X016","2","11X016","4550 CARPENTER AVENUE
Bronx, NY 10470
(40.90220590200005, -73.85481221399994)"
"X077","DOE","Bronx","10","Bedford Park Elementary School","(718) 696-6400","Full Day","Norwood","36","1018597","257169","bpesx77@gmail.com","http://schools.nyc.gov/schoolportals/10/X077","2","10X077","3177 WEBSTER AVENUE
Bronx, NY 10467
(40.872262797000076, -73.87567151999997)"
"XANV","NYCEEC","Bronx","9","Highbridge Advisory Council Doris East Stone Day Care","(718) 681-5888","Full Day","Highbridge","25","1003919","244672","afrancis@hacfs.com","http://hacfs.org","3","09XANV","1165 University Avenue
Bronx, NY 10452
(40.837237102000074, -73.92815198799997)"
"XADY","NYCEEC","Bronx","11","Saint Lucy School","(718) 882-2203","Full Day","Bronxdale","148","1022436","253681","minneci@stlucys.org","http://stlucys.org","3","11XADY","830 Mace Ave
Bronx, NY 10467
(40.863101105000055, -73.86247454799997)"
"XALB","NYCEEC","Bronx","9","Whedco Early Childhood Discovery Center","(718) 839-1156","Full Day","West Concourse","88","1006644","244022","ybriu@whedco.org","http://whedco.org","3","09XALB","50 East 168th Street
Bronx, NY 10452
(40.836583543000074, -73.91894891999993)"
"Z039","DOE","Bronx","11","Pre-K Center at 4520 Matilda Avenue","(212) 637-8036","Full Day","Woodlawn - Wakefield","36","1024604","267771","BSaffer3@schools.nyc.gov",,"5","11Z039","4520 Matilda Avenue
Bronx, NY 10470
(40.90128276400003, -73.85448540999994)"
"XADN","NYCEEC","Bronx","11","Saint Francis of Assisi School","(718) 994-4650","Full Day","Woodlawn - Wakefield","54","1027113","266168","assistantprincipal@sfabx.com","http://sfabx.com","3","11XADN","4300 Baychester Avenue
Bronx, NY 10466
(40.89675976900003, -73.84506535299994)"
"X161","DOE","Bronx","7","P.S. 161 Ponce De Leon","(718) 292-5478","Full Day","Melrose South - Mott Haven North","78","1010460","236117","esoto2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/07/X161","3","07X161","628 TINTON AVENUE
Bronx, NY 10455
(40.814896815000054, -73.90549743599996)"
"XALA","NYCEEC","Bronx","11","Westchester Tremont DCC","(718) 824-7390","Full Day","Van Nest-Morris Park-Westchester Square","52","1026167","246560","enrollwtdcc@optimum.net","http://wtdcc.com","3","11XALA","2547 East Tremont Avenue
Bronx, NY 10461
(40.84304784400007, -73.84860441999996)"
"XARD","NYCEEC","Bronx","9","Bronx Early Learning Center","(718) 466-3915","Full Day","Claremont - Bathgate","16","1012610","247677","snissim@voa-gny.org","http://voa-gny.org","3","09XARD","1887 Bathgate Avenue
Bronx, NY 10457
(40.846376786000064, -73.89732980899998)"
"XAML","NYCEEC","Bronx","8","Just 4 Kids Tremont","(917) 217-1781","Full Day","Schuylerville - Throgs Nk - Edgewater Pk","12","1034238","239286","Djust4kids@aol.com",,"3","08XAML","3881 East Tremont
Bronx, NY 10465
(40.823225140000034, -73.81961992299995)"
"XAWQ","NYCEEC","Bronx","9","Phipps Neighborhoods-Roscoe C. Brown ECEC","(917) 522-6002","Full Day","Claremont - Bathgate","18","1012154","245564","cdavis@phippsny.org","http://phippsneighborhoods.org","3","09XAWQ","3968 Third Avenue
Bronx, NY 10457
(40.84077093500008, -73.89926564199999)"
"XADW","NYCEEC","Bronx","9","St. Joseph School","(718) 583-9432","Full Day","Claremont - Bathgate","36","1012864","248084","b245@adnyeducation.org",,"5","09XADW","1946 Bathgate Avenue
Bronx, NY 10457
(40.84755441800007, -73.89674099299998)"
"XAJU","NYCEEC","Bronx","12","Children's Aid at P.S. 211","(347) 821-4222","Full Day","East Tremont","28","1014768","246818","Tracyp@childrensaidsociety.org",,"3","12XAJU","1919 Prospect Avenue
Bronx, NY 10457
(40.84356092200005, -73.88977208899996)"
"XAOM","NYCEEC","Bronx","10","Belmont Community Day Care Center","(718) 584-1576","Full Day","Belmont","104","1016011","250310","bcdaycare@verizon.net","http://belmontdaycare.org","2","10XAOM","2340 Cambreleng Avenue
Bronx, NY 10458
(40.853765217000046, -73.88557077299998)"
"XAIB","NYCEEC","Bronx","8","Throggs Neck Early Learn Center","(718) 882-0172","Full Day","Schuylerville - Throgs Nk - Edgewater Pk","20","1033307","238199","Familytnelc@gmail.com",,"3","08XAIB","461 Swinton Avenue
Bronx, NY 10465
(40.82037156200005, -73.82232493699996)"
"X153","DOE","Bronx","11","P.S. 153 Helen Keller","(718) 904-5550","Full Day","Co-Op City","18","1030375","257393","MKelley5@schools.nyc.gov","http://schools.nyc.gov/schoolportals/11/X153","5","11X153","650 BAYCHESTER AVENUE
Bronx, NY 10475
(40.87317908600005, -73.83373385099998)"
"X226","DOE","Bronx","10","P.S. 226","(718) 583-5560","Full Day","University Heights - Morris Heights","18","1007450","251055","gdarden@schools.nyc.gov","http://schools.nyc.gov/schoolportals/10/X226","2","10X226","1950 SEDGWICK AVENUE
Bronx, NY 10453
(40.856286329000056, -73.91624386299998)"
"XAAS","NYCEEC","Bronx","12","Bronxdale Nursery","(718) 991-8315","Full Day","Soundview - Bruckner","32","1021459","240553","mscrosleyp@gmail.com",,"3","12XAAS","1065 Beach Avenue
Bronx, NY 10472
(40.827001015000064, -73.86527800399995)"
"XARN","NYCEEC","Bronx","9","Trabajamos Community Head Start","(718) 294-4333","Full Day","Mount Hope","27","1009670","248955","lbtrabajamos_hs@yahoo.com",,"3","09XARN","1905 Morris Avenue
Bronx, NY 10453
(40.84982979200004, -73.90798348299995)"
"X154","DOE","Bronx","7","P.S. 154 Jonathan D. Hyatt","(718) 292-4742","Full Day","Mott Haven - Port Morris","36","1004724","233748","acoviello@schools.nyc.gov","http://schools.nyc.gov/schoolportals/07/X154","2","07X154","333 EAST 135 STREET
Bronx, NY 10454
(40.807756909000034, -73.92551923099995)"
"X030","DOE","Bronx","7","P.S. 030 Wilton","(718) 292-8817","Full Day","Mott Haven - Port Morris","54","1007030","234117","dmichau@schools.nyc.gov","http://schools.nyc.gov/schoolportals/07/X030","3","07X030","510 EAST 141 STREET
Bronx, NY 10454
(40.80940121300006, -73.91770826699997)"
"XARQ","NYCEEC","Bronx","11","Learning Ladder Day Care Center","(718) 618-0782","Full Day","Co-op City","36","1030787","256520","madelinaenriquez@allcareps.org","http://allcareps.org","3","11XARQ","100 Aldrich Street, Bldg 15A
Bronx, NY 10475
(40.87007051900008, -73.83225591699994)"
