Category,Position,Title,Description,URL,Image,Alt Text
Category Test,bottom-center,Wi-Fi Hotspots,The Bronx is growing as a high tech hub. Free Wi-Fi hot spots can be found throughout the borough and are growing in number every day.  Explore the map for a partial list.  Remember Wi-Fi hot spots are shared networks -  here are <a href=http://mobileoffice.about.com/od/mobilesecurity/tp/mobilesecuritytips.htm>7 tips</a> to keep your mobile device secure.,http://bronx.lehman.cuny.edu/My-Neighborhood/Bronx-Wi-Fi-Hotspot-Locations/icjm-c6pj,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/462b2975-d7d9-4476-b4f4-2dc26afc1d68,Wi-Fi Hotspot Map
Category Test,top-left,"Bronx Arts, Cultural & Library Resources","The Bronx is the birthplace of hip-hop and home to thousands of artists and more than 250 arts, cultural and library resources.  Explore the map to see locations near you.  More information on cultural services and arts programs can be found at the <a href=http://bronxarts.org/>Bronx Council on the Arts.</a>",http://bronx.lehman.cuny.edu/My-Neighborhood/Bronx-Cultural-Facilities-Organizations-and-Librar/muba-84it,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/abcfbe45-82f3-41a0-b539-ae28cb146dc6,"Arts, Culture and Library Resources"
Category Test,bottom-left,Out of School Time,"Are you looking for no-cost programs that provide academic, recreational and cultural activities for young people (grades K-12) after school, during holidays and in the summer?  Explore the map to learn more.  There are 256 Out-of-School-Time programs sponsored by the <a href=\""http://www.nyc.gov/html/dycd/html/afterschool/out_of_school_time.shtml\"">Department of Youth and Community Services in the Bronx.</a>",http://bronx.lehman.cuny.edu/Education/DYCD-after-school-programs-Out-Of-School-Time/ghci-kqrf,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/a6f28e1c-dae3-45f7-9f7f-85a186302068,Out of School Time
Category Test,bottom-right,Bronx Tourism,"The Bronx.  Experience world-famous attractions, diverse artistic expression, and amazing things to see and do.  Get the latest news from the <a href=http://www.ilovethebronx.com/>Bronx Tourism Council</a> on local arts and entertainment and find out where to savor “a taste of the Bronx.”",http://www.ilovethebronx.com/,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/a6cb9ff2-b5f9-4fb6-8a5f-72a47267393b,I Love the Bronx
Category Test,top-right,Farmer's Markets,"Farmer’s Markets increase access to fresh produce, contributing to healthy diets rich in fruits and vegetables.  Most are open through mid-November.  Regionally grown fruits and vegetables are increasingly available at grocery stores and bodegas.  Learn more at <a href=http://www.grownyc.org/>GrowNYC.</a>",http://bronx.lehman.cuny.edu/My-Neighborhood/Bronx-2012-Farmer-s-Markets-Locations/m94t-cbup,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/a081034b-77dd-4829-a56a-6ff023e561d4,Population
Education,bottom-left,Universal Pre-K School in the Bronx,"Universal Pre-Kindergarten is available in NYC for all children who will become four years old by December 31 of that calendar year. This program is provided free of cost to parents and is organized by the NYC Department of Education. Classes are either in elementary school or in early childhood centers. Most programs are half day, either morning or afternoon and about 2 ½ hours per day.  Some full day programs are available.  All children are eligible.  Most classes are in English but ESL (English as a Second Language) services are available.  There are no economic or developmental qualifications.",https://bronx.lehman.cuny.edu/Education/Universal-Pre-K-UPK-Bronx-School-Locations/h9yh-izph,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/b4l56-ZTcgB-BHbGFCoLg16RHhWEaAZBUNILn2A6p8o,Universal Pre-K School in the Bronx
Education,bottom-right,The Bronx Institute,"The <a href=http://www.lehman.edu/thebronxinstitute/index.php>Bronx Institute</a> at Lehman College has three main areas of focus: Youth Development programs, Professional Development, and Research and Policy.  The Institute has received national recognition for its <a href=http://www.lehman.edu/thebronxinstitute/HTMLs2/ENLACE.php>ENLACE</a> and <a href=http://www.lehman.edu/thebronxinstitute/HTMLs2/BIApplications.php>GEAR UP</a> Programs, which have served more than 10,000 Bronx students. These and other activities further research relevant to the improvement of education and the quality of life in the Bronx.",http://www.lehman.edu/thebronxinstitute/index.php,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/817be7d4-c5d5-4448-8aca-acb0eb8bc1b5,The Bronx Institute
Education,top-left,College Now,"<a href=http://www.lehman.edu/college-now/index.php>College Now</a> is a free program of CUNY and the NYC Department of Education.  Through College Now, qualified students get an early introduction to the college environment and a jump-start on college coursework by taking credit-bearing college courses. Learn more and help students build the academic skills necessary for success in college.",http://www.lehman.edu/college-now/index.php,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/05dd458d-ea7d-4f26-bb55-7f18b7f2f6a3,College Now
Education,bottom-center,Bronx Public School Locations,"Did you know that there are more than 425 public schools for the borough's 200,000+ students. Explore a map of public schools in the Bronx.",http://bronx.lehman.cuny.edu/Education/Bronx-Public-School-and-CUNY-Colleges-Locations/x8ng-5mzz,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/574d98b5-34bd-4cea-8ce7-74cdef7d80fa,Public School Maps
Education,top-right,Institute for Literacy Studies,"The <a href=http://www.lehman.edu/literacy-studies/>Institute for Literacy Studies</a> advances urban education by strengthening literacy and mathematics teaching and by supporting teachers as key educational decision-makers. Last year, programs supported the professional development of 395 Bronx teachers and more than 800 teachers citywide. The Lehman College Adult Learning Center, recognized for its innovation and effectiveness, provides English language, literacy, and GED classes to almost 600 adults each year.",http://www.lehman.edu/literacy-studies/,https://bronx.lehman.cuny.edu/views/5kvn-zwbn/files/6289f9d0-4469-4092-95bc-db90b6fd1dfe,Institute for Literary Studies
