"assembly_district","representative","website","phone","location_1"
"76","Vacant","<Null>","<Null>",
"81","Jeffrey Dinowitz","http://assembly.state.ny.us/mem/Jeffrey-Dinowitz ","718-320-2220","117 Dreiser Loop Rm. 12
,  10475
(40.87736653592355, -73.8281626884105)"
"86","Nelson Castro","http://assembly.state.ny.us/mem/Nelson-L-Castro","718-933-6909","2175c Jerome Ave
,  10453
(40.85228999978381, -73.91097999972703)"
"84","Carmen Arroyo","http://assembly.state.ny.us/mem/Carmen-E-Arroyo ","718-292-2901","384 East 149th St
,  10455
(40.81620047827511, -73.91826080626487)"
"79","Eric Stevenson","http://assembly.state.ny.us/mem/Eric-A-Stevenson ","718-589-6324","3215 Third Ave
,  10451
(40.823466178181, -73.90912097667245)"
"80","Naomi Rivera","http://assembly.state.ny.us/mem/Naomi-Rivera ","718-796-5345","3107 Kingsbridge Ave
,  10463
(40.88008831523655, -73.90634478937665)"
"82","Michael Benedetto","http://assembly.state.ny.us/mem/Michael-Benedetto ","718-654-6539","1351 East Gun Hill Rd
,  10469
(40.87058248138686, -73.84639598290352)"
"77","Vanessa L. Gibson","http://assembly.state.ny.us/mem/Vanessa-L-Gibson ","718-538-2000","930 Grand Concourse Suite 1E
,  10451
(40.82830535278947, -73.9216872231965)"
"85","Marcos A. Crespo","http://assembly.state.ny.us/mem/Marcos-A-Crespo ","718-893-2020","1163 Manor Ave
,  10472
(40.828449244314186, -73.87631642681833)"
"83"," Carl E. Heastie","http://assembly.state.ny.us/mem/Carl-E-Heastie ","718-654-6539","1351 East Gun Hill Rd
,  10469
(40.87058248138686, -73.84639598290352)"
"78","Jose Rivera","http://assembly.state.ny.us/mem/Jose-Rivera ","718-933-2204","1 Fordham Plaza Suite 1008
,  10458
(40.859997947624585, -73.89106738498172)"
