"dbn","district","school_name","boro","zip_code","principal","progressre","school_level","peer_index","_2011_2012_overall_grade","_2011_2012_overall_score","_2011_2012_overall_percentile","_2011_2012_progress_category_score","_2011_2012_progressgrade","_2011_2012_performance_category_score","_2011_2012_performance_grade","_2011_2012_environment_category_score","_2011_2012_environment_grade","_2011_2012_college_and_career_readiness_score","_2011_2012_college_and_career_readiness_grade","_2011_2012_additional_credit","_2010_2011_progress_report_grade","_2009_10_progress_report_grade","handicap_accessibility","website","borough_number","borough_name","phonenumbe","capacity","grades","campus","website2","esl","concentration","location_1"
"10X307","10","P.S. X307  Eames Place","Bronx","10468","Luisa Fuentes","EMS","Elementary","60.666200000000003","A","67.3","81.150000000000006","25.7","C","23.4","A","14.4","A",," ","A","0"," "," "," ","0"," "," ","0"," ",," ","0"," ","124 EAMES PLACE
Bronx, NY 10468
(40.869135, -73.901843)"
"10X503","10","Walton Yabc","Bronx","10468","Keesha Lindsay","YABC","YABC","0","B","64.099999999999994","0","39.799999999999997","B","6.2","F","10.7","B","4.2","D","B","0"," "," "," ","0"," "," ","0"," ",," ","0"," ","2780 Reservoir Avenue
Bronx, NY 10468
(40.870638, -73.897705)"
"11X417","11"," C Columbus Hs Yabc","Bronx","10469","Ruth Colton","YABC","YABC","0","B","53.6","0","22.7","D","9.4","C","11.3","A","5","C","B","0"," "," "," ","0"," "," ","0"," ",," ","0"," ","925 Astor Avenue
Bronx, NY 10469
(40.85964, -73.860743)"
"11X270","11","Academy for Scholarship and Entrepreneurship: A","Bronx","10466","Zenobia White","EMS","Middle","2.4380000000000002"," ","0","0","0"," ","0"," ","0"," ",," ","C","0"," "," "," ","0"," "," ","0"," ",," ","0"," ","921 EAST 228TH STREET
Bronx, NY 10466
(40.887766, -73.852493)"
"07X369","7","Young Leaders Elementary School","Bronx","10454","Karen Collins","EMS","Elementary","69.184399999999997","D","29.5","4.0999999999999996","14","F","4.3","F","8.3000000000000007","B",," ","D","56","X369"," ","http://schools.nyc.gov/SchoolPortals/07/X369/default.htm","2","Bronx","718-292-7391","313","PK,0K,01,02,03,04,05,SE",," ","0"," ","468 EAST 140 STREET
Bronx, NY 10454
(40.809059, -73.919759)"
"11X462","11","CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCH","Bronx","10475","Jamaal Bowman","EMS","Middle","2.3552","A","70.5","83.15","38.799999999999997","B","17.7","A","10.4","A",," ",".","0"," "," "," ","0"," "," ","0"," ",," ","0"," ","3441 STEENWICK AVENUE
Bronx, NY 10475
(40.882742, -73.830616)"
"10X207","10","P.S. 207","Bronx","10463","Maria Rosado","EC","K2","63.016399999999997","B","41.2","0","15.8","C","13.2","C","7.9","C",," ","C","249","X207","Not Accessible","http://schools.nyc.gov/SchoolPortals/10/X207/default.htm","2","Bronx","718-796-9645","395","PK,0K,01,02,SE",," ","0"," ","3030 GODWIN TERRACE
Bronx, NY 10463
(40.878261, -73.906473)"
"09X088","9","P.S. X088 - S. Silverstein Little Sparrow School","Bronx","10456","Melinda Hyer","EC","K3","67.299899999999994","B","47.1","0","17","B","16.100000000000001","B","10.1","B",," ","B","136","X088","Not Accessible","http://schools.nyc.gov/SchoolPortals/09/X088/default.htm","2","Bronx","718-681-6220","205","0K,01,02,03,SE",," ","0"," ","1340 SHERIDAN AVENUE
Bronx, NY 10456
(40.83702, -73.913549)"
"11X097","11","P.S. 097 Bronx","Bronx","10469","Katheleen Bornkamp","EMS","Elementary","44.275599999999997","B","59.8","63.77","36.200000000000003","B","14.6","B","6.3","C",," ","B","341","X097","Not Accessible","http://schools.nyc.gov/SchoolPortals/11/X097/default.htm","2","Bronx","718-655-4446","773","PK,0K,01,02,03,04,05,SE",," ","0"," ","1375 MACE AVENUE
Bronx, NY 10469
(40.862847, -73.846795)"
"08X312","8","Millennium Art Academy","Bronx","10473","Maxine Nodel","HS","High School","1.79","B","66.099999999999994","52.8","36","B","10.3","C","10.4","B","4.5","C","A","71","X312","Functionally Accessible","http://schools.nyc.gov/SchoolPortals/08/X312/default.htm","2","Bronx","718-824-0978","504","09,10,11,12,SE",,"http://www.bxmaa.org","-1"," Visual Art & Design","1980 LAFAYETTE AVENUE
Bronx, NY 10473
(40.822326, -73.855957)"
