OID_,SchoolName,District,DBN,Accessibil,Accessib_1,Website,BoroughNum,BoroughNam,PhoneNumbe,Capacity,Grades,Campus,Neighborho,Website2,ESL,Concentrat,Num_of_SAT_Test_Takers,SAT_Critical_Reading_Avg__Score,SAT_Math_Avg__Score,SAT_Writing_Avg__Score,TOTAL_SCORE,Location 1,Bronx Congressional Districts,Bronx School Districts 2010-11,2010 Bronx Census Tracts,Zip Codes
,High School for Teaching and the Professions,10,10X433,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X433/default.htm,2,Bronx,718-329-7380,473,"09,10,11,12,SE",Walton Educational Campus,Van Cortlandt Village,http://hstnp.newvisionsk12.org,1,Teaching,57,370,371,365,1163,"2780 RESERVOIR AVENUE Bronx, NY 10468
(40.870377, -73.8981629519996)",17,2,86,11606
,Explorations Academy,12,12X251,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/12/X251/default.htm,2,Bronx,718-893-6173,353,"09,10,11,12,SE",Herman Ridder Educational Campus,Crotona Park East,http://www.explorationsacademy.org,1,Humanities & Interdisciplinary,57,381,381,360,1179,"1619 BOSTON ROAD Bronx, NY 10460
(40.83594, -73.8904568409996)",16,3,132,11269
,South Bronx Preparatory: A College Board School,7,07X221,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/07/X221/default.htm,2,Bronx,718-292-2211,622,"06,07,08,09,10,11,12,SE", ,Mott Haven - Port Morris,http://www.southbronxprep.net,1,Humanities & Interdisciplinary,65,364,378,348,1155,"360 EAST 145 STREET Bronx, NY 10454
(40.81401, -73.9208365169996)",16,1,8,10933
,Collegiate Institute for Math and Science,11,11X288,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X288/default.htm,2,Bronx,718-944-3635,625,"09,10,11,12,SE",Christopher Columbus Educational Campus,Bronxdale, ,1,Science & Math,97,444,471,433,1445,"925 ASTOR AVENUE Bronx, NY 10469
(40.859671, -73.8607409739996)",7,6,307,11607
,Monroe Academy for Visual Arts & Design,12,12X692,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/12/X692/default.htm,2,Bronx,718-860-8160,428,"09,10,11,12,SE",James Monroe Educational Campus,West Farms - Bronx River, ,1,Visual Art & Design,43,332,357,349,1081,"1300 BOYNTON AVENUE Bronx, NY 10472
(40.831366, -73.8788232769996)",16,3,128,11610
,Community School for Social Justice,7,07X427,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/07/X427/default.htm,2,Bronx,718-402-8481,307,"09,10,11,12,SE", ,West Concourse,http://www.cssjbronx.org,1,Law & Government,43,361,359,357,1120,"350 GERARD AVENUE Bronx, NY 10451
(40.816086, -73.9303236149996)",16,1,26,10929
,Bronx Leadership Academy II High School,7,07X527,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/07/X527/default.htm,2,Bronx,718-292-7171,481,"09,10,11,12,SE", ,East Concourse - Concourse Village,http://www.BronxleadershipAcademy2.org,1,Science & Math,62,362,378,363,1165,"730 CONCOURSE VILLAGE WEST Bronx, NY 10451
(40.822776, -73.9235227929996)",16,1,10,10929
,High School for Violin and Dance,9,09X543,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X543/default.htm,2,Bronx,718-842-0687,325,"09,10,11,12,SE",Morris Educational Campus,Morrisania - Melrose,http://www.hsvd.org,1,Performing Arts,27,353,315,371,1066,"1110 BOSTON ROAD Bronx, NY 10456
(40.827602, -73.9044752569996)",16,4,165,10934
,Validus Preparatory Academy: An Expeditionary Learning School,9,09X263,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X263/default.htm,2,Bronx,718-466-4000,355,"09,10,11,12,SE", ,Claremont - Bathgate,http://www.validusprep.org,1,Health Professions,74,356,363,356,1149,"1595 BATHGATE AVENUE Bronx, NY 10457
(40.839311, -73.9012805729996)",16,4,211,10935
,"Archimedes Academy for Math, Science and Technology Applications",8,08X367, , ,http://schools.nyc.gov/SchoolPortals/08/X367/default.htm,2,Bronx,718-617-5046,561,"06,07,08,09,10,11,12,SE", ,Soundview-Castle Hl-Clason Pt-Hardng Pk,http://www.archimedesacademy.org,1,Science & Math,,,,,,"456 WHITE PLAINS ROAD Bronx, NY 10473
(40.81491, -73.8566008239996)",7,5,266,11611
,"Urban Assembly Academy for History and Citizenship for Young Men, The",9,09X239,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X239/default.htm,2,Bronx,718-293-6768,57,"10,11,12,SE",William Howard Taft Educational Campus,East Concourse - Concourse Village, ,0, ,33,372,355,357,1117,"240 EAST 172 STREET Bronx, NY 10457
(40.840401, -73.9108306899996)",16,4,188,10935
