"calclocation","name","address","city","state","zip","formated_phone","status","icon","type"
"30.74961800,-89.87356800","DAVITA - BOGALUSA KIDNEY CARE","2108 S AVE F","BOGALUSA","LA","70427","Please call patient admission line","open","small_green","Dialysis Center"
"34.22082400,-118.51907500","Northridge Kidney Center, LLC","17710 Roscoe Blvd","Northridge","CA","91325","Please call patient admission line","open","small_green","Dialysis Center"
"33.33386800,-111.89483500","032609 SOUTHWEST KIDNEY DIALYSIS - TEMPE (DVA)","2149 E WARNER RD STE 109 & STE 110","TEMPE","AZ","85284","Please call patient admission line","open","small_green","Dialysis Center"
"38.71996500,-90.26455700","North County Dialysis Center","272 MAYFAIR DRIVE","FLORISSANT","MO","63033","Please call patient admission line","open","small_green","Dialysis Center"
"34.79047900,-96.68271700","FMCNA - ADA DIALYSIS CTR","324 NW J.A. RICHARDSON LOOP","ADA","OK","74820","Please call patient admission line","open","small_green","Dialysis Center"
"38.92114100,-104.78556200","062563 LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC)","2180 HOLLOWBROOK DR","COLORADO SPRINGS","CO","80918","Please call patient admission line","open","small_green","Dialysis Center"
"29.98721000,-95.49631600","CHAMPIONS DIALYSIS","4427 Cypress Creek Pkwy","HOUSTON","TX","77068","Please call patient admission line","open","small_green","Dialysis Center"
"29.89516000,-95.68962200","DaVita Barker Cypress Dialysis","18003 LONGENBAUGH DR","Cypress","TX","77433","Please call patient admission line","open","small_green","Dialysis Center"
"40.12395800,-79.55267600","FKC OF MOUNT PLEASANT","2000 Summit Ridge Plaza Rd Nbr","Mount Pleasant","PA","15666","Please call patient admission line","open","small_green","Dialysis Center"
"33.79688200,-83.72854700","FMC DIALYSIS SERVICES OF WALTON","299 PLAZA DRIVE","MONROE","GA","30655","Please call patient admission line","open","small_green","Dialysis Center"
"33.79859700,-83.72587300","PARKER DIALYSIS, LLC","225 Plaza Drive","MONROE","GA","30655","Please call patient admission line","open","small_green","Dialysis Center"
"33.72123200,-80.19664600","Fresenius Medical Care Manning","3107 Sumter Hwy","MANNING","SC","29102","Please call patient admission line","open","small_green","Dialysis Center"
"34.21588900,-88.71752100","RENAL CARE GROUP TUPELO, LLC","2978 MATTOX STREET","TUPELO","MS","38801","Please call patient admission line","open","small_green","Dialysis Center"
"38.65975100,-85.13105100","DaVita General Butler Dialysis","329 FLOYD DRIVE","CARROLLTON","KY","41008","Please call patient admission line","open","small_green","Dialysis Center"
"40.31395600,-74.47495700","DCI Monroe","2 Research Way","MONROE","NJ","8831","Please call patient admission line","open","small_green","Dialysis Center"
"36.72147100,-77.53199600","PEABODY DIALYSIS","901 CORRECTIONS WAY","JARRETT","VA","23870","Please call patient admission line","open","small_green","Dialysis Center"
"27.39828500,-82.45297000","FMC - NORTH SARASOTA DIALYSIS CENTER","8037 COOPER CREEK BLVD","Bradenton","FL","34201","Please call patient admission line","open","small_green","Dialysis Center"
"30.41234240,-88.91098200","KEESLER MEDICAL CENTER","301 FISHER ST","Biloxi","MS","39564","Please call patient admission line","open","small_green","Dialysis Center"
"41.57243200,-81.15714200","CENTER FOR DIALYSIS CARE AT HEATHER HILL","12340 BASSLAKE ROAD","HEATHER HILL","OH","44024","Please call patient admission line","open","small_green","Dialysis Center"
"36.69262600,-93.37140000","Branson West Kidney Center LLC","17829 Business 13","Branson West","MO","65737","Please call patient admission line","open","small_green","Dialysis Center"
"31.58653700,-97.10656800","FRESENIUS MEDICAL CARE BELLMEAD","137 EASTGATE Plz","Waco","TX","76705","Please call patient admission line","open","small_green","Dialysis Center"
"13.49840800,144.77510300","GUAM DIALYSIS CENTER-TAMUNING","633 GOV CARLOS G CAMACHO ROAD SUITE 106","TAMUNING","GU","96913","Please call patient admission line","open","small_green","Dialysis Center"
"13.45975400,144.75895300","GUAM RENAL CARE (US Renal Care)","736 4, #101","SINAJANA","GU","96910","Please call patient admission line","open","small_green","Dialysis Center"
"13.50938800,144.82161700","RENAL CENTERS OF GUAM (US Renal Care)","600 HARMON LOOP SUITE 104","DEDEDO","GU","96929","Please call patient admission line","open","small_green","Dialysis Center"
"13.52057200,144.81523800","TUMON KIDNEY CENTER","1406 NORTH MARINE CORP DRIVE, SUITE A","Tamuning","GU","96913","Please call patient admission line","open","small_green","Dialysis Center"
"13.54193200,144.83257200","US RENAL CARE FINEGAYAN","781 ROUTE 3, SUITE 101","DEDEDO","GU","96929","Please call patient admission line","open","small_green","Dialysis Center"
"28.35262600,-81.67336600","FKC-Four Corners","503 Cagan Woods","Clermont","FL","34714","Please call patient admission line","open","small_green","Dialysis Center"
"39.08589500,-108.59054500","062567 MESA COUNTY DIALYSIS (DVA)","561 25 ROAD STE D","GRAND JUNCTION","CO","81505","Please call patient admission line","open","small_green","Dialysis Center"
"18.38503300,-66.06478800","FMC Rio Piedras Dialysis Center","1535 Ponce de Leon Ave","Rio Piedras","PR","926","Please call patient admission line","open","small_green","Dialysis Center"
"40.21637900,-75.54167400","FRESENIUS KIDNEY CARE - LIMERICK","420 West Linfield Trappe Road","Limerick","PA","19468","Please call patient admission line","open","small_green","Dialysis Center"
"39.96521800,-76.73761100","BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.","345 Newberry Parkway","Etters","PA","17319","Please call patient admission line","open","small_green","Dialysis Center"
"40.33964000,-75.96073900","FRESENIUS KIDNEY CARE READING, LLC","1001 Reed Avenue, Suite 410","Wyomissing","PA","19610","Please call patient admission line","open","small_green","Dialysis Center"
"31.76235300,-84.43887600","DCI DAWSON","806 FORRESTER DRIVE SE","DAWSON","GA","39842","Please call patient admission line","open","small_green","Dialysis Center"
"34.35520900,-82.91086200","LAKE HARTWELL DIALYSIS","1065 E. Franklin Street","HARTWELL","GA","30643","Please call patient admission line","open","small_green","Dialysis Center"
"41.42285400,-81.87306700","DAVITA - VILLA OF GREAT NORTHERN","22710 FAIRVIEW CENTER DR., STE 100","FAIRVIEW PARK","OH","44126","Please call patient admission line","open","small_green","Dialysis Center"
"38.95810200,-77.00207300","Walmart Pharmacy 10-3035","310 Riggs Rd NE","Washington","DC","200112534","202-756-4417","open","small_green","Pharmacy"
"34.73979200,-92.37545600","WESTSIDE DIALYSIS UNIT LLC","1515 KANIS PARK DR","LITTLE ROCK","AR","72204","Please call patient admission line","open","small_green","Dialysis Center"
"29.66763000,-95.62931400","Use Me After That","123 Mockingbird LN","SUGAR LAND","TX","77498","Please call patient admission line","open","small_green","Dialysis Center"
"33.37917900,-112.07021500","032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC)","26 E BASELINE STE 142","PHOENIX","AZ","85042","Please call patient admission line","open","small_green","Dialysis Center"
"47.41002500,-120.28460200","EAST WENATCHEE DIALYSIS","300 N COLORADO AVE","EAST WENATCHEE","WA","98802","Please call patient admission line","open","small_green","Dialysis Center"
"41.63826300,-70.98099600","DaVita New Bedford Dialysis","237-B State Road","NORTH DARTMOUTH","MA","2747","Please call patient admission line","open","small_green","Dialysis Center"
