"date_closed","case_number","business","credential_number","town","decision_link"
"2022-08-09","2022-245","TEQUILA GALORE LOUNGE & GRILL","LCA.0008667","MERIDEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5866281&GUID=7721E898-33D6-4359-A61F-F809820C3FCE)"
"2022-08-09","2022-142","SANCHEZ GROCERY","LGB.0015606","HARTFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5799884&GUID=4F32D6AA-0167-4415-B061-5D136A4E93F2)"
"2022-08-09","2022-141","LOUNGE 212","LCA.0008682","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5531473&GUID=957FDF10-2A06-4294-A91B-1BCFABF36029)"
"2022-08-03","2022-4","BRADLEY MARKET","LGB.0015622.P-CW","WINDSOR LOCKS","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5776109&GUID=C04AAEEC-EA12-403D-B956-CA0F133320A2)"
"2019-05-29","2019-114","CLUB DIAMOND","LCA.0007981","DANBURY","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2995306&GUID=78C04630-3241-4E62-BB76-8B5B2BB1BA8B)"
"2022-07-26","2022-67","HIMALAYA RESTAURANT","LRW.0005229","BERLIN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5835667&GUID=0B6FF112-7C55-4438-A45A-3760DB13C324)"
"2022-06-10","2022-6","PARAMOUNT PACKAGE STORE","LIP.0013691","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5744969&GUID=3D41A748-E630-4A8E-8652-CFCDEE977830)"
"2022-03-11","2021-487","1001 ARABIAN BITE","LIR.0020629","WEST HARTFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5857266&GUID=1C205845-2153-408B-88D3-DEDDD582505E)"
"2020-01-09","2019-330","574 WINES AND SPIRITS","LIP.0015700","MONROE","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3307785&GUID=C5700694-74EF-47EB-95D7-E20D52156D34)"
"2022-03-01","2021-476","M & S GROCERY AND DELI","LGB.0015474","BRIDGEPORT","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4621701&GUID=15EB8EFC-C46D-46FF-83B4-573E6936CC46)"
"2018-12-03","2018-346","RIKO'S PIZZA","LIR.0019880","STAMFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2805449&GUID=0287BA8F-BD97-4876-99E0-4253A1407AFC)"
"2019-02-19","2017-777","LIAN GROCERY","LGB.0013880","HARTFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2880928&GUID=D289B321-2C42-4422-B0AD-B53CC11C62E9)"
,"2022-100",,"LIW.0000651","SHELTON","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5857256&GUID=5B83E7A0-7B0F-43FC-99DC-0FFE21477FD5)"
"2020-01-09","2019-505","SAUGATUCK GRAIN AND GRAPE","LIP.0014661","WESTPORT","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3307861&GUID=F6732686-BE1D-48C8-914C-2B1835EE7907)"
,"2022-78","HOODOO BROWN BARBEQUE","LIR.0019174","RIDGEFIELD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5835675&GUID=7A37E45F-5807-4101-93AC-2B0F652FDCC1)"
,"2021-695","ROASTED","LIR.0019829","STAMFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4555929&GUID=444E5BFC-E21F-4977-8D4E-1CA4EAE8747C)"
"2020-05-28","2019-876","ACKLEY'S PACKAGE STORE","LIP.0015739","GROTON","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3345558&GUID=E69D4170-59D5-4B30-8956-5C7E07B0F291)"
"2022-03-23","2020-699","BULLSBRIDGE COUNTRY STORE","LGB.0015133","KENT","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4512083&GUID=C0B9BB07-9A4B-472C-AD6E-6CF9EED605E6)"
"2020-10-07","2019-472","THOMPSON WINE & SPIRIT","LIP.0015599","THOMPSON","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3259849&GUID=5AB740C6-7948-4DE2-97CD-8A92745AFEFB)"
"2022-03-08","2021-627","CAFE STUDIO 1537","LCA.0008107","HAMDEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4512741&GUID=628E1BCA-94DD-4D1E-AC8F-B75A260BC2B7)"
"2021-07-22","2019-1042","WHITE EAGLES SOCIETY","LPC.0000177","BRIDGEPORT","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4087893&GUID=15E38882-B01E-45CD-AF9F-BD8EB99ADB8C)"
"2020-12-01","2019-632","EL TENAMPA","LCA.0007856","NORWALK","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3301090&GUID=3DECB371-E035-495A-9651-E0B894F0339E)"
"2020-11-03","2019-88","MIX MASTER","LIP.0014749","WATERBURY","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3406818&GUID=BB9282C1-478E-498B-AA63-021B2B350686)"
"2020-10-27","2020-261",,"LIW.0000651","SHELTON","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3750217&GUID=7B55793A-F7DF-456B-9DBA-6E279FB1A2F0)"
"2020-05-12","2019-584","BONAO MARKET","LGB.0015435","WATERBURY","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3406562&GUID=58357626-E110-4F26-A201-5789A191AFEB)"
"2020-04-06","2019-871","J & J VARIETY DELI","LGB.0013549","BRIDGEPORT","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3326425&GUID=56C6CB6E-F675-4CBF-B974-3817A714DD56)"
"2020-04-06","2019-606","CALYPSO LOUNGE","LIR.0019613","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3304940&GUID=DABCF0B4-0C3B-44C1-99DA-9EC503ADFCB2)"
"2020-02-11","2019-560","7-ELEVEN","LGB.0014500","STRATFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3270553&GUID=8AECE1A2-C85A-43B6-912B-5FF8BA691164)"
"2020-01-08","2019-425","MARK'S TAVERN","LCA.0008143","EAST WINDSOR","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3301219&GUID=BBC2052E-9CAB-4532-8261-0F1C217F2C2F)"
"2019-06-05","2019-21","MIKES PACKAGE STORE","LIP.0012614","MILFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2966630&GUID=E1E26F49-9852-47A7-866B-E86DE1A4A7E0)"
"2019-05-08","2018-243","ROOSEVELTS","LCA.0007957","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2927312&GUID=09D9AEC4-55F2-4FBD-BBDF-617926E05B67)"
"2019-02-27","2018-941","COLLEGE WINE & LIQUOR","LIP.0015649","ENFIELD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2922160&GUID=CFC714B2-E7D9-4C70-A629-60ACD4BD334D)"
"2021-04-28","2020-307","LA COSTENITA BAR RESTAURANT","LIR.0020142","DANBURY","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3989963&GUID=73DDEB5F-31F3-40A8-87DF-7C96C4F82C26)"
"2021-03-11","2020-783","CAFE STUDIO 1537","LCA.0008107","HAMDEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3929506&GUID=68B5FDC0-1254-4E46-A475-29EA4A4EC0F3)"
"2021-03-01","2020-456","NEW ENGLAND CIDER COMPANY","LMC.0000019","WALLINGFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3974485&GUID=F45D8100-684F-40B3-9D3A-A520F2D68208)"
"2021-02-02","2020-508","MID CITY WINE AND SPIRITS","LIP.0015488","ANSONIA","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3894861&GUID=77586CD9-B9FF-4647-9008-3C38AAE8F7C3)"
"2021-01-04","2020-705","DIXWELL SOCIAL LOUNGE","LCA.0008233","HAMDEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3860240&GUID=81DCB84E-C52A-4AE8-B32D-66D1E274AB65)"
,"2021-603","ELM CITY TAP HOUSE","LIR.0020061","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5806460&GUID=162523E2-D7EA-491E-8F2D-9A95B87869C5)"
,"2021-527","JOSELITO MARKET","LGB.0015197","TORRINGTON","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5799824&GUID=FF9D33DF-5CD6-4810-903D-AC764CA08982)"
"2021-03-03","2019-673","PLAZA AZTECA MEXICAN RESTAURANT","LIR.0018350","NEWINGTON","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3406935&GUID=DA91C633-019B-438C-A595-FCF55CC99EEB)"
"2021-02-02","2020-262","ZODIAC","LCA.0008177","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3824654&GUID=E160FE94-91E9-4D3F-955E-34E756CB94FE)"
"2020-12-28","2020-26","M & J LLC","LIW.0000695","MILFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3406795&GUID=84325F6F-D51A-4DA0-BA12-E39072B9CEEC)"
"2019-10-07","2018-481","OCCUM PACKAGE STORE","LIP.0013183","NORWICH","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3093405&GUID=EAA8FBB8-1793-4B4B-84DE-1DF6D0F4CE3A)"
"2019-09-26","2019-500","AMTEC INTERNATIONAL OF NY CORP","LIW.0000605","NEW BRITAIN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3167909&GUID=547E84A0-DF2A-47D7-900F-B700A5D79F6E)"
"2019-09-25","2018-863","EL TENAMPA","LCA.0007856","NORWALK","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2979829&GUID=D1AB28FA-5139-42F2-BFB4-ADAA52209723)"
"2019-08-20","2019-99","FRITOS RESTAURANT AND LOUNGE","LCA.0008115","WATERBURY","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3072968&GUID=6CB9ECB3-DA69-44E4-A5BA-3BDD8D6FA091)"
"2019-08-20","2019-56","MERM'S WINE AND SPIRITS","LIP.0015305","NORWICH","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3055713&GUID=E02CB916-C059-466F-8B6F-7F13453F44EF)"
"2019-07-18","2018-825","URBAN ST. PIZZA COMPANY","LIT.0001902.P-CW","BROOKFIELD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2955805&GUID=238181AB-AA31-4836-9567-57577370B4E1)"
"2019-06-06","2017-1014","ALMA FLORA MARKET","LGB.0014498","BRIDGEPORT","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3000079&GUID=4358EBF2-B09A-467F-A09E-5ED243F764B1)"
"2019-02-11","2018-345","TROPICAL MARKET","LGB.0015159","BRISTOL","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2825007&GUID=24B682E8-8F3D-4B06-9CC2-378D41575002)"
"2022-08-09","2021-780","GOATS  GREATEST OF ALL TIMES SPORTSCENTER LLC","LIR.0020634","NORWICH","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4592323&GUID=78302F5C-0F6E-44F7-8CAE-5D3D50522042)"
"2022-06-10","2021-787","GRAND CAFE","LCA.0005444","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4541970&GUID=406B6252-1138-497E-9B2D-085FFD42D1F2)"
"2022-05-23","2021-842","MURPHY DISTRIBUTORS","LIW.0000627","BRANFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4654956&GUID=DED6B409-9D84-4EB2-8B9D-1A352C68E525)"
"2022-03-31","2019-9","BLARNEY'S","LCA.0006442","WILLIMANTIC","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3750075&GUID=DA4AFC34-8D20-43C2-9833-B44A887A0C2F)"
