"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Contractor Licensing","2 - Ensure Public Health, Safety, and Welfare","Palm Harbor multi-discipline inspector pilot","2020-04-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","50","Kick of to the project participants on 12/9/19 and project will be live in the field 1/1/20.","Lancaster, Gay","Krickovic, Michelle","Burton, Barry","Krickovic, Michelle","​The goal of this initiative is to reduce costs and response times, and improve customer service and compliance with licensure, code enforcement, and building inspections by sharing expertise and resources from multiple departments serving similar customers in a common geographic area.","Building and Development Review Services","131","This is an administrative directive.","131_Contractor Licensing_1/9/2020 8:54 AM","2019-09-02T12:00:00.000"
"Utilities","1 - Create a Quality Workforce in a Positive, Supportive Organization","Remodeling of Staff areas","2021-06-30T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Met with the REM and architech team Wednesday 10-9-19.  We reviewed the work and the options.  Agreed on the proposed work. Reviewed the materials (flooring, paint and ceiling options) that will be used on the project.  REM will be submitting to the construction team to get quotes and cost.  Once the construction team has a quote we will meet to go over the overall cost. No ETA provided when the cost analysis will be completed.","Gonzalez, Georges",,,,"*POTENTIAL ITEM TO BE REMOVED*- This project is to remodel and enhance the work area for the staff.  This project will provide staff a safe and productive workplace.  It will add several office space and meeting space.",,"393","This is a discretionary project.","393_Utilities_1/21/2020 9:56 AM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Locates Procedures","2020-02-28T12:00:00.000","Department","Completed","2019-12-24T12:00:00.000","100","Work orders are being created for locates and pictures are being added. Currently locators have laptops. Tablets are being purchased with internal cameras to reduce the time to link the photo.​","Bollenbacher, Alan",,,,"Require on-site photographs be taken for each Sunshine 811 line marking Maximo work order. The photographs should be maintained for a minimum of 30 days and be readily available to staff and management in the event of an issue.",,"458","This is as a result of an IG audit.","458_Utilities_1/16/2020 1:51 PM","2019-09-01T12:00:00.000"
"Safety and Emergency Services","2 - Ensure Public Health, Safety, and Welfare","Extend Ambulance Services Agreement","2020-09-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","25",,"Hare, Craig A","Woodrum, Greg",,,"3 year Extension of Ambulance Agreement prior to 9/30/20",,"392",,"392_Safety and Emergency Services_3/5/2020 11:02 PM","2019-10-01T12:00:00.000"
"Office of Asset Management","2 - Ensure Public Health, Safety, and Welfare","Asset Management Quality Audit Process",,"Department","Not Started",,,,"Waugh, Jeremy",,,,"Working with Departments, develop data and performance audits. Ensure audits can roll up to drive enterprise level quality improvements (EAM Strategy 1.7)",,"396","This is an administrative directive.","396_Office of Asset Management_2/4/2020 1:17 PM",
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Doing Things App Resolution",,"Department","Not Started",,,,"Walker, Tiana",,,"Walker, Tiana",,,"19",,"19_Office of Management and Budget_2/27/2020 3:14 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Update Photo Procedures","2020-02-28T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Process is being uesd and document are being developed.","Bollenbacher, Alan",,,,"Update applicable policies and procedures to incorporate the use of photographs for Sunshine 811 line marking Maximo work orders.",,"459","This is as a result of an IG audit.","459_Utilities_1/16/2020 1:54 PM",
"Utilities","3 - Practice Superior Environmental Stewardship","Implement the AMI Meter contract","2021-03-31T12:00:00.000","BCC","In Progress","2020-01-22T12:00:00.000","20","1/22/2020 Currently negotiating Project Scope budget and timeline with Carollo. 12/12/2019 Currently reviewing a draft Project design and Implementation scope of work from Carollo Engineers. The scope of work will ultimately result in a RFP to implement an electronic meter reading platform for Pinellas County Utility customers.​9/30/ 2019 Currently in contract review with Bob Peacock reviewing software and security needs.​","Peacock, Bob",,,,"Electronic Meter exchange project will enhance our data collection and provide the customer with a more accurate bill.  It will also enhance and provide PCU staff a safer environment as it relates to collecting meter data since they do not have to walk from place to place.  The meter project will allow PCU to offer monthly billing which is a huge plus for our customers.",,"392","This is a discretionary project to improve processes.","392_Utilities_1/22/2020 2:32 PM","2019-01-02T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Countywide Communication Priorities","2020-12-31T12:00:00.000","Department","In Progress",,,,"Connor, David",,,"Connor, David",,,"393",,"393_Marketing and Communications_12/27/2019 2:20 PM",
"Utilities","3 - Practice Superior Environmental Stewardship","FDEP CO Jan 13, 2019 @ SCB -OGC File No.: 19-0090 (in-kind)","2020-05-19T12:00:00.000","Department","In Progress","2020-02-21T12:00:00.000",,"Proposal submitted on  8/20/19. Proposal accepted by FDEP 8/29/2019. Equipment installed in 12/19. Draft Final Report went through legal/management review. Currently in review by Director. Needs submittal by Feb 24 to be on time. Plan to submit by Feb 14.","Drexler, Ivy","Soltau, Steve",,"Drexler, Ivy","Two power monitorsand CVs will be installed at the Generator 3 building at SCB. Will meet therequirements for the in-kind project specified under the current DEP Consent Order. Installation and completed report will be sent to FDEP unpon completion.",,"400","This is a regulatory requirement.","400_Utilities_2/4/2020 4:41 PM",
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Analyze in-house and contract services for open conveyance systems","2020-09-30T12:00:00.000","Department","In Progress","2020-02-06T12:00:00.000","5","Kickoff meeting held on 2/3 to discuss purpose and identify projects to use as comparison between contractor and in house. Discussion on LOS expectations and ability to meet them. Next meeting early march.","Goebel-Canning, Susan",,,,"Improve the delivery of Public Works projects",,"393","This is a discretionary project to improve processes.","393_Public Works_2/6/2020 4:25 PM",
"Utilities","3 - Practice Superior Environmental Stewardship","Implement the AMI Meter contract","2021-03-31T12:00:00.000","BCC","In Progress","2020-01-31T12:00:00.000","20","Currently negotiating Project Scope budget and timeline with Carollo.","Peacock, Bob",,,,"Electronic Meter exchange project will enhance our data collection and provide the customer with a more accurate bill.  It will also enhance and provide PCU staff a safer environment as it relates to collecting meter data since they do not have to walk from place to place.  The meter project will allow PCU to offer monthly billing which is a huge plus for our customers.",,"392","This is a discretionary project to improve processes.","392_Utilities_1/31/2020 10:34 AM","2019-01-02T12:00:00.000"
"Emergency Management","2 - Ensure Public Health, Safety, and Welfare","Update Hazard Assessment and Capabilities",,"Department","On Hold",,,,"Hendrix, Stephanie M","Borries, Joseph G",,"Hendrix, Stephanie M",,,"424",,"424_Emergency Management_12/8/2021 10:39 AM",
"Utilities","3 - Practice Superior Environmental Stewardship","Implement the AMI Meter contract","2021-03-31T12:00:00.000","BCC","In Progress","2020-01-22T12:00:00.000","20","1/22/2020 Currently negotiating Project Scope budget and timeline with Carollo.","Peacock, Bob",,,,"Electronic Meter exchange project will enhance our data collection and provide the customer with a more accurate bill.  It will also enhance and provide PCU staff a safer environment as it relates to collecting meter data since they do not have to walk from place to place.  The meter project will allow PCU to offer monthly billing which is a huge plus for our customers.",,"392","This is a discretionary project to improve processes.","392_Utilities_1/28/2020 8:04 AM","2019-01-02T12:00:00.000"
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Transition AMSkills","2020-07-15T12:00:00.000","BCC","In Progress","2020-02-25T12:00:00.000","20","Recruitment is currently underway and         also contacting all current vendors/suppliers/partners. The 501c3 attorney is working on a draft of the termination of Interlocal documents.","Meidel, Mike",,,"Meidel, Mike","The BCC has supported a pilot program to provide manufacturing skills training to residents of Pasco, Pinellas and Hernando counties for over five years.  The program is now transitioning to become a private foundation.",,"393",,"393_Economic Development_2/25/2020 10:29 AM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","WE Dunn WRF Master Plan","2020-02-28T12:00:00.000","BCC","In Progress","2020-02-04T12:00:00.000","85","Draft master plan issued for staff comments to be incorporated into final draft and consultant to prepare master plan presentation with recommendations. All comments submitted to consultant.  Consultant will finalize the Master plan and submit to the county.","Cook, Margaret R","Menke, Tom",,,"This master plan will address short and long term capital improvement needs for the WE Dunn Water Reclamation Facility. These projects will address aged infrastructure, and modifications needed due to changes in regulatory requirements. The WEDWRF Master Plan will provide the COUNTY with an organized and prioritized plan for implementing recommended improvements.","Utilities","405","This is as a result of an IG audit.","405_Utilities_2/4/2020 3:40 PM","2019-01-01T12:00:00.000"
"Solid Waste","3 - Practice Superior Environmental Stewardship","Implement plan to control waste flow on-site","2021-05-31T12:00:00.000","Department","Not Started","2020-03-06T12:00:00.000",,,"Eichner, Catherine","Bush, Deb B",,,"Implement plan to control waste flow on-site","Solid Waste","521","This is a discretionary project to improve processes.","521_Solid Waste_3/6/2020 1:52 PM",
"Administrative Services","3 - Practice Superior Environmental Stewardship","Ensure Flood Zones have been updated for county structure pertaining to insurance","2019-09-01T12:00:00.000","Department","In Progress",,,,"Kahler, Richard A",,,"Kahler, Richard A",,,"394",,"394_Administrative Services_1/10/2020 10:57 AM",
"Utilities","3 - Practice Superior Environmental Stewardship","FDEP CO Jan 13, 2019 @ SCB -OGC File No.: 19-0090 (in-kind)","2020-05-19T12:00:00.000","Department","In Progress","2020-01-27T12:00:00.000",,"Proposal submitted on  8/20/19. Proposal accepted by FDEP 8/29/2019. SCB staff in process of procuring equipment - deadline is to install within 180 days from 8/29. Equipment for in-kind project in procurement process 11/8/2019. Equipment installed in 12/19. Draft Final Report in legal/management review. Intend to submit to DEP by Jan 31, 2020 to meet deadline.","Drexler, Ivy","Soltau, Steve",,"Drexler, Ivy","​***IVY DREXLER TO UPDATE*** Two power monitorsand CVs will be installed at the Generator 3 building at SCB. Will meet therequirements for the in-kind project specified under the current DEP Consent Order. Installation and completed report will be sent to FDEP unpon completion.",,"400","This is a regulatory requirement.","400_Utilities_2/3/2020 10:57 PM",
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","PPM Workflows and Project Management System Development","2020-06-30T12:00:00.000","Department","In Progress","2020-02-06T12:00:00.000",,"This item was removed from the workplan","Goebel-Canning, Susan",,,,"Improve the delivery of Capital Improvement projects.",,"394","This is a discretionary project to improve processes.","394_Public Works_2/6/2020 4:25 PM",
"Public Works","4 - Foster Continual Economic Growth and Vitality","Explore feasibility of developing a Pinellas County Utility Accommodation Manual","2020-11-01T12:00:00.000","Department","In Progress","2020-02-12T12:00:00.000","1","Joe Morrissey, Asst. Cty. Atty, CAO, supports this effort.  Next step is to send FDOT example to Public Works Stakeholders for comment.","Scholpp, Susan C",,,,"Explore the creation of a Pinellas Count Utility Accommodation Manual (UAM)","County Attorney, Public Works","407","This is a discretionary project to improve processes.","407_Public Works_2/22/2020 7:57 AM","2019-11-01T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Develop New County Website","2021-12-31T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","15",,"Derr, Brian",,,"Derr, Brian","The new County website initiative is a conversion of thousands of pages of content into a content management system. It will1.Create a mobile-friendly site.2.Create consistent user experience across the site.3.Enable website visitors to find the information they need without having to understand the County's structure.4.Provide access to information that resides on other county websites such as the Property Appraiser, Clerk, and Sheriff's sites through a multisite search.5.Distribute content creation while centralizing content review and site structure decisions.6.Make the site 100% complaint with the Americans with Disabilities Act (ADA).7.Update the design to make it better reflect Pinellas County as a progressive, forward-thinking local government.",,"395",,"395_Marketing and Communications_1/29/2020 3:08 PM",
"Utilities","3 - Practice Superior Environmental Stewardship","FDEP CO Jan 13, 2019 @ SCB -OGC File No.: 19-0090 (in-kind)","2020-05-19T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Proposal submitted on  8/20/19. Proposal accepted by FDEP 8/29/2019. SCB staff in process of procuring equipment - deadline is to install within 180 days from 8/29. Equipment for in-kind project in procurement process 11/8/2019.","Drexler, Ivy",,,,"​***NEED UPDATE*** Two power monitorsand CVs will be installed at the Generator 3 building at SCB to meet therequirements for the in-kind project specified under the current Consent Order",,"400","This is a regulatory requirement.","400_Utilities_1/21/2020 2:36 PM",
"Office of Asset Management","5 - Deliver First Class Services to the Public and Our Customers","Develop Asset Management Technology Implementations","2022-03-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","10","1/6/2020- Track2 Cityworks Implementation Project started in October 2019.","Waugh, Jeremy",,,,"Develop, configure, and implement software tools for Countywide and Departmental asset management activities on common platforms (EAM Strategy 11.3)",,"392","This is an administrative directive.","392_Office of Asset Management_1/6/2020 3:57 PM","2020-01-01T12:00:00.000"
"Animal Services","5 - Deliver First Class Services to the Public and Our Customers","Implement Animal Services Accela Project","2021-01-31T12:00:00.000","County Administration","In Progress",,,,"Brightwell, Doug",,"Brightwell, Doug","Balinski, Carrie M",,"Office of Technology and Innovation","195","This is a discretionary project to improve processes.","195_Animal Services_2/19/2020 2:02 PM","2018-12-01T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","SCB AWRF Master Plan","2020-07-30T12:00:00.000","BCC","In Progress","2020-02-04T12:00:00.000","55","Project on schedule.  County providing existing data to consultant. B&V continued to work on population and flow/loading projections. Consultant developed a CIP tool template for the plant and began populating it with prelimnary projects.","Engelmann, Michael","Menke, Tom",,,"Master Plan will provide the COUNTY with a 20-year planning horizon (through year 2040).  Project includes short and long term goals, future population/flow increases, and future regulatory requirements. Also considered are previous and ongoing studies, safety, security, resiliency and sustainability efforts, and assessment of the existing infrastructure.","Utilities","406","This is as a result of an IG audit.","406_Utilities_2/4/2020 3:39 PM","2019-01-01T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","Design a Regional Resource Recovery Facility","2020-09-30T12:00:00.000","BCC","In Progress","2020-02-20T12:00:00.000","40","PID# 002246D assigned. Working it's way though the Purchasing process now. Ready to bid expected by midFebruary 2020.","French, John","Menke, Tom","Soltau, Steve","French, John","Feasibility and design for a Regional Resource Recovery Facility for the treatment of regional solid waste and wastewater biosolids. This facility intends to eliminate land applied biosolids and minimize environmental impact statewide. The intent is to have a Regional partnership and committment with wastewater treatment facilities within and outside of Pinellas County.",,"434","This is a regulatory requirement.","434_Utilities_2/3/2020 10:35 PM","2019-08-01T12:00:00.000"
"Utilities","3 - Practice Superior Environmental Stewardship","FDEP CO Jan 13, 2019 @ SCB -OGC File No.: 19-0090 (in-kind)","2020-05-19T12:00:00.000","Department","In Progress","2020-01-22T12:00:00.000",,"Proposal submitted on  8/20/19. Proposal accepted by FDEP 8/29/2019. SCB staff in process of procuring equipment - deadline is to install within 180 days from 8/29. Equipment for in-kind project in procurement process 11/8/2019.","Drexler, Ivy",,,,"​***NEED UPDATE*** Two power monitorsand CVs will be installed at the Generator 3 building at SCB. Will meet therequirements for the in-kind project specified under the current DEP Consent Order. Installation and completed report will be sent to FDEP unpon completion.",,"400","This is a regulatory requirement.","400_Utilities_1/22/2020 1:50 PM",
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Analyze in-house and contract services for open conveyance systems","2020-09-30T12:00:00.000","Department","In Progress","2020-02-06T12:00:00.000","5","Kickoff meeting held on 2/3 to discuss purpose and identify projects to use as comparison between contractor and in house. Discussion on LOS expectations and ability to meet them. Next meeting early march  compare identified projects.","Goebel-Canning, Susan",,,,"Improve the delivery of Public Works projects",,"393","This is a discretionary project to improve processes.","393_Public Works_2/7/2020 8:54 AM",
