"artwork","last_name","first_name","location","medium","project_status","description","page_link","latitude","longitude","mapped_location"
"B.032.02","Schumacher","KJ","Historic Metro Courthouse","colored tape over color photograph","Complete","These works are primarily about creative practice and process, specifically as those endeavors relate to mark-making. The artist begins the process by culling source material in the form of marks and remnants. In reusing these often discarded marks, the artist hopes to raise awareness of their intrinsic importance in shared experiences.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/2e7528bb-83ae-4734-81c9-f821ecd0abf5/23/%3Fi%3D23%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Dancing  in the Streets of Music City","McBride","Michael J.","Historic Metro Courthouse","acrylic on canvas","Complete","Created during a live painting exhibition, this work shows the artist’s glimpse into a celebratory side of Nashville without typical guitar and music industry icons.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/c2a3e5b3-ba6c-4e05-9c2b-e1035ab098a2/31/%3Fi%3D31%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Idle Bloom at Grimey's Basement","Collins","Paul","Metro Office Building","ink (posca pen) on paper","Complete","This work is part of a series of on-site drawings at Grimey’s basement music venue is an effort to capture the changing Nashville cityscape. The artist went every night for a few weeks, working in the crowd and drawing any and every band and the scenes that unfolded.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/dd93efc6-55d6-4c3f-9325-353946a3dc0f/8/%3Fi%3D8%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.153121","-86.768797","POINT (-86.768797 36.153121)"
"News of The World","Killebrew","Bill","Historic Metro Courthouse","oil on linen","Complete","The subject is a close friend of the artist, a fellow visual artist who has gained success in part because of his commandeering of his own southern identity. In this work, the artist seeks to bring significant form to everyday things and people, deriving meaning from the materials and the resolved piece.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/32f34c49-5bd7-41e7-9b67-6099f20cce41/16/%3Fi%3D16%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Runner","Haston","Brady","Historic Metro Courthouse","oil on linen","Complete","Based on impressions and landmarks of Nashville’s Dickerson Pike area and influenced by the artist’s reading of Paul Clements’ Chronicles of the Cumberland, these works seek to engage the audience through an elaborate metaphor and create conversations about this part of Nashville, while orienting the viewer in a local, ongoing timeline.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/69802ea7-9bad-468a-8b6d-b57d41a3a85a/27/%3Fi%3D27%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Turnips Greens","Jones","Seitu","Nashville Farmers' Market","aluminum, paint","Complete","Seitu Jones’ Turnip Greens is a large, suspended sculpture of an overflowing bushel of turnip greens, serving as a focal point of the market house and complemented by Adanedi, a two-part mural from Norf Art Collective","https://www.metroartsnashville.com/metro-public-art-collection?pgid=jkx0tpry-1a700ddc-2cbb-47fc-b2d1-a944640eb104","36.170913","-86.788901","POINT (-86.788901 36.170913)"
"Hesse Creek Rockfall","Whitver","Harry","Madison Branch Library","Oil on canvas","Complete","Hesse Creek Rockfall is located near the Great Smoky Mountains National Park in East Tennessee. Harry Whitver started the painting at the actual site of the subject, ‘plein-air’ style, then finished it in his studio. His work builds on the skills and insight developed over four decades of commercial work evolved and applied to an abstract aesthetic.","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-c8dc5a21-7e3f-445a-b51d-4faecd48daaf","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"Mill Creek, near Demonbreun's Cave","Guider","John","Metro Office Building","archival digital print","Complete","As a photographer in an urban setting, the artist avoids familiar viewpoints and ventures off the beaten path. Many of the views he captures can only be seen by water.","https://www.metroartsnashville.com/fullscreen-page/comp-k26i7kkw/519bf0c1-d685-4fca-9eab-ae9a535314b7/12/%3Fi%3D12%26p%3Dvbh99%26s%3Dstyle-k26i7kl3%26rl%3D1","36.153121","-86.768797","POINT (-86.768797 36.153121)"
"Shelby Bottoms","Whiteside","Ripley","Madison Branch Library","Watercolor on paper","Complete","Shelby Bottoms was created from watercolor paints dripped and laid on paper. Ripley Whiteside was inspired by a walk near Shelby Bottoms during the spring of 2020. Of his practice, he says: “My drawings, paintings and prints engage with ecology in motion and the transformation of landscape. I am fascinated and haunted by the premise that we may not know as much as we think we do about how our present and future are being shaped by a swiftly changing climate.”","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-46d27e58-b868-453d-b005-0307cb3d4211","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"The Gathering","Hunter","Sherri Warner","Edmondson Park","concrete, quarry tile","Complete","Created by artist Sherri Warner Hunter in 2001 with the help of students and staff from the Oasis Center and dozens of community volunteers, The Gathering consists of four amorphous figures, ranging from 2-8 feet tall and covered in brightly colored mosaic tiles. The abstracted forms of the oversized figures act as a seating area and community gathering place within Edmondson Park","https://www.metroartsnashville.com/fullscreen-page/comp-jkx0tpry/6faf2f97-98bf-4e2b-bdfe-ae28f035040d/9/%3Fi%3D9%26p%3Djmz0l%26s%3Dstyle-ju8mdzea%26rl%3D1","36.1866405","-86.7852455","POINT (-86.7852455 36.1866405)"
