"primary_key","incident_number","report_type","report_type_description","incident_status_code","incident_status_description","investigation_status","incident_occurred","incident_reported","incident_location","latitude","longitude","zip_code","rpa","zone","location_code","location_description","offense_number","offense_nibrs","offense_description","weapon_primary","weapon_description","victim_number","domestic_related","victim_type","victim_description","victim_gender","victim_race","victim_ethnicity","victim_county_resident","mapped_location"
"20220408697_11","20220408697","S","SUSPECT","O","OPEN","Open","2022-08-17T12:00:00.000","2022-08-17T22:32:00.000","ELLISTON PL","36.15","-86.8",,,,"26","SPECIALTY STORE","1","26B","CREDIT CARD, FRAUDULENT USE - $1,000 OR LESS","17","NONE","1","false","B","BUSINESS",,,,,"POINT (-86.8 36.15)"
"20220408661_11","20220408661","S","SUSPECT","O","OPEN","Open","2022-08-17T22:54:00.000","2022-08-17T22:54:00.000","LARGO DR","36.08","-86.7",,,,"20","PARKING LOT, GARAGE","1","780","RECOVERY, STOLEN PROPERTY","16","Unarmed","1","false","I","INDIVIDUAL (18 AND OVER)","M","W","Hispanic","RESIDENT","POINT (-86.7 36.08)"
"20220408652_11","20220408652","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T21:40:00.000","2022-08-17T22:07:00.000","3909 3909",,,"37076",,,"90","APARTMENT","1","740","POLICE INQUIRY","17","NONE","1","true","I","INDIVIDUAL (18 AND OVER)","F","W","Non-Hispanic","RESIDENT",
"20220408620_11","20220408620","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T21:51:00.000","2022-08-17T21:51:00.000","2800 2800","36.213","-86.695","37214",,,"14","HOTEL, MOTEL, ETC.","1","810","LOST PROPERTY","17","NONE","1","false","I","INDIVIDUAL (18 AND OVER)","M","W","Non-Hispanic","NON RESIDENT","POINT (-86.695 36.213)"
"20220408596_11","20220408596","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T19:37:00.000","2022-08-17T22:02:00.000","300 300","36.202","-86.766","37207",,,"22","RESIDENCE, HOME","1","740","POLICE INQUIRY","17","NONE","1","true","I","INDIVIDUAL (18 AND OVER)","F","W","Non-Hispanic","RESIDENT","POINT (-86.766 36.202)"
"20220408536_11","20220408536","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T18:00:00.000","2022-08-17T21:19:00.000","1317 1317","36.14","-86.765","37203",,,"22","RESIDENCE, HOME","1","740","POLICE INQUIRY","17","NONE","1","true","I","INDIVIDUAL (18 AND OVER)","M","W","Non-Hispanic","RESIDENT","POINT (-86.765 36.14)"
"20220408493_11","20220408493","D","DISPATCHED","O","OPEN","Open","2022-08-17T15:50:00.000","2022-08-17T23:03:00.000","SCRUGGS LN","36.21","-86.78",,,,"90","APARTMENT","1","740","POLICE INQUIRY","17","NONE","1","true","I","INDIVIDUAL (18 AND OVER)","F","B","Non-Hispanic","RESIDENT","POINT (-86.78 36.21)"
"20220408475_11","20220408475","D","DISPATCHED","O","OPEN","Open","2022-08-17T20:50:00.000","2022-08-17T20:50:00.000","W TRINITY LN","36.21","-86.78",,,,"90","APARTMENT","1","240","VEHICLE THEFT","17","NONE","1","false","I","INDIVIDUAL (18 AND OVER)","M","B","Non-Hispanic","RESIDENT","POINT (-86.78 36.21)"
"20220408470_11","20220408470","S","SUSPECT","O","OPEN","Open","2022-08-17T16:00:00.000","2022-08-17T20:14:00.000","GREEN HILLS VILLAGE DR","36.11","-86.81",,,,"23","RESTAURANT","1","26B","CREDIT CARD, FRAUDULENT USE - $1,000 OR LESS","17","NONE","1","false","B","BUSINESS",,,,,"POINT (-86.81 36.11)"
"20220408409_11","20220408409","D","DISPATCHED","O","OPEN","Open","2022-08-17T16:00:00.000","2022-08-17T19:56:00.000","BELMONT BLVD","36.14","-86.8",,,,"5","COMMERCIAL, OFFICE BUILDING","1","23D","LARC - FROM BLDG","09","PERSONAL (HANDS)","1","false","I","INDIVIDUAL (18 AND OVER)","F","W","Non-Hispanic","RESIDENT","POINT (-86.8 36.14)"
"20220408389_11","20220408389","D","DISPATCHED","O","OPEN","Open","2022-08-15T12:00:00.000","2022-08-17T19:37:00.000","N 5TH ST","36.19","-86.76",,,,"22","RESIDENCE, HOME","1","740","POLICE INQUIRY",,,"1","false","I","INDIVIDUAL (18 AND OVER)","M","B","Non-Hispanic","RESIDENT","POINT (-86.76 36.19)"
"20220408363_11","20220408363","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T19:00:00.000","2022-08-17T20:53:00.000","388 388","36.05","-86.711","37211",,,"22","RESIDENCE, HOME","1","740","POLICE INQUIRY","17","NONE","1","true","I","INDIVIDUAL (18 AND OVER)","F","W","Non-Hispanic","RESIDENT","POINT (-86.711 36.05)"
"20220408352_11","20220408352","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T19:59:00.000","2022-08-17T19:59:00.000","515 515","36.157","-86.884","37209",,,"90","APARTMENT","1","740","POLICE INQUIRY","17","NONE","1","true","I","INDIVIDUAL (18 AND OVER)","F","B","Non-Hispanic","RESIDENT","POINT (-86.884 36.157)"
"20220408351_11","20220408351","D","DISPATCHED","O","OPEN","Open","2022-08-14T01:30:00.000","2022-08-17T19:35:00.000","BRENTWOOD MEADOWS CIR","36.04","-86.75",,,,"21","RENTAL STORAGE FACILITY","1","240","VEHICLE THEFT",,,"1","false","I","INDIVIDUAL (18 AND OVER)","F","W","Non-Hispanic","RESIDENT","POINT (-86.75 36.04)"
"20220408322_12","20220408322","D","DISPATCHED","O","OPEN","Open","2022-08-17T18:31:00.000","2022-08-17T19:54:00.000","SOUTHRIDGE DR","36.23","-86.76",,,,"22","RESIDENCE, HOME","1","90F","FAMILY OFFENSE","17","NONE","2","false","S","SOCIETY",,,,,"POINT (-86.76 36.23)"
"20220408292_11","20220408292","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T18:00:00.000","2022-08-17T18:44:00.000","922 922","36.2","-86.752","37207",,,"22","RESIDENCE, HOME","1","740","POLICE INQUIRY","17","NONE","1","false","I","INDIVIDUAL (18 AND OVER)","F","B","Non-Hispanic","RESIDENT","POINT (-86.752 36.2)"
"20220408289_11","20220408289","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T17:51:00.000","2022-08-17T22:07:00.000","2049 2049","36.164","-86.571","37076",,,"20","PARKING LOT, GARAGE","1","740","TRANSPORT","17","NONE","1","false","I","INDIVIDUAL (18 AND OVER)","M","W","Non-Hispanic","RESIDENT","POINT (-86.571 36.164)"
"20220408284_11","20220408284","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T17:56:00.000","2022-08-17T22:26:00.000","2202 2202","36.206","-86.769","37207",,,"13","HIGHWAY, ROAD, ALLEY","1","715","FOUND PROPERTY","17","NONE","1","false","I","INDIVIDUAL (18 AND OVER)","M","W","Non-Hispanic","RESIDENT","POINT (-86.769 36.206)"
"20220408267_11","20220408267","D","DISPATCHED","O","OPEN","Open","2022-08-17T12:00:00.000","2022-08-17T18:05:00.000","BAY COVE TRL","36.07","-86.96",,,,"22","RESIDENCE, HOME","1","26E","FRAUD BY WIRE",,,"1","false","I","INDIVIDUAL (18 AND OVER)","F","W","Non-Hispanic","RESIDENT","POINT (-86.96 36.07)"
"20220408237_11","20220408237","D","DISPATCHED","U","UNFOUNDED","Closed","2022-08-17T17:12:00.000","2022-08-17T18:14:00.000","4 4","36.156","-86.765","37210",,,"90","APARTMENT","1","760","OVERDOSE","17","NONE","1","false","I","INDIVIDUAL (18 AND OVER)","M","W","Non-Hispanic","RESIDENT","POINT (-86.765 36.156)"
"20220408231_11","20220408231","D","DISPATCHED","O","OPEN","Open","2022-08-17T18:32:00.000","2022-08-17T18:32:00.000","COMMERCE ST","36.16","-86.78",,,,"5","COMMERCIAL, OFFICE BUILDING","1","23D","LARC - FROM BLDG","17","NONE","1","false","B","BUSINESS",,,,,"POINT (-86.78 36.16)"
