Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
ZIGGY,CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,SMALL,08/28/2007,K13-005041,WESTFARM,A295782,08/17/2013,01/07/2014,143,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1
NALA,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,03/27/2007,K13-005202,LOBBY,A296108,08/24/2013,03/01/2014,189,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*KITTEN KIT,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,10/01/2013,K13-006355,RECEIVING,A298767,10/26/2013,01/09/2014,75,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*SEBASTOPOL,95472,"95472(38.394388, -122.850998)",1
LILLY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,11/07/2008,K13-006514,LOBBY,A299195,11/07/2013,02/14/2014,99,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
SARAH,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,07/06/2004,K13-006835,LOBBY,A294009,11/30/2013,06/09/2014,191,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
BOO BOO,CAT,MUNCHKIN SH,GRAY TABBY,Neutered,SMALL,12/09/2001,K13-006917,CA02,A300300,12/05/2013,01/07/2014,33,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,*WINDSOR,OUT OF COUNTY,97003,"97003(45.506026, -122.884189)",1
HEIDI,CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,SMALL,12/10/2004,K13-006966,CA02,A300450,12/10/2013,01/14/2014,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
ELVIS,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,12/14/1999,K13-007021,CI01,A300612,12/14/2013,01/02/2014,19,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,,,,1
*JULIUS,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,08/20/2013,K13-007079,LOBBY,A300770,12/19/2013,01/21/2014,33,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95446,"95446(38.510032, -122.996796)",1
JEZEBEL,CAT,DOMESTIC SH,ORANGE/WHITE,Spayed,SMALL,12/20/2000,K13-007099,CS04,A300821,12/20/2013,01/22/2014,33,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,AD NWSPAPR,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
HARLOW,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,01/07/2012,K13-007113,49ERPET,A300861,12/21/2013,01/18/2014,28,STRAY,FIELD,ADOPTION,49ER PET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC MH,BRN TABBY,Female,SMALL,,K13-007126,TX,A300883,12/24/2013,01/03/2014,10,TRANSFER,VET_HOSP,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
*LILAC,CAT,HIMALAYAN,LILAC PT,Spayed,SMALL,01/07/2008,K13-007146,WESTFARM,A300921,12/26/2013,01/26/2014,31,TRANSFER,VET_HOSP,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94114,"94114(37.758161, -122.436326)",1
LACEY,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,12/27/2006,K13-007161,WESTFARM,A031376,12/26/2013,01/16/2014,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94579,"94579(37.688234, -122.15302)",1
SOOKIE,CAT,DOMESTIC LH,BLACK/WHITE,Spayed,LARGE,12/27/2010,K13-007166,CA02,A300956,12/27/2013,01/18/2014,22,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541541, -122.809202)",1
MONKEY BEAR,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,12/27/2008,K13-007164,CA02,A300954,12/27/2013,01/08/2014,12,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.510032, -122.996796)",1
ROSIE,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,12/27/2007,K13-007165,CA02,A300955,12/27/2013,01/08/2014,12,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.510032, -122.996796)",1
,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,12/28/2006,K13-007186,CS06,A301038,12/28/2013,01/02/2014,5,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
SAMMY,CAT,DOMESTIC MH,BLACK,Neutered,SMALL,,K13-007191,CS06,A301045,12/29/2013,01/02/2014,4,QUARANTINE,FIELD_RETURN TO OWNER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,COUNTY,COUNTY,95442,"95442(38.371317, -122.520506)",1
