"agency_name","address","city","state","zip_code","phone_number","fax","region_covered","assisted_living_program_1","assisted_living_program_2","assisted_living_program_2e","assisted_living_program_3","vision_rehab","orientation_mobility","social_casework_level_1","social_casework_level_2","pre_vocationa_young_adults","diagnostic_vocational_evaluation","academic_instruction","vocational_skills","work_readiness","work_experience","comprehensive_service_contract","job_placement_service_dve_contract","georeference"
"Abilities, Inc.","201 I.U. Willets Road","Albertson","NY","11507","516-465-1491","516-465-3757","8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-73.657552 40.769505)"
"ABVI-Goodwill","422 South Clinton Avenue","Rochester","NY","14620","585-232-1111","585-232-8265","2","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","Y","Y","Y","POINT (-77.603994 43.148512)"
"Alphapointe","3611 14th Avenue","Brooklyn","NY","11218-3750","718-854-7300","718-854-2700","6,7,8","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","Y","Y","POINT (-73.98263 40.640688)"
"Andrea Todaro","PO Box 801","Buffalo","NY","14201","716-883-1793","716-883-1793","1,2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y",
"Association for the Visually Impaired (AVI)","260 Old Nyack Turnpike","Spring Valley","NY","10979","845-574-4950","845-574-4944","5","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","N","Y","Y","Y","POINT (-74.046228 41.101677)"
"Aurora of Central New York, Inc","518 James Street,   Suite 100","Syracuse","NY","13203-2282","315-422-7263","315-422-4792","3","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","POINT (-76.145098 43.054018)"
"AVRE","174 Court Street","Binghamton","NY","13901","607-724-2428","607-771-8045","3","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","Y","Y","Y","Y","POINT (-75.906807 42.099927)"
"Black Veterans for Social Justice, Inc.","665 Willoughby Avenue","Brooklyn","NY","11206","718-852-6004 ext. 250",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-73.94253 40.694636)"
"Bronx Independent Living Services","4419 Third Avenue, Suite 2C","Bronx","NY","10457","718-515-2800","718-515-2844","8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-73.892976 40.851897)"
"Candace Stout","107 Spook Ridge Road","Montague","NJ","7827","201-317-3965","201-317-3965",,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-74.758794 41.300907)"
"Catskill Center for Independence","6104 State Highway 23","Oneonta","NY","13820","607-432-8000","607 -432-6907","4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-75.016597 42.446703)"
"Center for Disability Services, Inc.","314 South Manning Boulevard","Albany","NY","12208","518-427-2212","518-482-1629","4","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-73.806302 42.654402)"
"Central Association for the Blind & Visually Handicapped","507 Kent Street","Utica","NY","13501","315-797-2233","315-797-2244","3","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","POINT (-75.224306 43.099563)"
"Chautauqua Blind Association","510 West Fifth Street","Jamestown","NY","14701","716-664-6660","716-664-1193","1","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","N","POINT (-79.248568 42.096995)"
"Clinton-Essex-Warren-Washington BOCES (CEWW)","PO Box 455","Plattsburgh","NY","12901","518-561-0100 ext. 211",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y",
"Community Options New York, Inc.","182-184 State Street","Binghamton","NY","13901","609-951-9900",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-75.911816 42.101231)"
"DRS & Associates","4549 Main Street","Amherst","NY","14226","716-633-7138","716-633-4009","1","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-78.781881 42.962781)"
"FEDCAP Rehabilitation Services, Inc.","633 Third Avenue, 6th Floor","New York","NY","10017","212-727-4200","212-727-4374","6,7,8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-73.975084 40.749911)"
"Glens Falls Association f/t Blind","144 Ridge Street","Glens Falls","NY","12801","518-792-3421","518-792-3430","4","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","N","POINT (-73.643625 43.314547)"
"Goodwill Industries of Greater NY & Northern NJ","4-21 27th Avenue","Astoria","NY","11102","718-777-6357","718-371-7236","8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-73.932697 40.774487)"
"Helen Keller National Center","141 Middle Neck Road","Sands Point","NY","11050","516-944-8900 x 253",,"1,2,3,4,5,6,7,8","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","POINT (-73.706128 40.856696)"
"Helen Keller Services for the Blind","57 Willowby Street","Brooklyn","NY","11201","718-522-2122","718-935-9463","6,7,8","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","POINT (-73.994783 40.69953)"
"Heritage Christian Services","275 Kenneth Drive","Rochester","NY","14623","585-340-2000",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-77.643353 43.060544)"
"Jawonio, Inc.","260 N. Little Tor Road","New City","NY","10956","845-708-2000 ext. 1305","845-639-3539","5","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-74.004877 41.163222)"
"Kulanu Academy","PO Box 305","Cedarhurst","NY","11516","516-569-3083 ext. 139",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y",
"Liberty Resources, Inc","1065 James Street","Syracuse","NY","13203","315-425-1004","315-479-7884","3","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-76.131899 43.060488)"
"Lighthouse Guild (Jewish Guild)","250 W 64th St","New York","NY","10023","(800) 284-4422",,"8","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","Y","POINT (-73.98765 40.774526)"
