"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"The Child Advocacy Centerof the Finger Lakes","482 n. Main Street","Canandaigua","NY","14424","(585) 394-2573","ONTARIO, SENECA, YATES","Multidisciplinary/Children's Advocacy Center","VOCA (OVS)","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environmen","10/1/20- 9/30/22","C028952","120000.00","http://partnershipforontariocounty.org/","POINT (-77.292175 42.902855)"
"Albany County Crime Victim and Sexual Violence Center","112 State Street, Rm 1010","Albany","NY","12207","(518) 447-7100","ALBANY","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA03","194670.00",,"POINT (-73.753899 42.650347)"
"Catholic Charities of the Roman Catholic Diocese of Syracuse","1654 West Onodaga Street","Syracuse","NY","13204","(315) 424-1800","ONONDAGA","Child Abuse Prevention","Public Private Partnership","ParentChild+ Home Visiting Program. Includes the core model for families with children ages 16 mos. to 4 years and the Family Child Care model.","03/1/19-11/30/20","C028460","285249.00","https://www.syracusediocese.org/offices/catholic-charities/","POINT (-76.181678 43.033694)"
"Delaware Opportunities, Inc.","35430 State Highway 10","Hamden","NY","13782","(607) 746-6278","DELAWARE","Sexual Assault","FVPSA  ARP SA","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA07","194670.00","http://www.delawareopportunities.org","POINT (-74.999481 42.188267)"
"Hillside Work Scholarship Connection, Inc.","1183 Monroe Avenue","Rochester","NY","14607","(585) 654-1486","MONROE","Youth Development","Public Private Partnership","Overcoming Educational Challenges Project for 9th graders at risk of dropping out.","03/1/19-11/30/20","C028455","416259.00","http://www.hillside.com/HWSCSyracuse.aspx","POINT (-77.579253 43.138341)"
"Lifespan of Greater Rochester, Inc.","1900 South Clinton Avenue","Rochester","NY","14618","(585) 244-8400","MONROE","Elder Abuse Prevention","Trust Fund","Elder Abuse Prevention Program. Support services to LGBTQ Elders at risk for Abuse and community education regarding prevention of LGBTQ Elder Abuse in the Rochester area.","8/1/19-7/31/24","C028535","40000.00","https://www.lifespan-roch.org/","POINT (-77.594889 43.121047)"
"New York Council On Adoptable Children","333 W. 39th St, Fl 2","New York","NY","10018","(212) 475-0222","ALL NYC","Post Adoption","Temporary Assistance For Needy Families","Providing services to keep pre- and post- adoptive families including information and referral, advocacy, counseling, case management, support groups, respite, mentor programs, crisis intervention, and youth development.","11/1/17-10/31-22","C028075","425569.00","http://www.coac.org","POINT (-73.992749 40.755992)"
"NY Presbyterian - Weill Cornell Medical Center","525 East 68 Street","New York","NY","10065","(212) 305-0584","NEW YORK CITY","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA27","30584.00",,"POINT (-73.954335 40.76415)"
"The New York Foundling Hospital","590 Avenue of the Americas","New York","NY","10011","(914) 623-3461","NEW YORK","Child Abuse Prevention","Public Private Partnership","Nurturing Family Health Initiative: To strengthen families by building the following protective factors to reduce the risks of child abuse and maltreatment:   Functional Family Therapy(Behavioral Health) program serves families in their homes, drawing on a network of community partnerships for referrals and resources. GenerationPMTO aims to teach effective family management skills in order to reduce antisocial and problematic behavior in children who range in age from 3 through 16 years.","03/1/19-11/30/20","C028454","416259.00","https://www.nyfoundling.org/","POINT (-73.995583 40.73907)"
"Vera House, Inc.","6181 Thompson Road, Ste. 100","Syracuse","NY","13206","(315) 468-3260","ONONDAGA","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA42","194670.00","http://www.verahouse.org","POINT (-76.090289 43.070219)"
"Victims Information Bureau of Suffolk, Inc.","P. O. Box 428","Holbrook","NY","11741","(631) 360-3606","SUFFOLK","Elder Abuse Prevention","SRO","Expansion of Elder Abuse Prevention Program to increase number served and to address dementia and language/cultural barriers.","9/1/18-7/31/19","C026954","60000.00","http://www.vibs.org",
"Forestdale, Inc.","67-35 112th Street","Forest Hills","NY","11375","(718) 263-0740","Queens","Prevention","Trust Fund","Focuses on domestic violence in families and individuals who are most at risk for its after-effects. Services are provided to survivors, perpetrators, and children who have witnessed and/or experienced domestic violence. Primarily serves low-income neighborhoods in Queens to address family violence, trauma, loss and separation.","8/1/19-7/31/24","C028537","150000.00","https://www.forestdaleinc.org","POINT (-73.842577 40.7293)"
"Schenectady County Public Health Services","107 Nott Terrace, Suite 304","Schenectady","NY","12308","(518) 386-2824 x. 9-927","Schenectady","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","7/1/20-6/3025","C028894","629865.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.933712 42.813973)"
"St. Catherine's Center for Children (Upstate)","40 North Main Ave.","Albany","NY","12033","(518)453-6700","ALBANY, SCHENECTADY","Kinship","State Aid","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","09/01/20-8/31/23","C028943",,"https://www.st-cath.org/","POINT (-73.786938 42.666451)"
"Adoptive and Foster Family Coalition of New York","950 Danby Road Suite 318","Ithaca","NY","14850","(607) 272-0034","BROOME, CHEMUNG, SCHUYLER, TOMPKINS","Permanency Resource Centers","State Aid to Localities","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","12/1/16-11/30/21","C027935","300000.00","https://affcny.org/","POINT (-76.500669 42.422904)"
"University Settlement Society of New York Inc.","184 Eldrige Street","New York","NY","10002","(212) 453-4540","MANHATTAN","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","9/1/21-8/31/22","C028016","219600.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.990716 40.720597)"
"Pathstone Corporation","400 East Avenue","Rochester","NY","14607","(866) 314-7233","ORLEANS","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029214","1848.00","http://www.pathstone.org","POINT (-77.593283 43.154759)"
