"company_name","business_description","street_address","city","state","county","phone","fax","email","commodity_codes"
"121 Group Holdings LLC","In-Flight food Catering, restaurant","45 Rason Road","Inwood","NY","Nassau","914-669-8434","914-485-1499","info@121group.com","722310 - Airline food services contractors"
"212 Harakawa Inc.","GRAPHIC DESIGN;","902 Broadway, Floor 20","New York","NY","New York","212-254-6670","212-254-6614","aharakawa@twotwelve.com","541430 - Graphic design services"
"21ST CENTURY DESIGN","Architectural Services;","1008 MADISON AVENUE","ALBANY","NY","Albany","518-446-0939",,"centurydesign_21@yahoo.com","541310 - Architectural Services; 541330 - Engineering services; 541370 - Surveying and Mapping (except Geophysical) Services; 010R - MECHANICAL DESIGN; 020A - ARCHITECTURE; 040A - LAND SURVEYING/TOPO MAPPING & 3D MODELING; 040B - RIGHT OF WAY DETERMINATION AND MAPPING; 050A - CONSTRUCTION INSPECTION"
"2KB ENERGY SERVICES, LLC","2KB Energy Services provides energy efficiency services including: retro-commissioning; energy efficiency inspections; energy efficiency program management; energy consulting; energy savings performance contracting owners representation; energy program administration.","7778 MCGINNIS FERRY RD","SUWANEE","GA",,"404-398-4430","404-529-4534","georgeb@2kbenergyservices.com","541690 - Energy consulting services"
"3C Solutions, Inc.","JANITORIAL SERVICES;","396 HEWLETT PARKWAY","HEWLETT","NY","Nassau","516-284-9925","516-821-1301","orcasanova@hotmail.com","561720 - Janitorial services"
"3G Warehouse, Inc.","General Warehousing & Storage.;","565 BROADHOLLOW ROAD STE 1","FARMINGDALE","NY","Suffolk","631-617-5951","631-617-5954","lauren@3gwhse.com","423610 - Signal systems and devices merchant wholesalers; 493110 - General warehousing and storage; 493120 - Refrigerated Warehousing and Storage; 493130 - Farm Product Warehousing and Storage; 724 - TRAFFIC SIGNALS; 726 - DETECTABLE WARNING UNITS; 730 - SIGNS AND DELINEATORS"
"3Twice","Document Sharing,Streamline document process through Cloud Computing;","1370 East Kent Road","Kent","NY","Orleans","585-410-0567",,"charlene.washington@gmail.com","518210 - Data Processing, Hosting, and Related Services"
"4M Precision Industries Inc.","Full services metal stamping plant with precision tool and die manufacturing capabilities;","4000 Technology Park Blvd","Auburn","NY","Cayuga","315-252-8415","315-253-9611","ecmorin@4mprecision.com","332510 - Hardware Manufacturing; 332710 - Machine shops; 332721 - Precision turned product manufacturing; 332722 - Bolt, Nut, Screw, Rivet, and Washer Manufacturing; 332812 - Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers; 332999 - All Other Miscellaneous Fabricated Metal Product Manufacturing; 333514 - Special Die and Tool, Die Set, Jig, and Fixture Manufacturing; 333618 - Other Engine Equipment Manufacturing"
"4Ward Planning, Inc.",,"21 LaFayette Street","Hopewell","NJ",,"609-306-5001","609-333-1998","tpoole@landuseimpacts.com","541690 - Economic consulting services; 541910 - Marketing research services"
"50 States Engineering, Corp.","Land use, site development design. Land surveying, construction layout and 3-D scanning services.","43 Moonachie Road","Hackensack","NJ","Bergen","201-507-8283","201-591-7907","mbatistic@50statesengineering.com","541330 - Engineering consulting services; 54136 - Geophysical Surveying and Mapping Services; K-SURVEYNG - Surveying; R-CIVIL*** - Civil; R-PLANNERS - Planners; R-SURVEYNG - Surveying"
"5 Star Contractors, LLC","Electrical Contractor;","68 JEFFERSON ST","METUCHEN","NJ",,"732-310-3461",,"fivestarcontractorsllc@yahoo.com","236118 - Residential Remodelers; 238210 - Electrical Contractors and Other Wiring Installation Contractors; 238290 - Other Building Equipment Contractors; 060A - CONSTRUCTION MANAGEMENT"
"6 Degrees Consulting, Inc.","Construction services and material supplies for commercial construction;","6545 Hamiton Ave","Ptttsburgh","PA",,"412-361-0157","412-361-0131","blawson@6degreesconsulting.net","236115 - New Single-Family Housing Construction (except For-Sale Builders); 236116 - New Multifamily Housing Construction (except For-Sale Builders); 236117 - New Housing For-Sale Builders; 236118 - Residential Remodelers; 236210 - Industrial Building Construction; 236220 - Commercial and Institutional Building Construction; 238130 - Carpentry Contractors; 238150 - Glass and Glazing Contractors; 238190 - Erection and dismantling, poured concrete form; 238310 - Drywall contractors; 238320 - Painting (except roof) contractors; 238350 - Carpentry work (except framing); 425120 - Durable goods agents and brokers, wholesale trade; 541611 - Site location consulting services; 541613 - Marketing management consulting services"
"7 Ocean Group, Inc.","Cleaning & janitorial services.","77-13 25th AVENUE","EAST ELMHURST","NY","Queens","718-699-0387","718-685-0199","ocean@7oceangroup.com","561720 - Janitorial services"
"8 PATH SOLUTIONS LLC","INNOVATIVE STRATEGIC TECHNICAL AND DATA SCIENCE SOLUTIONS;","226 WEST 78TH STREET #2A","NEW YORK","NY","New York","917-477-7686",,"8pathsolutions@gmail.com","541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541614 - Process, Physical Distribution, and Logistics Consulting Services; 541690 - Other Scientific and Technical Consulting Services; 541712 - Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology); 541990 - All Other Professional, Scientific, and Technical Services"
"911 Security Services Inc.","Watch, Guard and Patrol Unarmed Security Service.","58-23 Van Cleef St.","Corona","NY","Queens","347-408-5188","718-393-0823","rmensche@911securityservice.com","561612 - Security guard services"
"A2A Integrated Logistics, Inc.","Logistics for Construction Related Work","88 West Shawnee Trail","Wharton","NJ","Morris","973-527-5299","973-527-5299","tbryant@2a-logistics.com","54161 - Management Consulting Services; 541611 - Administrative Management and General Management Consulting Services; 541611 - Strategic planning consulting services; 541614 - Freight traffic consulting services; 541614 - Process, Physical Distribution, and Logistics Consulting Services; 541614 - Transportation management consulting services; 541690 - Other Scientific and Technical Consulting Services; 541810 - Advertising agencies; 54199 - All Other Professional, Scientific, and Technical Services; 56121 - Facilities Support Services; 561210 - Facilities (except computer operation) support services; 611430 - Professional and Management Development Training"
"AAA Contracting Services Corp","Concrete, ; Masonry, ; demolition;","2127 Oakwood place","Elmont","NY","Nassau","718-874-3800","718-532-0665","aaacontractingcorp@gmail.com","238110 - Foundation, building, poured concrete, contractors; 238140 - Brick veneer, installation; 238190 - Awning installation; 238990 - All Other Specialty Trade Contractors"
"A & A Consultants","Structural Engineering Geotechnical Engineering Construction Management Materials testing lab Civil Engineering;","707 East Street","Pittsburgh","PA",,"412-323-2200","412-323-2202","hack@aaconsultinc.com","237310 - Highway, Street, and Bridge Construction; 541380 - Testing Laboratories; 050B - MATERIAL SAMPLING, TESTING & ON-SITE INSPECTION; 050C - CONSTRUCTION MANAGEMENT; 060A - CONSTRUCTION MANAGEMENT"
"A & A Industrial LLC","SIGN FABRICATION AND INSTALLATION FLAGPOLE SALES AND INSTALLATION;","89-47 215th Place","Queens Village","NY","Queens","917-373-8112","866-610-8386","abbasajamali@gmail.com","238990 - All Other Specialty Trade Contractors"
"A&A LAND SURVEYING INC","Professional Land Surveying Services;","458 BAY MEADOW DRIVE","WEBSTER","NY","Monroe","585-261-9868","585-360-0245","kathy.arsitz@aandalandsurveying.com","541370 - Surveying and Mapping (except Geophysical) Services"
"A & A PREMIUM PAINT DISTRIBUTORS","Paint Distribution Paint Supplies;","5521 COLORADO AVENUE","WASHINGTON","DC",,"202-409-5173",,"aswailes@aapremiumpaintdistributor.com","423830 - Industrial Machinery and Equipment Merchant Wholesalers; 424950 - Paint, Varnish, and Supplies Merchant Wholesalers; 424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers"
"Abaci Research & Consulting, LLC","Reasearch consulting;","135 Crenshaw Lane","Bastrop","TX",,"512-663-0493","855-692-3529","kim@abacirc.com","541720 - Research and Development in the Social Sciences and Humanities"
"AB Consulting","ENGINEERING SUPPORT SERVICES - ELEVATOR, ESCALATOR OR VERTICAL TRANSPORTATION;","34 Scandia Road","Congers","NY","Rockland","845-268-0170","845-268-0170","consultingab@yahoo.com","541330 - Engineering services; 010R - MECHANICAL DESIGN; 050A - CONSTRUCTION INSPECTION"
"AB DESIGN, INC.","Research & Development","10005 STONEMILL ROAD","RICHMOND","VA",,"804-346-4771","804-346-3048","aboffice@abdesignonline.com","541430 - Graphic design services; 541490 - Other Specialized Design Services"
"A Bee R.A.G. Service Inc","JANITORIAL SERVICES;","415 McClellan Ave STE 2","Mount Vernon","NY","Westchester","718-798-4259","718-798-4259","sales@abrags.org","561720 - Janitorial services"
"Abernathy Lighting Design, Inc.","Lighting Desing firm that collaborates with architects, designers, engineers, exhibit designers, directors and producers to visualize and create the lighted environment.","15 Thomas Street, Suite B","North Providence","RI","Providence","401-233-4412","401-233-4412","kathy@abernathylightdesign.com","541410 - Interior design services; 541420 - Industrial design services; 541490 - Other Specialized Design Services"
"ABOU DEWAN & HANNA CO INC","Wholesaler of linens bedding and household goods;","901 ERIE AVENUE","NORTH TONAWANDA","NY","Niagara","716-743-0388","716-743-0393","aboudewanhanna@aol.com","423220 - Home Furnishing Merchant Wholesalers; 812331 - Linen Supply"
"ABP CONSULTANCY, INC","PROPERTY MANAGEMENT AND MAINTENANCE SERVICES (RESIDENTIAL AND COMMERCIAL); ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES ; DOCUMENT PREPARATION SERVICES; ;","578 NEPPERHAN AVENUE, SUITE 504","YONKERS","NY",,"800-891-9005","899-891-9005","info@abp-consult.com","531311 - Residential Property Managers; 531312 - Commercial property managing; 541611 - Administrative Management and General Management Consulting Services; 561210 - Facilities Support Services; 561410 - Document preparation services"
"Abrahams Consulting LLC","Information Technology Products and Services;","172-61 HIGHLAND AVENUE","JAMAICA","NY","Queens","718-524-7933","877-541-1938","agibson@abrahamsconsulting.com","423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; 541512 - Computer Systems Design Services"
"ABT Products & Services LTD",,"280 Broadway","Huntington Station","NY",,"631-421-1500","631-421-1510","lhorchos@abt-products.com",
"ABT Products & Services LTD","DISTRIBUTOR OF BUS PARTS, LED SIGNS ; AND TRAFFIC CONTROL DEVICES; SYSTEMS WIRING AND INSTALLATION ; ON TRANSIT VECHILES CONTRACTORS ; INDUSTRIAL SUPPLIES AND HARDWARE WHOLESALERS; DURABLE AND NON-DURABLE GOODS WHOLESALERS; ELECTRONIC MARKETS BROKERS; ;","280 Broadway","Huntington Station","NY","Suffolk","631-421-1500","631-421-1510","lhorchos@abt-products.com","238210 - Communication equipment installation; 334111 - Electronic Computer Manufacturing; 423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; 423450 - Medical dressings merchant wholesalers; 423710 - Hardware Merchant Wholesalers; 423840 - Industrial Supplies Merchant Wholesalers; 425120 - Wholesale Trade Agents and Brokers"
"ABT Products & Services LTD","Distribution, installation, maintenance of transportation supplies, equipment and surveillance systems. Products include LED/LLO passenger information systems, destination signs, mirrors, glass, REI video surveillance.","790 New York Avenue, Suite 116","Huntington","NY","Suffolk","631-421-1500","631-421-1510","lhorchos@abt-products.com","42386 - Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers; 423860 - Aeronautical equipment and supplies merchant wholesalers; 517911 - Telecommunications Resellers"
"Abtron Associates, Corp.","Environmental Demolition Services","60 A Corbin Avenue","BAY SHORE","NY","Suffolk","631-392-1330","631-392-1328","rgreen@teamabtron.com","238910 - Site Preparation Contractors; 541620 - Environmental consulting services; 562910 - Remediation Services; 201 - CLEARING GRUBBING; 202 - REMOVAL OF STRUCTURES & OBSTRUCTIONS; 210 - REMOVE AND DISPOSAL OF ASBESTOS CONTAINING MATERIAL; 080H - HAZARDOUS WASTE/ASBESTOS/LEAD"
"ACB Architect, PLLC","Architectural Services Space Planning Urban and Interior Design;","134 West 29th Street, Suite 803","New York","NY","New York","212-947-5818","212-947-8237","toney@acbarchitectspllc.com","541310 - Architectural Services; 541410 - Interior design services; 020A - ARCHITECTURE"
"ACB Architects, PLLC","Architectural and Interior Design Services .","134 west 29th street, suite 803","New York","NY","Nassau","516-632-9744","516-632-9748","toney@acbarchitectspllc.com","54131 - Architectural Services; 541410 - Interior design services"
"ACB Architects, PLLC","Architectural and Interior Design Services for new buildings, rehabilitation of existing buildings, space planning designs.","134 west 29th street, suite 803","New York","NY","New York","212-947-5818","212-947-5852","toney@acbarchitectspllc.com","54131 - Architectural Services; 541410 - Interior design services"
"ACCELERATE ENGINEERING, PLLC","A Professional Traffic / Transportation Engineering firm.","140 PRESTON EXECUTIVE DR., STE 100D","CARY","NC",,"919-263-5678","919-263-5687","gavin.teng@accelerateeng.com","541330 - Engineering services; 541340 - Drafting services"
"Accessor'ize","Retailer of women's clothing and accessories, handbags, shawls, scarves, watches, costume jewelry, sunglasses, sandals.","12 Hageman Road","Somerset","NJ","Somerset","732-448-9308","732-448-9308","algadsden@aol.com","424330 - Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers; 448150 - Clothing accessories stores; 448190 - Other Clothing Stores"
"Access Safety Products Inc.","Manufacturer of Construction signs and barricade and a supplier of traffic control devices;","13639 US Route 9W","Hannacroix","NY","Greene","518-756-3600","518-756-6201","accesssafety@aol.com","339999 - All Other Miscellaneous Manufacturing; 423390 - Other Construction Material Merchant Wholesalers; 729 - TEMPORARY TRAFFIC CONTROL DEVICES; 730 - SIGNS AND DELINEATORS; 920 - Manufacturer"
"Accolade Construction Group Inc.","general construction both heavy and building with specialties in concrete, masonry, metals, wood, plastics and composites, thermal & moisture protection and openings and finishes.","382 Canal Place","Bronx","NY","New York","212-239-1929","212-239-1989","fahmed@accoladecg.com","23831 - Drywall and Insulation Contractors; 238320 - Painting and Wall Covering Contractors; 23834 - Tile and Terrazzo Contractors; 23835 - Finish Carpentry Contractors; 238910 - Site Preparation Contractors; K-INTRENOV - Interior Renovations"
"Accu-Cost Construction Consultants, Inc.","construction cost consulting ; cost estimates ; value engineering; cost analysis; bid analysis","575 Eighth Avenue, Suite 1220","New York","NY","New York","212-687-2121","212-687-2323","pneumann@accucost.com","54199 - All Other Professional, Scientific, and Technical Services; C-COSTESTM - Cost Estimating"
"Accurate Credit & Collection Services, Inc","Credit reports, credit and location services, process serving and notary services;","2699 W. River Rd, Suite 1","OLEAN","NY","Cattaraugus","716-372-1001","716-372-7328","margek9061@aol.com","541199 - All Other Legal Services; 561440 - Collection agencies; 561450 - Credit bureaus"
"ACDC SYSTEMS LLC","ENGINEERING CONSULTING SERVICES","34 Union Avenue","Edison","NJ",,"732-824-8370",,"pdave6@gmail.com","541330 - Engineering services"
"Ace-Tec Enterprises, Inc.","Welding, fabrication and erection of structural and miscellaneous steel, stainless steel and aluminum components.","302 Main Street","Hempstead","NY","Nassau","516-505-1132","516-505-1372","acetecwelding@yahoo.com","238120 - Erecting structural steel; 332312 - Fabricated structural metal manufacturing; K-MISCMETL - Misc Metals"
"A & C Fence LLC","Fence Installation.;","91 Palmer Road","Craryville","NY","Columbia","518-851-3430","518-851-7587","darcy518@gmail.com","237310 - Construction management, highway, road, street and bridge; 237310 - Pavement, highway, road, street, bridge or airport runway, construction; 237310 - Sidewalk, public, construction; 238990 - All Other Specialty Trade Contractors; 561730 - Landscaping Services; 607 - FENCES; 608 - SIDEWALKS, DRIVEWAYS, AND BICYCLE PATHS; 060A - CONSTRUCTION MANAGEMENT"
"AC Photo, Inc.","Commercial, aerial & Construction photography.","199 New Road, Suite 44","Linwood","NJ",,"609-926-1200","609-927-3874","gail@acphoto.com","541921 - Photography studios, portrait; 541922 - Commercial Photography"
"AC Quality Group LLC","Food service contractors and owners of fast food restaurants","2 Lakeview Drive","Tinton Falls","NJ","Monmouth","732-725-7139","732-493-8819","nitashah70@gmail.com","722310 - Food Service Contractors; 722513 - Limited-Service Restaurants"
"A.C.T. ABATEMENT CORPORATION","ASBESTOS ABATEMENT, LEAD REMOVAL;","6012 BROADWAY","WEST NEW YORK","NJ",,"718-710-6522","973-339-7521","arivera@actabatement.com","238190 - Other Foundation, Structure, and Building Exterior Contractors; 541620 - Environmental consulting services; 562910 - Remediation Services"
"ACT ELECTRICAL AND DATA SUPPLIES INC","Wholesale electrical supplies, pipe, wire, floor boxes, lighting fixtures, UPS Systems etc.","43-73 9th Street","Long Island City","NY","Queens","718-937-3902","718-228-9447","sales@actelectricalinc.com","423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
"ACTION WASTE SERVICES LLC","Trucking & Interior Demolition","3396 River Rd","Rensselaer","NY","Rensselaer","518-788-6726",,"drich1234@yahoo.com",
"ACTIV SYSTEMS INC","Supplier of Janitorial, Computer, Building Sealing, Office,Safety Equipment Products;","1078 NORTH DRIVE","MERRICK","NY","Nassau","516-489-7835","516-489-0018","activsystems@verizon.net","423850 - Service establishment equipment and supplies merchant wholesalers; 444190 - Other Building Material Dealers"
