"project","campus_name","project_title","contract_advertise_date","company_name"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Accu-Cost Construction Consultants, Inc. - WBE"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","AG Consulting Engineering PC"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Amoia Cody Architecture D.P.C."
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","architecture+"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Atlantic Testing Laboratories"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Aubertine and Currier Architects, Engineers and LS"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Bergmann Associates"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","C&S Companies"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","C.T. Male Associates"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Cameron Engineering & Associates, LLP"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Cannon Design"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","CHA Consulting, Inc."
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Chu & Gassman Consulting Engineers PC"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Convergent Technologies Design Group - New York"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Cosentini Associates"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Crisafulli Bros Plumbing & Heating Contractors Inc"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","DACK Consulting"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","DCS Infrastructure"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Delta Engineers, Architects, & Land Surveyors PC"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","EI Team, Inc."
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Encompass Engineering PLLC"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Erdman Anthony"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Fisher Associates"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Fisher Associates, PE. LS, LA, DPC"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Foit-Albert Associates"
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Genesys Engineerig, P.C."
"011006-00","State University of New York at Albany","Upgrade Central Plant - SUCF","2015-09-11T00:00:00.000","Genesys Engineering"
