"api_well_number","county","company_name","api_hole_number","sidetrack","completion","well_type","production_field_name","well_status","well_name","town","producing_formation","months_in_production","gas_mcf","water_bbl","reporting_year","location_1"
"31013105780000","13","Belden & Blake Corporation","10578","0","0","GD","Lakeshore","AC","Burgun Raymond 2","Portland","Medina","12","2045","0","2000","
Portland, NY 
(42.3616243030005, -79.48653777899966)"
"31013148790000","13","Belden & Blake Corporation","14879","0","0","GD","Lakeshore","AC","NYSRA #11-F1288","North Harmony","Medina","12","7386","91","2000","
North Harmony, NY "
"31013125820000","13","Stedman Energy, Inc.","12582","0","0","GD","Lakeshore","AC","NYSRA #4-6","Harmony","Medina","4","875","110","2000","
Harmony, NY 
(41.20120795700046, -73.88346743599965)"
"31013225490000","13","REI-NY, Inc.","22549","0","0","GD","Gerry-Charlotte","IN","Gross #8","Gerry","Onondaga","6","0",,"2000","
Gerry, NY 
(42.19296008200047, -79.24892957399965)"
"31037204410000","37","United States Gypsum Co.","20441","0","0","GE","Huron Creek","AC","Smigelski, C. #1","Alexander","Medina","12","1174","0","2000","
Alexander, NY 
(42.901733899000476, -78.25626928699967)"
"31011129320000","11","NY Conference Assoc. of Seventh-Day Adventists","12932","0","0","GD","West Auburn","AC","Usa 1","Springport","Queenston","12","2251",,"2000","
Springport, NY "
"31009232440000","9","Texas Keystone, Inc.","23244","0","0","GD","Lakeshore","AC","Tussing #2","New Albion","Medina","12","5548",,"2000","
New Albion, NY 
(42.28950865900049, -78.88947878099964)"
"31013115030000","13","Lenape Resources, Inc.","11503","0","0","GD","Lakeshore","AC","Austin 349","Arkwright","Medina","12","324","0","2000","
Arkwright, NY 
(42.40699727700047, -79.23642814699963)"
"31029218360000","29","Cotton Well Drilling Co., Inc.","21836","0","0","GD","North Collins","AC","Ricotta #1","North Collins","Medina","12","3613","30","2000","
North Collins, NY 
(42.59468150000049, -78.94094821499965)"
"31013102530000","13","Belden & Blake Corporation","10253","0","0","GD","Lakeshore","AC","Becker 25","Portland","Medina","12","1352","0","2000","
Portland, NY 
(42.3616243030005, -79.48653777899966)"
"31011048690000","11","Auburn Golf & County Club, Inc","4869","0","0","GW","Auburn","IN","Fee 1","Owasco","Onondaga","0","0",,"2000","
Owasco, NY 
(42.76744118200048, -76.45524893299967)"
"31013224000000","13","Schreiner Oil & Gas, Inc.","22400","0","0","GD","Lakeshore","AC","Germann 1","Hanover","Medina","12","3948",,"2000","
Hanover, NY 
(42.963563303000456, -75.37938870499966)"
"31029046470000","29","Reserve Gas Co., Inc.","4647","0","0","GD","Alden-Lancaster","AC","Predmore and Hoffmire 1","Alden","Medina","12","1772",,"2000","
Alden, NY 
(42.90013055000048, -78.49091643399964)"
"31013118650000","13","Resource America, Inc.","11865","0","0","GD","Lakeshore","AC","Schruise #1","North Harmony","Medina","10","0","75","2000","
North Harmony, NY "
"31013199000000","13","Vineyard Oil & Gas Co.","19900","0","0","GD","Lakeshore","AC","Monk 2","Ripley","Medina","10","2214",,"2000","
Ripley, NY 
(42.26656226300048, -79.71128793299965)"
"31037138510000","37","United States Gypsum Co.","13851","0","0","GD","Huron Creek","AC","Java #1","Pembroke","Medina","10","614","20","2000","
Pembroke, NY 
(43.01478113200045, -78.34690983699966)"
"31099136890000","99","Columbia Natural Resources, Inc.","13689","0","0","GW","Fayette-Waterloo","AC","Poorman 2502","Fayette","Queenston","12","2175",,"2000","
Fayette, NY 
(42.81890018200045, -76.80892795599965)"
"31029166770000","29","Moog, Inc.","16677","0","0","GD","Elma","IN","Moog #1 Fee","Elma","Medina","0","1",,"2000","
Elma, NY 
(42.8488412640005, -78.64054591599967)"
"31013132090000","13","Desert Gas Exploration, Inc.","13209","0","0","GD","Lakeshore","AC","Mancuso #1","Charlotte","Medina","12","990",,"2000","
Charlotte, NY 
(43.24540427500045, -77.61779716599966)"
"31037215670000","37","Symbol Oil Corp.","21567","0","0","GD","Alden-Lancaster","AC","Neu 1","Pembroke","Medina","12","1789","10","2000","
Pembroke, NY 
(43.01478113200045, -78.34690983699966)"
"31013122990000","13","Belden & Blake Corporation","12299","0","0","GD","Lakeshore","IN","Jureseck 448","Arkwright","Medina","8","395","29","2000","
Arkwright, NY 
(42.40699727700047, -79.23642814699963)"
"31013122770000","13","Lenape Resources, Inc.","12277","0","0","GD","Lakeshore","AC","Palmer 461","Arkwright","Medina","12","56","0","2000","
Arkwright, NY 
(42.40699727700047, -79.23642814699963)"
"31013184000000","13","Detweiler, Susan B.","18400","0","0","GD","Lakeshore","AC","Croscut 2","Sherman","Medina","0","0","0","2000","
Sherman, NY 
(42.159343358000456, -79.59595849699963)"
"31013118720000","13","Belden & Blake Corporation","11872","0","0","GD","Lakeshore","AC","Swan 395","Chautauqua","Medina","12","2386","24","2000","
Chautauqua, NY 
(42.205103549000455, -79.46580590299965)"
"31013223450000","13","Schreiner Oil & Gas, Inc.","22345","0","0","GD","Lakeshore","AC","Wright, L #1","Westfield","Medina","12","3056","161","2000","
Westfield, NY 
(42.322304303000465, -79.57760707899968)"
"31013221440000","13","Ardent Resources, Inc.","22144","0","0","GD","Lakeshore","AC","Vanord #1","Harmony","Medina","4","164",,"2000","
Harmony, NY 
(41.20120795700046, -73.88346743599965)"
"31051173070000","51","Lenape Resources, Inc.","17307","0","0","GD","Uhley Corners-Caledonia","AC","Powell 102","York","Medina","12","994",,"2000","
York, NY 
(43.20406110900046, -76.93921900099963)"
"31029169520000","29","Dawydko, Ron","16952","0","0","GD","Alden-Lancaster","AC","Heintz #1","Newstead","Medina","4","58",,"2000","
Newstead, NY 
(42.96042359900048, -78.52367565699967)"
"31121171870000","121","United States Gypsum Co.","17187","0","0","GD","Tozier's Corners","AC","Perl, P. #1","Sheldon","Akron","12","1327","0","2000","
Sheldon, NY 
(42.7372410640005, -78.41924809699964)"
"31011204680000","11","Columbia Natural Resources, Inc.","20468","0","0","GD","West Auburn","AC","Downing 661-2","Springport","Queenston","12","4813",,"2000","
Springport, NY "
"31013172830000","13","Kastle Resources Enterprises, Inc.","17283","0","0","GD","Lakeshore","AC","Hess #2","Cherry Creek","Medina","9","851",,"2000","
Cherry Creek, NY 
(42.29336363900046, -79.09200686499963)"
"31013193870000","13","Stedman Energy, Inc.","19387","0","0","GD","Lakeshore","AC","Bensink Unit 1","Clymer","Medina","12","200",,"2000","
Clymer, NY 
(42.020830128000455, -79.62887850199968)"
"31013190360000","13","Kastle Resources Enterprises, Inc.","19036","0","0","GD","Lakeshore","SI","Lenart 2","Harmony","Medina","9","521",,"2000","
Harmony, NY 
(41.20120795700046, -73.88346743599965)"
"31013165860000","13","Chautauqua Energy,  Inc.","16586","0","0","GD","Lakeshore","AC","Lauer 1","Westfield","Medina","1","200",,"2000","
Westfield, NY 
(42.322304303000465, -79.57760707899968)"
"31013136340000","13","Seneca Resources Corp.","13634","0","0","GW","Lakeshore","AC","Peterson #6658","Busti","Medina","12","1820","0","2000","
Busti, NY 
(42.03788189500045, -79.28375662499968)"
"31099195970000","99","Columbia Natural Resources, Inc.","19597","0","0","GD","Fayette-Waterloo","AC","Guilfoos 1 (4142)","Varick","Queenston","12","2138",,"2000","
Varick, NY 
(42.7672223400005, -76.76946950499968)"
"31029125640000","29","Belden & Blake Corporation","12564","0","0","GD","Cowlesville","AC","Sowinski #1","Marilla","Medina","11","3699","13","2000","
Marilla, NY 
(42.83851105500048, -78.55520668799966)"
