"lender_name","principal_office_address","city","state","zip","principal_office_phone_number","lenders_website_address","institution_type","company","regulatory_authority","minority_owned","woman_owned","sonyma_region_1_contact","sonyma_region_2_contact","sonyma_region_3_contact","sonyma_region_4_contact","sonyma_region_5_contact","sonyma_region_6_contact","sonyma_region_7_contact","sonyma_region_8_contact","sonyma_region_9_contact","sonyma_region_10_contact"
"CCFCU Funding, LLC dba Homeowners Advantage","4 Winners Circle ","Albany","NY","12205","(518) 690-2232","http://www.homeownersadvantage.com","Mortgage Banker","Subsidiary","New York State Department of Financial Services","FALSE","FALSE",,,,"(877) 266-7722","(877) 266-7722","(877) 266-7722","(877) 266-7722","(877) 266-7722",,
"SEFCU","700 Patroon Creek Blvd.","Albany","NY","12206","(518) 452-8234","http://www.sefcu.com","Credit Union",,"National Credit Union Association","FALSE","FALSE",,"(800) 444-6313","(800) 444-6313","(800) 444-6313","(800) 444-6313","(800) 444-6313","(800) 444-6313",,,
"SEFCU Services, LLC dba SEFCU Mortgage Serices","700 Patroon Creek Blvd. Suite 301 ","Albany","NY","12206","(518) 783-1234","http://www.sefcu.com","Mortgage Banker","Subsidiary","New York State Department of Financial Services","FALSE","FALSE",,"(800) 444-6313","(800) 444-6313","(800) 444-6313","(800) 444-6313","(800) 444-6313","(800) 444-6313",,,
"First Niagara Bank, N.A.","4224 Ridge Lea Rd. ","Amherst","NY","14226","(716) 932-8282","http://www.fnfg.com","Commercial Bank","Independent","Office of the Comptroller of the Currency","FALSE","FALSE","(716) 625-7500","(800) 421-0004","(800) 421-0004","(800) 421-0004","(800) 421-0004","(800) 421-0004","(800) 421-0004","(800) 421-0004",,
"Bank of Castile","90 Main Street","Batavia","NY","14020","(585) 345-6182","http://www.bankofcastile.com","Commercial Bank",,"FDIC","FALSE","FALSE","(585) 237-5690","(585) 237-5690",,,,,,,,
"Mahopac Bank","1441 Route 22 ","Brewster","NY","10509","(866) 462-2658","http://www.mahopacbank.com","Commercial Bank",,"New York State Department of Financial Services, FDIC","FALSE","FALSE",,,,,"(845) 279-1710",,,"(845) 279-1710",,
"Putnam County Savings Bank","2477 Route 6,  P.O. Box 417","Brewster","NY","10509","(845) 279-7101","http://www.pcsb.com","Thrift, NY State Chartered, FDIC",,"New York State Department of Financial Services FDIC","FALSE","FALSE",,,,,"(845) 279-7101",,,"(845) 279-7101",,
"People's United Bank, N.A.","850 Main Street, BC 13/RC 441","Bridgeport","CT","6604","(203) 338-7422","http://www.peoples.com","Thrift",,"Office of the Comptroller of the Currency","FALSE","FALSE",,,,,"(914) 725-2105",,"(914) 725-2105","(914) 725-2105","(631) 435-0008","(631) 435-0008"
"M&T Bank","One Fountain Plaza, 6th Floor","Buffalo","NY","14203-1495","(716) 848-7930","http://www.mtb.com","Commercial Bank"," ","New York State Department of Financial Services","FALSE","FALSE","(800) 724-7575","(800) 255-4225","(315) 424-4475","(800) 255-4225","(800) 990-6209","(800) 726-5626","(800) 726-5626","(845) 440-2800","(631) 293-1348","(800) 924-5626"
"NVR Mortgage Finance, Inc","555 Southpointe Boulevard, Suite 300","Canonsburg","PA","15317","(724) 743-5400","http://www.nvrinc.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","FALSE","(716) 675-9045","(585) 248-0080","(315) 492-0910","(315) 492-0910",,"(585) 248-0080","(585) 248-0080",,,
"Webster Bank, N. A.","609 West Johnson Avenue","Cheshire","CT","6410","(800) 543-3375         (203) 271-7348","http://www.websteronline.com","National Banking Association",,"Office of the Comptroller of the Currency","FALSE ","FALSE",,,,,"(888) 681-7788",,,"(888) 681-7788",,
"Corning Federal Credit Union","1 Credit Union Plaza           ","Corning","NY","14830","(800) 677-8506","http://www.corningcu.org","Credit Union",,"National Credit Union Association","FALSE","FALSE",,,,"(800) 677-8506",,,,,,
"HSBC Bank USA, N.A.","2929 Walden Avenue","Depew","NY","14043","(716) 841-7334","http://www.hsbc.com","Commercial Bank"," ","Office of the Comptroller of the Currency","FALSE","FALSE","(716) 651-6100","(585) 292-1220","(315) 424-2026","(315) 424-2026","(845) 454-0010","(518) 785-0300","(315) 724-0904","(845) 353-7445","(631) 420-7610","(212) 378-0600"
"Lake Shore Savings Bank","31 East Fourth Street","Dunkirk","NY","14048","(716) 366-4070","http://www.lakeshoresavings.com","Thrift",,"Office of the Comptroller of the Currency","FALSE","FALSE","(716) 366-4070",,,,,,,,,
"Chemung Canal Trust Company","1 Chemung Plaza                                 P. O. Box 1522","Elmira","NY","14902","(607) 737-3815","http://www.chemungcanal.com","Commercial Bank",,"New York State Department of Financial Services","FALSE","FALSE",,"(607) 737-3815","(607) 737-3815","(607) 737-3815",,,,,,
