"permit_number","approval_date","fiscal_year","expiration_date","region","fee_type","permit_type","description_of_work","applicant_name","county","municipality","route","location_beginning_reference_number","location_end_reference_number"
"20180175980","2019-03-29T00:00:00.000","2018 TO 2019","2020-04-10T00:00:00.000","1","UTILITY","2a","Maintenance, single job","NIAGARA MOHAWK POWER CORP DBA NATIONAL GRID","WARREN","HORICON","8","8 17101313","8 17101316"
"20180575982","2019-03-29T00:00:00.000","2018 TO 2019","2020-04-01T00:00:00.000","5","UTILITY","1b1","Overhead - Erecting poles, towers","NYSEG WO#801000183851","ERIE","CHEEKTOWAGA","130","130 53012004","130 53012005"
"20180575988","2019-03-29T00:00:00.000","2018 TO 2019","2020-04-01T00:00:00.000","5","UTILITY","1a1","Underground - excavation, tunneling, boring, installing, etc.","CHARTER COMMUNICATIONS WO#1146156","CATTARAUGUS","FREEDOM","98","98 51011291","98 51011292"
"20180575983","2019-03-29T00:00:00.000","2018 TO 2019","2020-04-01T00:00:00.000","5","UTILITY","1a1","Underground - excavation, tunneling, boring, installing, etc.","NATIONAL FUEL GAS COMPANY WO#13-10011","ERIE","NEWSTEAD","5","5 53024181","5 53024182"
"20180575979","2019-03-29T00:00:00.000","2018 TO 2019","2020-04-01T00:00:00.000","5","UTILITY","1b2","Overhead - Running new lines","FIBERTECH FACILITIES CORP. WO#PD158827-LA1134","ERIE","HAMBURG","5","5 53021209","5 53021217"
"20180575989","2019-03-29T00:00:00.000","2018 TO 2019","2020-04-01T00:00:00.000","5","UTILITY","1b2","Overhead - Running new lines","CHARTER COMMUNICATIONS WO#1146156","CATTARAUGUS","FREEDOM","98","98 51011291","98 51011292"
"20180475527","2019-03-29T00:00:00.000","2018 TO 2019","2020-03-31T00:00:00.000","4","NON-UTILITY","8","Miscellaneous","MONROE COUNTY DEPT OF TRANSPORTATION","MONROE","GREECE","104","104 43031140","104 43031141"
"20180475527","2019-03-29T00:00:00.000","2018 TO 2019","2020-03-31T00:00:00.000","4","NON-UTILITY","8","Miscellaneous","MONROE COUNTY DEPT OF TRANSPORTATION","MONROE","GREECE","104","104 43031174","104 43031175"
"20180475527","2019-03-29T00:00:00.000","2018 TO 2019","2020-03-31T00:00:00.000","4","NON-UTILITY","8","Miscellaneous","MONROE COUNTY DEPT OF TRANSPORTATION","MONROE","GREECE","18","18 43031204","18 43031206"
"20180475527","2019-03-29T00:00:00.000","2018 TO 2019","2020-03-31T00:00:00.000","4","NON-UTILITY","8","Miscellaneous","MONROE COUNTY DEPT OF TRANSPORTATION","MONROE","GATES","31","31 43031156","31 43031157"
"20180475991","2019-03-29T00:00:00.000","2018 TO 2019","2020-03-29T00:00:00.000","4","UTILITY","1a1","Underground - excavation, tunneling, boring, installing, etc.","TIME  WARNER  CABLE  NORTHEAST  LLC","WAYNE","WALWORTH","441","441 37021022","441 37021023"
"20180175986","2019-03-29T00:00:00.000","2018 TO 2019","2019-12-31T00:00:00.000","1","UTILITY","1b2","Overhead - Running new lines","TVC ALBANY INC, DBA FIRSTLIGHT FIBER","RENSSELAER","BRUNSWICK","2","2 14022053","2 14022056"
"20180375987","2019-03-29T00:00:00.000","2018 TO 2019","2019-11-30T00:00:00.000","3","NON-UTILITY","5d3","Traffic control signals","CITY OF OSWEGO","OSWEGO","OSWEGO","104","104 34062020","104 34062021"
"20180575992","2019-03-29T00:00:00.000","2018 TO 2019","2019-10-01T00:00:00.000","5","NON-UTILITY","5a1","Residential Driveway","RON GIER","ERIE","NORTH COLLINS","75","75 53011042","75 53011043"
"20180375994","2019-03-29T00:00:00.000","2018 TO 2019","2019-09-29T00:00:00.000","3","NON-UTILITY","5d6","Miscellaneous construction","CHARLES SIGNS","CORTLAND","PREBLE","81I","81I32023111","-"
"20180375994","2019-03-29T00:00:00.000","2018 TO 2019","2019-09-29T00:00:00.000","3","NON-UTILITY","5d6","Miscellaneous construction","CHARLES SIGNS","CORTLAND","PREBLE","81I","81I32023081","-"
