Field Office,Counties Served,Name,Street Address,City,State,ZIP,Phone,Email,Location 1,Counties,New York Zip Codes
Western NY ,"Erie, Niagara, Allegany, Cattaraugus, Chautauqua ",Deborah Arbutina,"284 Main St., Mezzanine",Buffalo,NY,14202,(716) 851-2653  ,Deborah.Arbutina@labor.ny.gov,"284 Main St
Buffalo, NY 14202
(42.881996, -78.87557)",2041,34
Hudson Valley ,"Dutchess, Putnam, Westchester, Rockland, Sullivan, Orange, Ulster ",Sherry Young,"3 Washington Center, 4th floor",Newburgh,NY,12550,(845) 568-5371 ,Sherry.Young@labor.ny.gov,"3 Washington Center
Newburgh, NY 12550
(41.501142, -74.008123)",2134,987
Southern Tier ,"Broome, Tioga, Otsego, Delaware, Chenango, Chemung, Schuyler, Steuben, Tompkins ",David Croston,"2001 E. Perimeter Rd., Suite 3",Endicott,NY,13760,(607) 741-4518 ,David.Croston@labor.ny.gov,"2001 E Perimeter Rd
Endicott, NY 13760
(42.097121, -76.089759)",2033,388
Capital Region,"Albany, Rensselaer, Schenectady, Saratoga, Warren, Washington, Columbia, Greene ",Patrick Brown,"1220 Washington Ave. Building 12, Room 412",Albany,NY,12240,(518) 457-2483 ,Patrick.Brown@labor.ny.gov,"1220 Washington Ave Building 12
Albany, NY 12240
(42.681847, -73.807717)",2030,40
Long Island,"Nassau, Suffolk",Pamela Bedford,303 Old Country Rd,Hicksville,NY,11801,(516) 934-8521,Pamela.Bedford@labor.ny.gov,"303 Old Country Rd
Hicksville, NY 11801",,
Mohawk Valley ,"Herkimer, Schoharie, Montgomery, Fulton, Madison, Oneida ",Maria Abraham,207 Genesee Street,Utica,NY,13501,(315) 793-2271,Maria.Abraham@labor.ny.gov,"207 Genesee Street
Utica, NY 13501
(43.101052, -75.231954)",625,1464
New York City ,"Bronx, Kings, New York, Queens, Richmond",Jennifer Oh,9 Bond Street,Brooklyn,NY,11201,(718) 613-3413 ,Jennifer.Oh@labor.ny.gov,"9 Bond Street
Brooklyn, NY 11201
(40.689484, -73.983082)",2090,880
Central NY ,"Cortland, Cayuga, Onondaga, Oswego ",Roy Jewell,"450 South Salina St, Suite 302",Syracuse,NY,13202,(315) 479-3362  ,Roy.Jewell@labor.ny.gov,"450 South Salina St
Syracuse, NY 13202
(43.045519, -76.152253)",2132,711
Finger Lakes ,"Monroe, Orleans, Genesee, Wyoming, Livingston, Ontario, Yates, Seneca, Wayne ",Brendalyn Bynoe,276 Waring Road,Rochester,NY,14609,(585) 258-8875 ,Brendalyn.Bynoe@labor.ny.gov,"276 Waring Road
Rochester, NY 14609
(43.183842, -77.565885)",2093,1667
North Country ,"Clinton, Essex, Franklin, Hamilton, Jefferson, Lewis, St. Lawrence",Melissa Johnston,194 US Oval,Plattsburgh,NY,12903,(518) 561-8308 ,Melissa.Johnson@labor.ny.gov,"194 US Oval
Plattsburgh, NY 12903
(44.684271, -73.44876)",2038,203
