"case_ohms_number","case_name","alj_last_name","case_type_name","status_type_name","case_text_update","case_towncity","county","decision"
"201873187","1-10 Bush Terminal Owner LP","Villa","Enforcement","Settled","Expedited PBS enforcement proceeding.  Alleged failure to register a residential PBS facility located at 882 Third Avenue, Brooklyn, NY  11232 (Kings County).  DEC staff moves for a default judgment.  Case settled.","BROOKLYN (ENTIRE)","KINGS",
"201570332","10 East 85th Street, Inc.","Bassinson","Enforcement","Decision Issued","Petroleum bulk storage (PBS) facility enforcement.  Alleged failure to comply with a consent order for a residential PBS facility located in Manhattan, New York County.  Department staff filed a motion for order without hearing in lieu of complaint.  Respondent has not answered. Commissioner Order 2/22/16. [http://www.dec.ny.gov/docs/legal_protection_pdf/10easto.pdf]","MANHATTAN (ENTIRE)","NEW YORK","https://www.dec.ny.gov/docs/legal_protection_pdf/10easto.pdf"
"201670966","1001 Jerome Associates","Caruso","Enforcement (Expedited)","Decision Issued","Expedited PBS registration proceeding.  Alleged failure to register a residential PBS facility located in the Bronx, Bronx County.  Respondent failed to appear at 4/26/16 calendar call.  Hearing re-noticed for 7/21/16 in Central Office.  Commissioner Order issued 1/20/17. [http://www.dec.ny.gov/docs/legal_protection_pdf/1001jeromeassociateso.pdf]","BRONX (ENTIRE)","BRONX","https://www.dec.ny.gov/docs/legal_protection_pdf/1001jeromeassociateso.pdf"
"201974162","1004 Second Avenue Partners LLC","Stefanucci","Enforcement (Expedited)","Decision Issued","Expedited PBS registration enforcement.  Alleged failure to register a residential petroleum bulk storage (PBS) facility located at 301 East 53 Street, New York, NY 10021 (New York County).  Respondent failed to appear at 10/15/18 hearing.  Adjudicatory hearing held 7/23/19. Commissioner Order issued 9/24/19. [https://www.dec.ny.gov/docs/legal_protection_pdf/1004secondavepartnerso.pdf]","MANHATTAN (ENTIRE)","NEW YORK","https://www.dec.ny.gov/docs/legal_protection_pdf/1004secondavepartnerso.pdf"
"202074697","101 W 70 LLC","Caruso","Enforcement (Expedited)","Decision Issued","Expedited PBS enforcement proceeding.  Alleged failure to register a residential PBS facility located at 101 West 70th Street, New York, NY 10023 (New York County).  DEC staff renews its 7/9/19 motion for a default judgment. Commissioner Order issued 3/30/20. [http://www.dec.ny.gov/docs/legal_protection_pdf/101w70llco.pdf]","MANHATTAN (ENTIRE)","NEW YORK","https://www.dec.ny.gov/docs/legal_protection_pdf/101w70llco.pdf"
"201469407","101-09 West 115th Street Housing Development Fund Corporation","Bassinson","Enforcement","Decision Issued","PBS registration enforcement.  Alleged failure to renew registration for a residential PBS facility located in Manhattan, New York County.  Hearing held 8/4/14. Commissioner Order 10/14/14.  [http://www.dec.ny.gov/docs/legal_protection_pdf/10109westo.pdf]","MANHATTAN (ENTIRE)","NEW YORK","https://www.dec.ny.gov/docs/legal_protection_pdf/10109westo.pdf"
"200561192","102 Elmont Realty Corp. (Nejdet Yetim)","DuBois","Enforcement","Settled","Alleged violation of petroleum bulk storage facility regulations for a facility in Elmont, New York.  DEC Staff filed statement of readiness for adjudicatory hearing.  Settled by consent order 6/9/06.","BABYLON","SUFFOLK",
"200964225","102 Elmont Realty Corporation, Elmont Gasoline Co., Inc., and Nedjet Yetim (River Gas Inc.)","Villa","Summary Abatement Order","Decision Issued","Alleged imminent threat to the environment at a PBS facility located in Elmont, Nassau County.  DEC staff issued a summary abatement order. Hearing scheduled for 3/13/09.  DEC staff also moves for an order without hearing against these and additional respondents. Commissioner order continuing summary abatement order issued 3/26/09. Commissioner order on motion for order without hearing issued 4/6/09. [http://www.dec.ny.gov/docs/legal_protection_pdf/elmonto.pdf]","HEMPSTEAD","NASSAU","https://www.dec.ny.gov/docs/legal_protection_pdf/elmonto.pdf"
"201570048","1033 Cauldwell Ave. Housing Develop. Fund Corp.","McBride","Enforcement (Expedited)","Decision Issued","PBS registration enforcement.  Respondent allegedly failed to re-register residential PBS facility located in the Bronx, Bronx County.  Expedited hearing held 5/12/15. Commissioner Order issued 8/21/15. [http://www.dec.ny.gov/docs/legal_protection_pdf/1033cauldwello.pdf]","BRONX (ENTIRE)","BRONX","https://www.dec.ny.gov/docs/legal_protection_pdf/1033cauldwello.pdf"
"202074989","1084 NY Ave, LLC","Caruso","Enforcement","Settled","PBS enforcement.  Multiple alleged violations of the PBS regulations at a residential facility located at 1084 New York Avenue, Brooklyn, NY 11203 (Kings County).  DEC staff moves for an order without hearing in lieu of complaint.  Respondent filed no response. Ruling issued 9/2/20.  Enforcement Hearing scheduled for October 14, 2020 was adjourned. Order of Disposition issued October 19, 2020.","BROOKLYN (ENTIRE)","KINGS",
"2005J380","110 Cleaners","DuBois","Enforcement","Settled","The above case was settled under a consent order executed on March 31, 2000.",,,
"201974155","1100 Concourse Tenants Corp.","Caruso","Enforcement (Expedited)","Decision Issued","Expedited PBS registration enforcement.  Alleged failure to register a residential petroleum bulk storage (PBS) facility located at 1100 Grand Concourse, Bronx, NY 10456 (Bronx County).  Respondent failed to appear at 10/15/18 hearing.  Adjudicatory hearing held 7/22/19. Commissioner Order issued 8/26/19. [https://www.dec.ny.gov/docs/legal_protection_pdf/1100concoursetenantso.pdf]","BRONX (ENTIRE)","BRONX","https://www.dec.ny.gov/docs/legal_protection_pdf/1100concoursetenantso.pdf"
"201570278","1113-17 Grant Avenue HDFC","Bassinson","Enforcement (Expedited)","Decision Issued","PBS registration enforcement.  Alleged failure to renew PBS registration for a facility located in the Bronx, Bronx County.  Hearing held 8/4/15. Acting Commissioner Order 9/8/15 [http://www.dec.ny.gov/docs/legal_protection_pdf/1113.17granto.pdf]","BRONX (ENTIRE)","BRONX","https://www.dec.ny.gov/docs/legal_protection_pdf/1113.17granto.pdf"
"201772143","1160 President Street Housing Development Fund Corporation","Villa","Enforcement (Expedited)","Decision Issued","Expedited PBS registration enforcement.  Alleged failure to renew registration for a residential PBS facility located in Brooklyn, Kings County.  Calendar call held 7/12/17.  DEC staff renews motion for default judgment.  Commissioner Order issued 10/3/17.  [http://www.dec.ny.gov/docs/legal_protection_pdf/1160presidentsto.pdf]","BROOKLYN (ENTIRE)","KINGS","https://www.dec.ny.gov/docs/legal_protection_pdf/1160presidentsto.pdf"
"201166921","12 Martense Associates LLC","Wissler","Enforcement","Decision Issued","Alleged failure to register PBS facility located in Brooklyn, Kings County.  No appearance at adjudicatory hearing held 8/30/11.  DEC staff moves for a default judgment.  Commissioner Order issued 12/19/11. [http://www.dec.ny.gov/docs/legal_protection_pdf/12martenseo.pdf]","BROOKLYN (ENTIRE)","KINGS","https://www.dec.ny.gov/docs/legal_protection_pdf/12martenseo.pdf"
"200661755","125 Broadway LLC and Michael O'Brien","DuBois","Enforcement","Decision Issued","Status:  Alleged violations of a consent order governing a PBS facility.  DEC staff motion for default judgment.  Decision and Order issued 12/15/06. [http://www.dec.ny.gov/docs/legal_protection_pdf/125broadwaydo.pdf]","ALBANY","ALBANY","https://www.dec.ny.gov/docs/legal_protection_pdf/125broadwaydo.pdf"
"201671098","125 Schenectady Avenue Housing Development Fund Corporation","Bassinson","Enforcement (Expedited)","Decision Issued","Expedited PBS registration proceeding. Alleged failure to register a residential PBS facility located in Brooklyn, Kings County. Calendar call held 7/28/16. DEC staff moves for a default judgment. Commissioner Order 8/25/16. [http://www.dec.ny.gov/docs/legal_protection_pdf/125schenecord.pdf]","BROOKLYN (ENTIRE)","KINGS","https://www.dec.ny.gov/docs/legal_protection_pdf/125schenecord.pdf"
