"public_authority_type","public_authority_name","address_line_1","address_line_2","city","state","zip","website"
"State","Agriculture and New York State Horse Breeding Development Fund","1 Broadway Center",,"SCHENECTADY","NY","12305","http://www.nysirestakes.com"
"LDC","Finger Lakes Regional Land Bank Corporation","1 DiPronio Drive",,"WATERLOO","NY","13165-1680","http://www.flrlandbank.org/"
"LDC","Seneca Tobacco Asset Securitization Corporation","1 Dipronio Drive",,"WATERLOO","NY","13165","http://seneca.yourtasc.com"
"State","Port of Oswego Authority","1 East 2nd Street",,"OSWEGO","NY","13126","http://www.portoswego.com/"
"IDA","Fulton County Industrial Development Agency","1 East Montgomery Street",,"JOHNSTOWN","NY","12095",
"Local","Harrison Parking Authority","1 Heineman Place",,"HARRISON","NY","10528",
"LDC","Town of Brookhaven Local Development Corporation","1 Independence Hill",,"FARMINGVILLE","NY","11738","http://www.brookhavenldc.org/"
"IDA","Brookhaven Industrial Development Agency","1 Independence Hill",,"FARMINGVILLE","NY","11738","http://www.brookhavenida.org"
"LDC","Utica Harbor Point Local Development Corporation","1 Kennedy Plaza",,"UTICA","NY","13502","http://www.cityofutica.com"
"LDC","Utica Civic Development Corporation","1 Kennedy Plaza",,"UTICA","NY","13502","http://www.cityofutica.com"
"IDA","City of Utica Industrial Development Agency","1 Kennedy Plaza",,"UTICA","NY","13502","http://www.cityofutica.com"
"Local","Upper Mohawk Valley Regional Water Board","1 Kennedy Plaza",,"UTICA","NY","13502","http://www.mvwa.us"
"Local","Upper Mohawk Valley Regional Water Finance Authority","1 Kennedy Plaza",,"UTICA","NY","13502","http://www.mvwa.us"
"Local","Utica Urban Renewal Agency","1 Kennedy Plaza",,"UTICA","NY","13502",
"LDC","Finger Lakes Horizon Economic Development Corporation","1 Keuka Business Park",,"PENN YAN","NY","14527","http://fingerlakesedc.com"
"LDC","Yates County Capital Resource Corporation","1 Keuka Business Park",,"PENN YAN","NY","14527","http://www.fingerlakesedc.com"
"Local","Dutchess County Water and Wastewater Authority","1 LaGrange Avenue",,"POUGHKEEPSIE","NY","12603","http://www.co.dutchess.ny.us/CountyGov/Departments/WaterandWaste/WRIndex.htm"
"Local","Yonkers Community Development Agency","1 Larkin Center",,"YONKERS","NY","10701","http://www.cityofyonkers"
"IDA","New York City Industrial Development Agency","1 Liberty Plaza","14th Floor","NEW YORK","NY","10006","http://www.nycedc.com/nycida"
"LDC","New York City Land Development Corporation","1 Liberty Plaza","14th Floor","NEW YORK","NY","10006","http://www.nycldc.com/"
"Local","Trust for Cultural Resources of the City of New York","1 Liberty Plaza","14th Floor","NEW YORK","NY","10006","http://www.tcrnyc.org"
"LDC","NYC Neighborhood Capital Corporation","1 Liberty Plaza","14th Floor","NEW YORK","NY","10038","http://www.nycedc.com/program/new-markets-tax-credits-program"
"LDC","Build NYC Resource Corporation","1 Liberty Plaza","14th Floor","NEW YORK","NY","10038","http://www.nycedc.com/build-nyc"
"LDC","New York City Business Assistance Corporation","1 Liberty Street","11th Floor","NEW YORK","NY","10006",
"LDC","Lake Champlain-Lake George Regional Development Corporation","1 Lower Amherst Street","PO Box 765","LAKE GEORGE","NY","12845","http://www.lclgrpb.org"
"LDC","Hudson Development Corporation","1 NORTH FRONT STREET",,"HUDSON","NY","12534","http://www.hudsonfirst.com"
"IDA","Mount Pleasant Industrial Development Agency","1 Town Hall Plaza",,"VALHALLA","NY","10595","http://www.mtpleasantny.com"
"LDC","MUNIPRO, Inc.","1 Vince Tofany Boulevard",,"GREECE","NY","14612","http://www.muniproldc.org"
"Local","Nassau County Sewer and Storm Water Finance Authority","1 WEST STREET",,"MINEOLA","NY","11501","http://www.nassaucountyny.gov/540/Sewer-Storm-Water-Finance-Authority"
