"project_number","contract_number","title","status","procurement_type","award_type","contract_award_date","contract_end_date","contract_amount","expended_amount_ytd","expended_amount_ltd","remaining_balance","number_of_bids","mwbe","mwbe_proposals","vendor_name","address_line_1","address_line_2","city","state","zip_code","country","georeference"
"09X375","T006080","CONSTR: Replace Athletic Track","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2014-06-10T00:00:00.000","2015-08-22T00:00:00.000","170037.00","0.00","170037.00","0.00","2","N","0","Copeland Coating Co.,Inc.","P.O. Box 595",,"Nassau","NY","12123","USA",
"14XB17","T006131","DESIGN: Replace Boilers BSB","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2015-10-21T00:00:00.000","2022-06-23T00:00:00.000","1298720.60","0.00","1298720.60","0.00","20","N","5","Gilbane Building Company","7 Southwoods Boulevard","3rd Floor","Albany","NY","12211","USA","POINT (-73.770732 42.683397)"
"15XA07","T005618","DESIGN: Construction Manager - IHP Addition","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2010-02-24T00:00:00.000","2015-02-17T00:00:00.000","2509230.51","793070.94","2509230.51","0.00","14","N","0","Turner Construction Company","Suite 200","50 Lakefront Boulevard","Buffalo","NY","14202","USA",
"32X468","T006113","CONSTR: Fit-Out","Active","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2014-10-23T00:00:00.000","2020-12-31T00:00:00.000","153106312.00","0.00","146357064.00","6749248.00","2","N","0","EW Howell Company, Inc.","Suite 600","245 Newtown Road","Plainview","NY","11803","USA",
"411016","T006626","DESIGN: Rehab 14th Floor to Enable 7th Floor Rehab","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2022-05-12T00:00:00.000","2024-06-17T00:00:00.000","676800.00","0.00","0.00","676800.00","0","Y","0","Ellana, Inc.","Suite 801","32 Broadway","New York","NY","10004","USA",
"41X050","T004950","DESIGN: Lobby Renovations","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2007-09-18T00:00:00.000","2017-07-28T00:00:00.000","80542.13","62444.55","670945.13","-590403.00","0","N","0","Kliment Halsband Architects, LLP","20th Floor","322 Eighth Avenue","New York","NY","10001","USA",
"37X032","T006082","DESIGN: Construct Anaerobic Digesters � Multiple Campuses","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2014-07-09T00:00:00.000","2015-07-21T00:00:00.000","258499.27","0.00","258499.27","0.00","11","N","1","Arcadis of New York, Inc.","855 Route 146","Suite 210","Clifton Park","NY","12065","USA","POINT (-73.787291 42.864278)"
"091016","T006107","DESIGN: Repair Masonry - Hunt Union/Alumni Hall","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2016-11-15T00:00:00.000","2026-04-01T00:00:00.000","259760.00","0.00","352750.34","-92990.34","0","N","0","Architecture +","297 River Street",,"Troy","NY","12180","USA","POINT (-73.690162 42.73246)"
"11X303","T005628","CONSTR: Replace Low Pressure Steam with Direct Bury HTW","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2010-01-21T00:00:00.000","2011-10-01T00:00:00.000","2169889.00","0.00","2169889.00","0.00","8","N","0","K & L Plumbing & Heating, Inc.","7 Kaycee Loop Road",,"Plattsburgh","NY","12901","USA","POINT (-73.502892 44.692591)"
"01XA65","T005902","CONSTR: Rehabiltate/Replace Stone & Masonry - Husted Hall","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2011-12-15T00:00:00.000","2013-11-01T00:00:00.000","1141042.00","654640.00","1141042.00","0.00","9","N","1","Western Building Restoration Co., Inc.","50 Yardboro Avenue",,"Albany","NY","12205","USA","POINT (-73.80176 42.688152)"
"39X165","T005834","DESIGN: Renovate Bio-Chem Lab","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2014-03-12T00:00:00.000","2016-03-15T00:00:00.000","71166.28","0.00","71166.28","0.00","0","N","0","CSArch Arch, Eng, Constr Management","40 Beaver Street",,"Albany","NY","12207","USA","POINT (-73.752578 42.648466)"
"20X163","T006270","CONSTR: Block D Site Improvement Project","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2016-08-10T00:00:00.000","2018-12-31T00:00:00.000","589099.00","0.00","589099.00","0.00","6","N","0","McGinnis Nelson Construction, Inc.","4833 Appletree Ridge",,"Manilus","NY","13104","USA","POINT (-76.007574 43.004341)"
"26X285","T005425","DESIGN: Rehabilitate Roadways/Walkways/ Landscaping","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2009-01-27T00:00:00.000","2016-04-30T00:00:00.000","1063228.98","69869.75","1063228.98","0.00","17","N","2","Hughes Assoc, Land.Arch't DBA Hmh Site & Sports Des","2nd Floor","330 East State Street","Ithaca","NY","14850","USA",
"13XB53","T005132","DESIGN: New Bio Technology Facility","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2006-03-31T00:00:00.000","2013-12-30T00:00:00.000","1639963.52","50690.97","1639963.51","0.01","5","N","0","Davis, Brody, Bond, LLP","Suite 4200","One New York Plaza","New York","NY","10004","USA",
"251026","T006515","CONSTR: Renovate Farnsworth Hall-South/Thurston Surge Space","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2019-07-26T00:00:00.000","2022-01-28T00:00:00.000","3071160.00","0.00","3071160.00","0.00","1","N","0","Andrew R. Mancini Associates Inc.","129 Odell Avenue",,"Endicott","NY","13760","USA","POINT (-76.049175 42.110866)"
"23X224","T006022","CONSTR: Cook Hall Building Stabilization & Restoration","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2013-08-09T00:00:00.000","2015-08-29T00:00:00.000","3064035.00","0.00","3064035.00","0.00","7","N","0","DC Building Systems Inc","19086 US Route 11",,"Watertown","NY","13602","USA","POINT (-75.917471 43.943023)"
"10X340","T005333","DESIGN: Renovation/Additions to Science Engineering and Technologies Phase I","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2008-03-31T00:00:00.000","2018-07-24T00:00:00.000","8011515.55","1121184.30","8011515.55","0.00","5","N","0","Cannon Design","2170 Whitehaven Road",,"Grand Island","NY","14072","USA","POINT (-78.972943 43.021579)"
"29X7A8","T005968","CONSTR: Job Order Contracting Program - New York","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2012-05-21T00:00:00.000","2018-08-31T00:00:00.000","54405.00","0.00","54405.00","0.00","0","N","0","Corbex, Inc.","74-16 Grand Avenue",,"Elmhurst","NY","11373","USA","POINT (-73.886862 40.730363)"
"20X228","T005577","DESIGN: Replace Electrical Substation/Restore Site","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2012-11-01T00:00:00.000","2018-02-03T00:00:00.000","650921.73","12056.20","650921.73","0.00","0","N","0","C & S Engineers, Inc.","499 Col. Eileen Collins","Blvd.","Syracuse","NY","13212","USA","POINT (-76.132243 43.113906)"
"271048","T006675","DESIGN: Renovate Crawford Science Laboratories, Ph. I, Building 16","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2022-01-21T00:00:00.000","2024-10-22T00:00:00.000","89270.00","0.00","0.00","89270.00","45","N","5","M/E Engineering, P.C.","Suite 320","60 Lakefront Boulevard","Buffalo","NY","14202","USA",
"361027","D006733","CONSTR: Exterior Preservation - H. Carl McCall Building","Active","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2022-03-16T00:00:00.000","2024-10-02T00:00:00.000","3848848.00","0.00","132118.00","3716730.00","3","Y","1","Lupini Construction, Inc.","6081 Trenton Rd",,"Utica","NY","13502","USA","POINT (-75.21307 43.155128)"
