"month","year","age_at_completion","gender","county_of_mailing_address","sponsor","delivery_method","course_completion_count"
"1","2017","16","F","ALBANY","27 - I DRIVE SAFELY","INTERNET","2"
"1","2017","16","F","DELAWARE","35 - NY DEFENSIVE DRIVER COURSE","CLASSROOM","1"
"1","2017","16","F","DUTCHESS","15 - NATL TRAFFIC SAFETY INST","CLASSROOM","2"
"1","2017","16","F","ERIE","01 - NATL SAFETY COUNCIL","INTERNET","1"
"1","2017","16","F","ERIE","15 - NATL TRAFFIC SAFETY INST","CLASSROOM","2"
"1","2017","16","F","ERIE","16 - DRIVER TRAINING ASSOC","CLASSROOM","1"
"1","2017","16","F","ERIE","16 - DRIVER TRAINING ASSOC","INTERNET","2"
"1","2017","16","F","ERIE","18 - NY SAFETY PROGRAM","CLASSROOM","1"
"1","2017","16","F","ERIE","29 - AMERICAN SAFETY COUNCIL","INTERNET","2"
"1","2017","16","F","GREENE","29 - AMERICAN SAFETY COUNCIL","INTERNET","1"
"1","2017","16","F","JEFFERSON","29 - AMERICAN SAFETY COUNCIL","INTERNET","2"
"1","2017","16","F","MADISON","04 - AARP","INTERNET","1"
"1","2017","16","F","MADISON","29 - AMERICAN SAFETY COUNCIL","INTERNET","1"
"1","2017","16","F","MONROE","29 - AMERICAN SAFETY COUNCIL","INTERNET","3"
"1","2017","16","F","MONTGOMERY","21 - EMPIRE SAFETY COUNCIL","CLASSROOM","2"
"1","2017","16","F","NASSAU","21 - EMPIRE SAFETY COUNCIL","CLASSROOM","1"
"1","2017","16","F","NASSAU","29 - AMERICAN SAFETY COUNCIL","INTERNET","1"
"1","2017","16","F","NIAGARA","22 - AAA","CLASSROOM","1"
"1","2017","16","F","NIAGARA","26 - NATL PT INS COURSE (AIPS)","INTERNET","1"
"1","2017","16","F","NIAGARA","28 - AMERICAN SAFETY INC","CLASSROOM","1"
"1","2017","16","F","NIAGARA","29 - AMERICAN SAFETY COUNCIL","INTERNET","2"
