"grant_year","grantee","address","city","state","zip","county","phone","program","category","project_title","grant_amount","senate_district","assembly_district"
"2020","1891 Fredonia Opera House, Inc.","9 Church St. , PO Box 384","Fredonia","NY","14063-0384","Chautauqua","716-679-0891","Music","Project Support","2019 Bach & Beyond Baroque Music Festival","9780","57","150"
"2020","7 Loaves Inc.","309 East 4th Street, Suite 3B","New York","NY","10009-6911","New York","917-721-6385","Theatre","Professional Performances","Professional Marionette & Live Actor Performances","9500","27","66"
"2020","7 Loaves Inc.","309 East 4th Street, Suite 3B","New York","NY","10009-6911","New York","917-721-6385","Folk Arts","Project Support","Traditional Marionettes Theatre","10000","27","66"
"2020","AARON DAVIS HALL (HARLEM STAGE)","150 Convent Ave at West 135th Street","New York","NY","10031","New York","212-281-9240","Regional Economic Development","Workforce Investment","Workforce Expansion","56250","31","70"
"2020","AARON DAVIS HALL (HARLEM STAGE)","150 Convent Ave at West 135th Street","New York","NY","10031","New York","212-281-9240","Presenting","General Support","General Operating Support","58000","31","70"
"2020","AARON DAVIS HALL (HARLEM STAGE)","150 Convent Ave at West 135th Street","New York","NY","10031","New York","212-281-9240","State & Local Partnership","Services to the Field","Harlem Stage Partners","20000","31","70"
"2020","ABC No Rio, Inc.","107 Suffolk Street, #305","New York","NY","10002","New York","212-254-3697","Visual Arts","Exhibitions & Installations","ABC No Rio Exhibitions","10000","26","65"
"2020","A Better Jamaica, Inc.","114-73 178th Street","Jamaica","NY","11434","Queens","718-657-2605","Special Arts Services","Project Support","The Jamaica Dance Festival","10000","14","29"
"2020","A Blade of Grass Fund","81 Prospect Street","Brooklyn","NY","11201","New York","6469449914","Visual Arts","Project Support","A Blade of Grass Public Programs","11000",,
"2020","Academy of American Poets","75 Maiden Lane, Suite 901","New York","NY","10038","New York","212-274-0343","Literature","General Support","Poets & Poetry in New York State","17000","26","65"
"2020","Adirondack Architectural Heritage","1745 Main Street","Keeseville","NY","12944-3743","Clinton","518-834-9328","Architecture + Design","General Support","General Operating Support","36000","45","115"
"2020","Adirondack Center for Writing","PO Box 956","Saranac Lake","NY","12983","Franklin","518-354-1261","Literature","General Support","Literature-GOS 2020","23000","45","115"
"2020","Adirondack Film Society, Inc.","P.O. Box 489","Lake Placid","NY","12946","Essex","518-891-1630","Electronic Media & Film","General Support","Gen'l operating support for ADK Film Society","10000","45","114"
"2020","Adirondack Historical Association","9097 State Route 30, P. O. Box 99","Blue Mountain Lake","NY","12812-0099","Hamilton","518-352-7311","Museum","General Support","General Operating Support","39000","49","118"
"2020","Adirondack Historical Association","9097 State Route 30, P. O. Box 99","Blue Mountain Lake","NY","12812-0099","Hamilton","518-352-7311","Regional Economic Development","Workforce Fellowship","Workforce Training and Development Programs","37100","49","118"
