"loannumber","approvaldate_year","approvaldate_month","approvaldate_day","businessname","businessaddress","businesscity","businessstate","businesszip","grantamount","franchisename","ruralurbanindicator","hubzoneindicator","cd","grant_purp_cons_outdoor","grant_purpose_covered_supplier","grant_purpose_debt","grant_purpose_food","grant_purpose_maintenance","grant_purpose_operations","grant_purpose_payroll","grant_purpose_rent","grant_purpose_supplies","grant_purpose_utility","legalorganizationtype","lmiindicator","socioeconmicindicator","veteranindicator","womenownedindicator","restauranttype","georeference"
"2227369004","2021","5","14","Port Jeff Subs Inc.","570 Port Jefferson Plaza","Port Jefferson Station","NY","11776","9097","Subway","U","N","NY-01","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Corporation","N","Y","N","N","Restaurant",
"2236409005","2021","5","14","SOLE DI MARE INC.","4 FOURTH ST","TROY","NY","12180","1212066",,"R","Y","NY-20","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Corporation","N","Y","N","N","Caterer","POINT (-73.68854 42.733469)"
"2697429003","2021","5","18","30 Village Landing INC.","30 Village Landing","Fairport","NY","14450","107568",,"U","N","NY-24","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Corporation","N","N","Y","N","Restaurant",
"3693159002","2021","5","19","suco hana inc.","67 Nassau St","New York","NY","10038","663833",,"U","N","NY-07","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Corporation","N","Y","N","N","Restaurant","POINT (-74.008514 40.709468)"
"3696129010","2021","5","19","104 UNITED INC","104 Fulton St","New York","NY","10038","275347",,"U","N","NY-07","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Corporation","N","N","N","Y","Restaurant","POINT (-74.006658 40.709692)"
"3703009008","2021","5","19","Poke Inn Inc","357 W 49th St","New York","NY","10019","427492",,"U","N","NY-10","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Corporation","N","Y","N","N","Restaurant","POINT (-73.988598 40.762522)"
"6609679007","2021","5","22","Heledona Inc","200 West 60th St","New York","NY","10023","668753",,"U","N","NY-10","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Corporation","N","Y","N","Y","Restaurant",
"7520339008","2021","5","25","TONG'S CAFE INC.","41-51A MAIN STREET","FLUSHING","NY","11354","163211",,"U","N","NY-06","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Corporation","Y","Y","N","N","Restaurant",
"7531009009","2021","5","25","Spankys Restaurant","3 N Main St","Massena","NY","13662","50191",,"R","Y","NY-21","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Corporation","N","N","N","Y","Restaurant","POINT (-74.893609 44.934632)"
"7557628902","2021","5","7","612 BAGEL CORP","612 5th Ave","Brooklyn","NY","11215","34026",,"U","N","NY-07","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Corporation","N","Y","N","N","Other","POINT (-73.990902 40.663772)"
