"county","county_seat","address","city","zip5","contact_type","phone","longitude","latitude","county_website","location"
"Rensselaer","City of Troy","1600 7Th Avenue","Troy","12180","County Executive's Office","(518)270-2900","-73.6858040623","42.7289906092","http://www.rensco.com/","1600 7Th Avenue
Troy,  12180
(42.7289906092, -73.6858040623)"
"Albany","City of Albany","112 State Street","Albany","12207","County Executive's Office","(518)447-7040","-73.7539594378","42.6501637986","http://www.albanycounty.com/","112 State Street
Albany,  12207
(42.6501637986, -73.7539594378)"
"Cayuga","City of Auburn","160 Genesee St.","Auburn","13021","County Administrator's Office","(315)253-1525","-76.5695460095","42.9297172717","http://www.co.cayuga.ny.us/","160 Genesee St.
Auburn,  13021
(42.9297172717, -76.5695460095)"
"Columbia","City of Hudson","401 State St.","Hudson","12534","County Clerk's Office","(518)828-3339","-73.7870073254","42.2520998263","http://www.columbiacountyny.com/","401 State St.
Hudson,  12534
(42.2520998263, -73.7870073254)"
"Ulster","City of Kingston","244 Fair Street","Kingston","12402","County Executive's Office","(845)340-3800","-74.0173858749","41.9326926468","http://co.ulster.ny.us/","244 Fair Street
Kingston,  12402
(41.9326926468, -74.0173858749)"
"Lewis","Village of Lowville","7660 State St.","Lowville","13367","County Manager's Office","(315)376-5355","-75.4934752633","43.7888932099","http://lewiscountyny.org/content","7660 State St.
Lowville,  13367
(43.7888932099, -75.4934752633)"
"Orleans","Village of Albion","3 S. Main St., Suite 2","Albion","14411","Chief Administrative Officer's Office","(585)589-7053","-78.1928184138","43.2458608673","http://orleansny.com/","3 S. Main St., Suite 2
Albion,  14411
(43.2458608673, -78.1928184138)"
"Livingston","Village of Geneseo","6 Court St.","Geneseo","14454","County Administrator's Office","(585)243-7040","-77.8156898771","42.8008513295","http://www.co.livingston.state.ny.us/","6 Court St.
Geneseo,  14454
(42.8008513295, -77.8156898771)"
"Suffolk","Town of Riverhead","300 Center Dr.","Riverhead","11901","County Executive's Office","(631)852-1700","-72.6730152171233","40.9143744547659","http://www.suffolkcountyny.gov/","300 Center Dr.
Riverhead,  11901
(40.9143744547659, -72.6730152171233)"
"Erie","City of Buffalo","95 Franklin St.","Buffalo","14202","County Executive's Office","(716)858-7450","-78.8767135148805","42.8839031265216","http://www2.erie.gov/","95 Franklin St.
Buffalo,  14202
(42.8839031265216, -78.8767135148805)"
"Hamilton","Hamlet of Lake Pleasant","102 County View Drive","Lake Pleasant","12108","County Clerk's Office","(518)548-7111","-74.4121401131787","43.4704720464161","http://www.hamiltoncounty.com/","102 County View Drive
Lake Pleasant,  12108
(43.4704720464161, -74.4121401131787)"
"Schenectady","City of Schenectady","620 State St.","Schenectady","12305","County Manager's Office","(518)388-4280","-73.9394897708","42.8101528732","http://www.schenectadycounty.com/","620 State St.
Schenectady,  12305
(42.8101528732, -73.9394897708)"
"Warren","Town of Queensbury","1340 State Route 9","Lake George","12845","County Administrator's Office","(518)761-6539","-73.6994622642118","43.3587355362594","http://warrencountyny.gov/","1340 State Route 9
Lake George,  12845
(43.3587355362594, -73.6994622642118)"
"Nassau","Village of Mineola","1550 Franklin Ave.","Mineola","11501","County Executive's Office","(516)571-3000","-73.6396807827","40.7379915813","http://www.nassaucountyny.gov/","1550 Franklin Ave.
Mineola,  11501
(40.7379915813, -73.6396807827)"
"Wyoming","Village of Warsaw","143 N. Main St.","Warsaw","14569","County Clerk's Office","(585)786-8810","-78.1330608975056","42.7430736411032","http://www.wyomingco.net/","143 N. Main St.
Warsaw,  14569
(42.7430736411032, -78.1330608975056)"
"Allegany","Village of Belmont","7 Court St.","Belmont","14813","County Administrator's Office","(585)268-9217","-78.0332072212","42.2248679417","http://www.alleganyco.com/","7 Court St.
Belmont,  14813
(42.2248679417, -78.0332072212)"
"Chautauqua","Village of Mayville","3 North Erie Street","Mayville","14757","County Executive's Office","(716)753-7111","-79.5049079999","42.2546709999","http://www.co.chautauqua.ny.us/pages/default.aspx","3 North Erie Street
Mayville,  14757
(42.2546709999, -79.5049079999)"
"Westchester","City of White Plains","148 Martine Ave.","White Plains","10601","County Executive's Office","(914)995-2000","-73.7676683134","41.0305398157","http://www3.westchestergov.com/","148 Martine Ave.
White Plains,  10601
(41.0305398157, -73.7676683134)"
"Montgomery","Village of Fonda","64 Broadway","Fonda","12068","County Clerk's Office","(518)853-8111","-74.3797579548288","42.9574464463997","http://www.co.montgomery.ny.us/","64 Broadway
Fonda,  12068
(42.9574464463997, -74.3797579548288)"
"Oswego","City of Oswego","46 E. Bridge St.","Oswego","13126","County Administrator's Office","(315)349-8235","-76.5057347916","43.4574611999","http://www.co.oswego.ny.us/","46 E. Bridge St.
Oswego,  13126
(43.4574611999, -76.5057347916)"
"Herkimer","Village of Herkimer","109 Mary St., Suite 1310","Herkimer","13350","County Administrator's Office","(315)867-1112","-74.9882183618","43.0289601345","http://herkimercounty.org/content","109 Mary St., Suite 1310
Herkimer,  13350
(43.0289601345, -74.9882183618)"
"Oneida","City of Utica","800 Park Ave.","Utica","13501","County Executive's Office","(315)798-5700","-75.2300994881","43.0992658144","http://www.ocgov.net/","800 Park Ave.
Utica,  13501
(43.0992658144, -75.2300994881)"
"Clinton","City of Plattsburgh","137 Margaret St.","Plattsburgh","12901","County Administrator's Office","(518)565-4600","-73.4539736654","44.6992641965","http://www.clintoncountygov.com/","137 Margaret St.
Plattsburgh,  12901
(44.6992641965, -73.4539736654)"
"Sullivan","Village of Monticello","100 North Street","Monticello","12701","County Manager's Office","(845)794-3000","-74.691905010473","41.6583202808553","http://www.co.sullivan.ny.us/","100 North Street
Monticello,  12701
(41.6583202808553, -74.691905010473)"
"Dutchess","City of Poughkeepsie","22 Market St., 6Th Floor","Poughkeepsie","12601","County Executive's Office","(845)486-2100","-73.9295487633","41.7035628872","http://dutchessny.gov/","22 Market St., 6Th Floor
Poughkeepsie,  12601
(41.7035628872, -73.9295487633)"
"Queens","Borough of Queens","120-55 Queens Boulevard","New York","11424","Borough President's Office","(718)286-3000","-73.8281286529064","40.7137097534539","http://www.queensbp.org/","120-55 Queens Boulevard
New York,  11424
(40.7137097534539, -73.8281286529064)"
"Bronx","Borough of the Bronx","851 Grand Concourse","New York","10451","Borough President's Office","(718)590-3500","-73.9237616166996","40.8262886480416","http://bronxboropres.nyc.gov/","851 Grand Concourse
New York,  10451
(40.8262886480416, -73.9237616166996)"
"Niagara","City of Lockport","175 Hawley St.","Lockport","14094","County Manager's Office","(716)439-7213","-78.7000029695","43.1695038446","http://www.niagaracounty.com/","175 Hawley St.
Lockport,  14094
(43.1695038446, -78.7000029695)"
