"effective_date","season","service_type","company","customer_type","customer_details","usage","units_of_usage","total_bill"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","0","THERMS","16.88"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","10","THERMS","27.05"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","20","THERMS","39.01"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","50","THERMS","74.91"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","100","THERMS","118.64"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","200","THERMS","206.09"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","300","THERMS","293.54"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," SPACE HEATING CUSTOMERS","400","THERMS","380.99"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," NON-SPACE HEATING CUSTOMERS","0","THERMS","14.24"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," NON-SPACE HEATING CUSTOMERS","10","THERMS","24.33"
"2011-07-01T00:00:00.000","SUMMER 2011","GAS","THE BROOKLYN UNION GAS COMPANY ","RESIDENTIAL"," NON-SPACE HEATING CUSTOMERS","20","THERMS","35.89"
