"violation_description","violation_year","age_at_violation","gender","source"
"AGGRAVATED UNLIC OPER 3RD MISD","2018","16","F","1"
"ALLOWING USE OF LICENSE BY ANOTHER","2018","16","F","2"
"BACKING UNSAFELY","2018","16","F","17"
"BACK SEAT PASS AGE 4-7 NO/IMPROPER RESTRAINT","2018","16","F","4"
"BACK SEAT PASS AGE 8-15 NO/IMPROPR SEAT BELT","2018","16","F","3"
"BACK SEAT PASS LESS THAN 4 NO/IMP RESTRAINT","2018","16","F","4"
"CONSUMPTION/ALCOHOL IN MOTOR VEHICLE","2018","16","F","3"
"DISOBEYED TRAFFIC DEVICE","2018","16","F","70"
"DRIVERS VIEW OBSTRUCTED","2018","16","F","29"
"DRIVING IN CENTER LANE","2018","16","F","1"
"DRIVING ON SHOULDER/LIMITED ACCESS HGWY","2018","16","F","1"
"DRIVING TO LEFT OF PAVEMENT MARKINGS","2018","16","F","1"
"DRIVING W/.08 OF 1 PERCENT OF ALCO/BLD","2018","16","F","1"
"DRIVING W/ABILITY IMPAIRED BY DRUGS","2018","16","F","3"
"DRIVING WHILE INTOXICATED","2018","16","F","1"
"DRIVING/WRONG DIRECTION ON ONE-WAY STREET","2018","16","F","8"
"DROVE ACROSS HAZARD MARKING","2018","16","F","2"
"ENTERING EXIT RAMP OF A CONT ACCESS HGWY","2018","16","F","1"
"EQUIPMENT VIOLATION/INADEQUATE BRAKES","2018","16","F","5"
"FAILED TO CHANGE ADDRESS/REG","2018","16","F","2"
"FAILED TO COMPLY W/LAWFUL ORDER","2018","16","F","4"
"FAILED TO DIM HEADLAMPS","2018","16","F","12"
"FAILED TO GIVE RT-OF-WAY","2018","16","F","1"
"FAILED TO KEEP RIGHT","2018","16","F","15"
"FAILED TO SIGNAL AS REQUIRED","2018","16","F","2"
"FAILED TO TURN AS REQUIRED","2018","16","F","2"
"FAILED TO USE DESIGNATED LANE","2018","16","F","7"
"FAILED TO USE/IMPROPER USE 4-WAY FLASHERS","2018","16","F","1"
"FAILED TO YLD RT-OF-WAY-GRN LITE","2018","16","F","12"
"FAILURE TO KEEP RIGHT-BICYCLE","2018","16","F","1"
"FAIL/YIELD RIGHT-OF-WAY TO EMERGENCY VEH - ATV","2018","16","F","1"
"FLD DUE CARE FOR EMERG VEH STOPPED OR STANDING","2018","16","F","5"
"FLD/NOTIFY DMV CHANGE OF ADDRESS","2018","16","F","1"
"FLD/SURR/LIC/REG PLATES/REV-ART 7","2018","16","F","2"
"FLD TO STOP AT STOP SIGN","2018","16","F","44"
"FLD TO STOP ON A STEADY RED ARROW","2018","16","F","1"
"FLD TO STOP SCHOOL BUS","2018","16","F","6"
"FLD TO YLD RT-OF-WAY AT INTERSECTION","2018","16","F","6"
"FLD TO YLD RT-OF-WAY AT STOP SIGN","2018","16","F","23"
"FLD TO YLD RT-OF-WAY ON LEFT TURN","2018","16","F","36"
"FLD TO YLD RT-OF-WAY TO EMERGENCY VEHICLE","2018","16","F","4"
"FLD TO YLD RT-OF-WAY TO PEDESTRIAN IN CROSSWALK","2018","16","F","3"
"FLD TO YLD RT-OF-WAY TO VEH ON RIGHT","2018","16","F","2"
"FLD TO YLD RT-OF-WAY WHEN ENTERING ROADWAY","2018","16","F","21"
"FLD YIELD PEDEST NYC","2018","16","F","3"
