"body_of_water","mile","shore","marina","marina_url","phone_number","vhf_monitored","fuel","repair","facilities","latitude","longitude","georeference","itsuid"
"oswego","23.71","west","Wright's Landing Marina","https://www.oswegony.org/live/city-marinas-brochure","(315) 342-8186",,,,"EWPRSC","43.462606","-76.521485","POINT (-76.521485 43.462606)","Wright's Landing Marina"
"erie","151.64","north","Winter Harbor","http://www.winterharborllc.com/","(315) 676-9276","16","GD","EHMT","EWPRSIC","43.243714","-76.159652","POINT (-76.159652 43.243714)","Winter Harbor"
"erie","167.40","north","Winds of Cold Springs Harbor","http://thewindsofcoldspringsharbor.webs.com/","(315) 622-2211",,"G","EHMT","EWPRSI","43.127410","-76.257574","POINT (-76.257574 43.12741)","Winds of Cold Springs Harbor"
"champlain","60.50","west","Whitehall Harbor, wall","http://www.whitehall-chamber.org/","(518) 499-4435",,,,"R","43.553814","-73.402304","POINT (-73.402304 43.553814)","Whitehall Harbor, wall"
"erie","333.36","north","West Canal Marina","http://www.niagaracounty.com/parks/WestCanalMarina.aspx","(716) 739-7950",,,,"R","43.051741","-78.820342","POINT (-78.820342 43.051741)","West Canal Marina"
"cayuga-seneca_sf-sl","52.14","east","Watkins Glen Yacht Club","http://watkinsglenyachtclub.com","(607) 535-9955",,,,"EWR","42.379460","-76.859153","POINT (-76.859153 42.37946)","Watkins Glen Yacht Club"
"erie","0.47","north","Waterford Harbor Visitor Center","http://www.town.waterford.ny.us/harbor-visitors-center.html","(518) 233-9123",,,,"EWPRSLI","42.787354","-73.679583","POINT (-73.679583 42.787354)","Waterford Harbor Visitor Center"
"erie","338.58","north","Wardell Boat Yard","http://www.wardellboatyard.com/","(716) 692-9428",,"GD","S","EWPRS","43.022336","-78.880454","POINT (-78.880454 43.022336)","Wardell Boat Yard"
"cayuga-seneca_sf-sl","12.45","west","Village of Waterloo Oak Island","http://www.waterloony.com","(315) 539-9131",,,,"EWP","42.901034","-76.866523","POINT (-76.866523 42.901034)","Village of Waterloo Oak Island"
"oswego","1.96","east","Village of Phoenix Henley Park","http://www.bridgehousebrats.com","(315) 695-1308","13",,,"EWPRSLI","43.227514","-76.298789","POINT (-76.298789 43.227514)","Village of Phoenix Henley Park"
