Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Caleb Smith Park Preserve,State Park Preserve,9,Suffolk,N,N,N,Y-A,N,https://parks.ny.gov/parks/124/details.aspx,,https://parks.ny.gov/environment/nature-centers/9/details.aspx,-73.22601645,40.85303798,"(40.85303798, -73.22601645)",1014,1427,2179
John Boyd Thacher,State Park,11,Albany,N,Y,Y,Y-A,N,https://parks.ny.gov/parks/128/details.aspx,,https://parks.ny.gov/environment/nature-centers/8/details.aspx,-74.01470616,42.65546552,"(42.65546552, -74.01470616)",830,1142,2030
Moreau Lake,State Park,11,Saratoga,N,Y,Y,Y,Y,https://parks.ny.gov/parks/150/details.aspx,,https://parks.ny.gov/environment/nature-centers/7/details.aspx,-73.7337769,43.23321367,"(43.23321367, -73.7337769)",998,93,2141
Connetquot River,State Park Preserve,9,Suffolk,N,N,N,Y-A,N,https://parks.ny.gov/parks/8/details.aspx,,https://parks.ny.gov/environment/nature-centers/6/details.aspx,-73.14924969,40.76942925,"(40.76942925, -73.14924969)",1019,1073,2179
Robert Moses,State Park,10,St. Lawrence,N,N,Y,Y-A,Y,https://parks.ny.gov/parks/51/details.aspx,,https://parks.ny.gov/environment/nature-centers/5/details.aspx,-74.82735035,45.00064012,"(45.00064012, -74.82735035)",321,1585,2140
Jones Beach,State Park,9,Nassau,N,N,Y,Y-A,Y-M,https://parks.ny.gov/parks/10/details.aspx,,https://parks.ny.gov/environment/nature-centers/4/details.aspx,-73.51642732,40.59601085,"(40.59601085, -73.51642732)",62,1433,2094
Clarence Fahnestock,State Park,7,Putnam,N,Y,N,Y-A,Y,https://parks.ny.gov/parks/133/details.aspx,,https://parks.ny.gov/environment/nature-centers/3/details.aspx,-73.84764739,41.45275633,"(41.45275633, -73.84764739)",100,1203,627
Wellesley Island,State Park,10,Jefferson,Y,Y,Y,Y-A,Y,https://parks.ny.gov/parks/52/details.aspx,https://parks.ny.gov/golf/7/details.aspx,https://parks.ny.gov/environment/nature-centers/2/details.aspx,-76.01544821,44.329238,"(44.329238, -76.01544821)",847,1523,2089
Saratoga Spa,State Park,11,Saratoga,Y,N,Y,Y-A,N,https://parks.ny.gov/parks/112/details.aspx,https://parks.ny.gov/golf/15/details.aspx,https://parks.ny.gov/environment/nature-centers/21/details.aspx,-73.80393559,43.05089145,"(43.05089145, -73.80393559)",994,147,2141
Bear Mountain,State Park,8,Rockland/Orange,N,N,Y,Y-A,N,https://parks.ny.gov/parks/145/details.aspx,,https://parks.ny.gov/environment/nature-centers/20/details.aspx,-73.99240161,41.29900423,"(41.29900423, -73.99240161)",528,1652,628
Grafton Lakes,State Park,11,Rensselaer,N,N,Y,Y-A,Y,https://parks.ny.gov/parks/53/details.aspx,,https://parks.ny.gov/environment/nature-centers/1/details.aspx,-73.44286108,42.78418998,"(42.78418998, -73.44286108)",128,1178,2138
Letchworth,State Park,3,Liv/Wyo,N,Y,Y,Y-A,N,https://parks.ny.gov/parks/79/details.aspx,,https://parks.ny.gov/environment/nature-centers/19/details.aspx,-77.97576922,42.64592135,"(42.64592135, -77.97576922)",740,321,2186
Fort Niagara,State Park,1,Niagara,N,N,Y,Y,N,https://parks.ny.gov/parks/175/details.aspx,,https://parks.ny.gov/environment/nature-centers/17/details.aspx,-79.05258585,43.26163494,"(43.26163494, -79.05258585)",156,31,2131
Evangola,State Park,1,Erie,N,Y,Y,Y,Y,https://parks.ny.gov/parks/91/details.aspx,,https://parks.ny.gov/environment/nature-centers/16/details.aspx,-79.10185926,42.60579936,"(42.60579936, -79.10185926)",301,529,2041
Clark Reservation,State Park,5,Onondaga,N,N,Y,Y,N,https://parks.ny.gov/parks/126/details.aspx,,https://parks.ny.gov/environment/nature-centers/15/details.aspx,-76.09300044,42.9975225,"(42.9975225, -76.09300044)",702,630,2132
Clay Pit Ponds,State Park Preserve,12,Richmond,N,N,N,Y-A,N,https://parks.ny.gov/parks/166/details.aspx,,https://parks.ny.gov/environment/nature-centers/14/details.aspx,-74.22904609,40.54056355,"(40.54056355, -74.22904609)",585,612,2139
Allegany,State Park,2,Cattaraugus,N,Y,Y,Y-A,Y-M,https://parks.ny.gov/parks/136/details.aspx,,https://parks.ny.gov/environment/nature-centers/12/details.aspx,-78.76855865,42.05475752,"(42.05475752, -78.76855865)",341,1741,2034
Beaver Island,State Park,1,Erie,Y,N,Y,Y,Y,https://parks.ny.gov/parks/56/details.aspx,https://parks.ny.gov/golf/4/details.aspx,https://parks.ny.gov/environment/nature-centers/11/details.aspx,-78.95310636,42.96576594,"(42.96576594, -78.95310636)",290,526,2041
Canoe Picnic Point,State Park,10,Jefferson,N,Y,N,,N,https://parks.ny.gov/parks/64/details.aspx,,,-76.07471216,44.30417139,"(44.30417139, -76.07471216)",854,1511,2089
Beechwood,State Park,4,Wayne,N,N,N,,N,,,,-77.0337933,43.26669445,"(43.26669445, -77.0337933)",628,408,631
Allegheny Reservoir Boat Launch,Marine Facility,2,Cattaraugus,N,N,N,N,N,,,,-78.88047447,42.05885118,"(42.05885118, -78.88047447)",368,1741,2034
Lakeside Beach,State Park,3,Orleans,N,Y,Y,,N,https://parks.ny.gov/parks/161/details.aspx,,,-78.24370249,43.36638358,"(43.36638358, -78.24370249)",505,416,626
Barcelona Lighthouse,State Park,2,Chautauqua,N,N,N,N,N,https://parks.ny.gov/parks/196/details.aspx,,,-79.5951487,42.34102814,"(42.34102814, -79.5951487)",197,1746,
Harriet Hollister Spencer,State Park,4,Ontario,N,N,N,,N,https://parks.ny.gov/parks/164/details.aspx,,,-77.51547809,42.688112,"(42.688112, -77.51547809)",781,411,2133
Knox Farm,State Park,1,Erie,N,N,N,,N,https://parks.ny.gov/parks/163/details.aspx,,,-78.64774994,42.77386727,"(42.77386727, -78.64774994)",303,510,2041
Burnham Point,State Park,10,Jefferson,N,Y,Y,,N,https://parks.ny.gov/parks/57/details.aspx,,,-76.26444427,44.16250249,"(44.16250249, -76.26444427)",856,1479,2089
Lake Taghkanic,State Park,7,Columbia,N,Y,Y,,Y-M,https://parks.ny.gov/parks/38/details.aspx,,,-73.70588782,42.09288182,"(42.09288182, -73.70588782)",520,946,619
Blauvelt,State Park,8,Rockland,N,N,N,,N,https://parks.ny.gov/parks/49/details.aspx,,,-73.93737308,41.07424137,"(41.07424137, -73.93737308)",530,1493,628
Grass Point,State Park,10,Jefferson,N,Y,Y,,Y,https://parks.ny.gov/parks/139/details.aspx,,,-75.99593007,44.28176681,"(44.28176681, -75.99593007)",847,1471,2089
Camp Hero,State Park,9,Suffolk,N,N,N,,N,https://parks.ny.gov/parks/97/details.aspx,,,-71.8777873,41.06177195,"(41.06177195, -71.8777873)",1021,1637,2179
Coles Creek,State Park,10,St. Lawrence,N,Y,Y,,Y,https://parks.ny.gov/parks/72/details.aspx,,,-75.12323609,44.88473357,"(44.88473357, -75.12323609)",308,1621,2140
Whirlpool,State Park,1,Niagara,N,N,Y,,N,https://parks.ny.gov/parks/105/details.aspx,,,-79.06341797,43.12040048,"(43.12040048, -79.06341797)",159,169,
Cayuga Lake,State Park,4,Seneca,N,Y,Y,,Y,https://parks.ny.gov/parks/123/details.aspx,,,-76.75531185,42.89795191,"(42.89795191, -76.75531185)",577,689,2144
Robert V. Riddell,State Park,5,Otsego,N,N,N,,N,https://parks.ny.gov/parks/18/details.aspx,,,-74.93710757,42.47625451,"(42.47625451, -74.93710757)",918,1290,2136
Belmont Lake,State Park,9,Suffolk,N,N,Y,,N,https://parks.ny.gov/parks/88/details.aspx,,,-73.336795,40.7262324,"(40.7262324, -73.336795)",1023,1034,2179
