"program_id","facility_name","town","county","dec_region","withdrawal_category","withdrawal_type","reporting_year","average_day_withdrawal_mgd","maximum_day_withdrawal_mgd","latitude","longitude","georeference"
"WWR0000202","Callanan - Port Ewen Quarry","Esopus (T)","Ulster","3","Mine Dewatering","Surface Water","2019","0","0","41.90482118","-73.99919848","POINT (-73.99919848 41.90482118)"
"WWR0000253","Cedar Valley","Pawling (T)","Dutchess","3","Public Water Supply","Groundwater","2011","0.02","0.03","41.55218646","-73.59650561","POINT (-73.59650561 41.55218646)"
"WWR0000282","Chester, Tn","Chester (T)","Orange","3","Public Water Supply","Groundwater","2009","0.21","0.44","41.33958132","-74.27571644","POINT (-74.27571644 41.33958132)"
"WWR0000331","Copenhagen, Vg","Denmark (T)","Lewis","6","Public Water Supply","Groundwater","2018","0.09","0.18","43.89422411","-75.67485733","POINT (-75.67485733 43.89422411)"
"WWR0000397","Hickling's Fish Farm","Edmeston (T)","Otsego","4","Other","Groundwater","2011","0.03","0.04","42.73477898","-75.25213348","POINT (-75.25213348 42.73477898)"
"WWR0000414","Deposit, Vg","Sanford (T)","Broome","7","Public Water Supply","Groundwater","2020","0.18","0.27","42.06048006","-75.42567666","POINT (-75.42567666 42.06048006)"
"WWR0000452","Dutch Hollow Country Club","Owasco (T)","Cayuga","7","Recreational - Golf Course","Surface Water","2013","0.01","0.1","42.86283991","-76.45474416","POINT (-76.45474416 42.86283991)"
"WWR0000460","East Randolph","Cold Spring (T)","Cattaraugus","9","Public Water Supply","Groundwater","2012","0.17","0.21","42.16108241","-78.98381427","POINT (-78.98381427 42.16108241)"
"WWR0000667","Hammondsport, Vg","Urbana (T)","Steuben","8","Public Water Supply","Surface Water","2016","0.11","0.32","42.41046872","-77.21896898","POINT (-77.21896898 42.41046872)"
"WWR0000748","Holland Water District #1","Holland (T)","Erie","9","Public Water Supply","Groundwater","2019","0.13","0.18","42.64280727","-78.54203024","POINT (-78.54203024 42.64280727)"
"WWR0001007","Minerva, Tn","Minerva (T)","Essex","5","Public Water Supply","Groundwater","2011","0.08","0.21","43.78748369","-73.98011507","POINT (-73.98011507 43.78748369)"
"WWR0001178","Patsy Vigneri & Sons","Elba (T)","Genesee","8","Agricultural","Groundwater","2014","0.43","0.65","43.12625993","-78.16384901","POINT (-78.16384901 43.12625993)"
"WWR0001275","Ravena, Vg","New Baltimore (T)","Greene","4","Public Water Supply","Surface Water","2018","0.5","1","42.4729232","-73.81482515","POINT (-73.81482515 42.4729232)"
"WWR0001353","Salem, Vg","Salem (T)","Washington","5","Public Water Supply","Groundwater","2021","0.05","0.17","43.17210168","-73.32777096","POINT (-73.32777096 43.17210168)"
"WWR0001653","Webster, Vg","Webster (T)","Monroe","8","Public Water Supply","Groundwater","2011","0.47","1.19","43.2116084","-77.43131916","POINT (-77.43131916 43.2116084)"
"WWR0001741","Woody Hill Farms","Salem (T)","Washington","5","Agricultural","Groundwater","2011","0.12","0.12","43.15582322","-73.33654176","POINT (-73.33654176 43.15582322)"
"WWR0001957","Cytec Solvay Group","Olean (T)","Cattaraugus","9","Industrial","Groundwater","2019","0.02","0.1","42.08512189","-78.44635819","POINT (-78.44635819 42.08512189)"
"WWR0002000","Rocking Horse Ranch","Plattekill (T)","Ulster","3","Commercial","Groundwater","2017","0.02","0.03","41.69244334","-74.0173144","POINT (-74.0173144 41.69244334)"
"WWR0001465","Springville Country Club","Concord (T)","Erie","9","Recreational - Golf Course","Groundwater; Surface Water","2018","0.04","0.25","42.48527575","-78.69223092","POINT (-78.69223092 42.48527575)"
"WWR0000207","Troy Sand & Gravel - Cammarota Pit","Schaghticoke (T)","Rensselaer","4","Mine Dewatering","Surface Water","2015","0.21","0.36","42.88718947","-73.66727026","POINT (-73.66727026 42.88718947)"
"WWR0000867","Klein's Kill Fruit Farms","Livingston (T)","Columbia","4","Agricultural","Groundwater; Surface Water","2015","0","0","42.15832033","-73.82653658","POINT (-73.82653658 42.15832033)"
"WWR0000060","Apawamis Club","Rye (C)","Westchester","3","Recreational - Golf Course","Surface Water","2015","0.07","0.3","40.98589328","-73.68959561","POINT (-73.68959561 40.98589328)"
"WWR0001431","Silver Lake Country Club","Castile (T)","Wyoming","9","Recreational - Golf Course","Surface Water","2020","0.07","0.58","42.70148352","-78.03257874","POINT (-78.03257874 42.70148352)"
"WWR0001694","Whitlock Farms Water Co.","Mount Hope (T)","Orange","3","Public Water Supply","Groundwater","2017",,,"41.48435108","-74.49713283","POINT (-74.49713283 41.48435108)"
"WWR0001896","Southern Dutchess Country Club","Beacon (C)","Dutchess","3","Recreational - Golf Course","Groundwater; Surface Water","2016","0.03","0.04","41.51288446","-73.97684642","POINT (-73.97684642 41.51288446)"
"WWR0001685","Wheelabrator Hudson Falls LLC","Kingsbury (T)","Washington","5","Industrial","Surface Water","2018","22.2","24.27","43.30554941","-73.59123915","POINT (-73.59123915 43.30554941)"
"WWR0000082","Avon, Vg","Livonia (T)","Livingston","8","Public Water Supply","Surface Water","2016","0.87","1.17","42.91085489","-77.74556605","POINT (-77.74556605 42.91085489)"
"WWR0000008","Adirondack Beverages","Glenville (T)","Schenectady","4","Bottled/Bulk Water","Groundwater; Surface Water","2021","0.55","0.8","42.83890352","-73.98315543","POINT (-73.98315543 42.83890352)"
"WWR0001108","NYCO Minerals","Lewis (T)","Essex","5","Mine Dewatering","Surface Water","2011","0.75","2.06","44.30163993","-73.61642227","POINT (-73.61642227 44.30163993)"
"WWR0001666","US ARMY - WEST POINT - Camp Buckner","Highlands (T)","Orange","3","Institutional","Surface Water","2018","0.06","0.26","41.35332323","-74.05095493","POINT (-74.05095493 41.35332323)"
"WWR0001635","Wappinger, Tn - Hilltop Wells","Wappinger (T)","Dutchess","3","Public Water Supply","Groundwater","2018","0.33","0.56","41.58884943","-73.90716574","POINT (-73.90716574 41.58884943)"
"WWR0000524","Fonda, Vg","Mohawk (T)","Montgomery","4","Public Water Supply","Surface Water","2010","0.51","0.67","42.93575739","-74.4491846","POINT (-74.4491846 42.93575739)"
"WWR0000576","Geneva, City","Fayette (T)","Seneca","8","Public Water Supply","Surface Water","2010","2.05","3.1","42.8677171","-76.98271061","POINT (-76.98271061 42.8677171)"
"WWR0000735","Highland Park Golf Course","Sennett (T)","Cayuga","7","Recreational - Golf Course","Surface Water","2017","0.06","0.16","42.94279708","-76.53595306","POINT (-76.53595306 42.94279708)"
"WWR0000558","Frontenac Crystal Springs","Clayton (T)","Jefferson","6","Bottled/Bulk Water","Surface Water","2017","0.01","0.02","44.20446179","-76.14251533","POINT (-76.14251533 44.20446179)"
"WWR0001544","Tilcon - Tomkins Cove Quarry","Stony Point (T)","Rockland","3","Mine Dewatering","Surface Water","2009","0.24","0.36","41.25253824","-73.9804898","POINT (-73.9804898 41.25253824)"
"WWR0001209","Philmont, Vg","Claverack (T)","Columbia","4","Public Water Supply","Groundwater","2015","0.18","0.25","42.24949332","-73.64852273","POINT (-73.64852273 42.24949332)"
"WWR0001328","Roscoe-Rockland Water District","Rockland (T)","Sullivan","3","Public Water Supply","Groundwater","2017","0.16","0.27","41.95770174","-74.90876524","POINT (-74.90876524 41.95770174)"
"WWR0001826","Unionville, Vg","Minisink (T)","Orange","3","Public Water Supply","Groundwater","2015","0.03",,"41.30193499","-74.5624067","POINT (-74.5624067 41.30193499)"
"WWR0000212","Campbell, Tn","Campbell (T)","Steuben","8","Public Water Supply","Groundwater","2011","0.02","0.07","42.23158115","-77.19379743","POINT (-77.19379743 42.23158115)"
"WWR0000803","Irondequoit Country Club","Pittsford (T)","Monroe","8","Recreational - Golf Course","Surface Water","2015","0.03","0.12","43.10705049","-77.52317825","POINT (-77.52317825 43.10705049)"
"WWR0000290","Clarksville Water District","New Scotland (T)","Albany","4","Public Water Supply","Groundwater","2011","0.03","0.08","42.63127573","-73.90789129","POINT (-73.90789129 42.63127573)"
"WWR0001400","Schuylerville, Vg","Saratoga (T)","Saratoga","5","Public Water Supply","Groundwater","2021","0.22","0.62","43.10421619","-73.58325656","POINT (-73.58325656 43.10421619)"
"WWR0000861","Kinsella - EZAcres","Homer (T)","Cortland","7","Mine Dewatering","Surface Water","2017","0","0","42.65877871","-76.21121358","POINT (-76.21121358 42.65877871)"
"WWR0000535","Fort Ann, Vg","Fort Ann (T)","Washington","5","Public Water Supply","Groundwater","2012","0.09",,"43.41490504","-73.48744546","POINT (-73.48744546 43.41490504)"
"WWR0000124","Bethlehem Water District #1","New Scotland (T)","Albany","4","Public Water Supply","Groundwater; Surface Water; Purchase","2015","5.41","8.07","42.62049134","-73.83962433","POINT (-73.83962433 42.62049134)"
