"county","year","population","index_count","index_rate","violent_count","violent_rate","property_count","property_rate","firearm_count","firearm_rate"
"Albany","2021","311537","7880","2529.4","1197","384.2","6683","2145.2","279","89.6"
"Allegany","2021","46443","385","829","91","195.9","294","633","8","17.2"
"Bronx","2021","1426273","38311","2686.1","14819","1039","23492","1647.1","2565","179.8"
"Broome","2021","193265","4647","2404.5","651","336.8","3996","2067.6","77","39.8"
"Cattaraugus","2021","75671","1061","1402.1","150","198.2","911","1203.9","27","35.7"
"Cayuga","2021","77627","1018","1311.4","158","203.5","860","1107.9","13","16.7"
"Chautauqua","2021","128462","2566","1997.5","365","284.1","2201","1713.3","60","46.7"
"Chemung","2021","84162","1334","1585","152","180.6","1182","1404.4","21","25"
"Chenango","2021","47589","609","1279.7","91","191.2","518","1088.5","3","6.3"
"Clinton","2021","81627","884","1083","106","129.9","778","953.1","5","6.1"
"Columbia","2021","60740","592","974.6","81","133.4","511","841.3","9","14.8"
"Cortland","2021","48194","752","1560.4","60","124.5","692","1435.9","5","10.4"
"Delaware","2021","44699","469","1049.2","68","152.1","401","897.1","5","11.2"
"Dutchess","2021","300499","3302","1098.8","543","180.7","2759","918.1","88","29.3"
"Erie","2021","940988","20441","2172.3","3481","369.9","16960","1802.4","1158","123.1"
"Essex","2021","36085","257","712.2","54","149.6","203","562.6","4","11.1"
"Franklin","2021","51101","576","1127.2","65","127.2","511","1000","1","2"
"Fulton","2021","53808","941","1748.8","147","273.2","794","1475.6","27","50.2"
"Genesee","2021","58063","861","1482.9","155","267","706","1215.9","12","20.7"
"Greene","2021","48211","592","1227.9","206","427.3","386","800.6","5","10.4"
"Hamilton","2021","4409","28","635.1","10","226.8","18","408.3","0","0"
"Herkimer","2021","62186","890","1431.2","133","213.9","757","1217.3","3","4.8"
"Jefferson","2021","110090","1844","1675","220","199.8","1624","1475.2","17","15.4"
"Kings","2021","2643508","50476","1909.4","15249","576.8","35227","1332.6","2365","89.5"
"Lewis","2021","26781","133","496.6","21","78.4","112","418.2","2","7.5"
"Livingston","2021","63744","530","831.5","46","72.2","484","759.3","3","4.7"
"Madison","2021","72021","910","1263.5","127","176.3","783","1087.2","7","9.7"
"Monroe","2021","759863","14726","1938","2312","304.3","12414","1633.7","1025","134.9"
"Montgomery","2021","50339","662","1315.1","59","117.2","603","1197.9","10","19.9"
"Nassau","2021","1387608","12535","903.4","1917","138.2","10618","765.2","261","18.8"
"New York","2021","1578342","53543","3392.4","11721","742.6","41822","2649.7","1356","85.9"
"Niagara","2021","213024","3573","1677.3","581","272.7","2992","1404.5","143","67.1"
"Oneida","2021","232534","4847","2084.4","649","279.1","4198","1805.3","120","51.6"
"Onondaga","2021","470355","9105","1935.8","1674","355.9","7431","1579.9","365","77.6"
"Ontario","2021","113163","1448","1279.6","169","149.3","1279","1130.2","15","13.3"
"Orange","2021","396521","4876","1229.7","763","192.4","4113","1037.3","142","35.8"
"Orleans","2021","40738","367","900.9","57","139.9","310","761","4","9.8"
"Oswego","2021","118804","1469","1236.5","176","148.1","1293","1088.3","10","8.4"
"Otsego","2021","59880","597","997","82","136.9","515","860.1","4","6.7"
"Putnam","2021","100991","466","461.4","49","48.5","417","412.9","4","4"
"Queens","2021","2333311","39330","1685.6","10262","439.8","29068","1245.8","1412","60.5"
"Rensselaer","2021","162109","2965","1829","465","286.8","2500","1542.2","127","78.3"
"Richmond","2021","493953","4845","980.9","1313","265.8","3532","715","172","34.8"
"Rockland","2021","336184","2292","681.8","329","97.9","1963","583.9","36","10.7"
"Saratoga","2021","237381","2492","1049.8","272","114.6","2220","935.2","20","8.4"
"Schenectady","2021","159464","3850","2414.3","527","330.5","3323","2083.9","103","64.6"
"Schoharie","2021","31790","289","909.1","37","116.4","252","792.7","1","3.1"
"Schuyler","2021","18081","50","276.5","10","55.3","40","221.2","1","5.5"
"Seneca","2021","34750","530","1525.2","65","187.1","465","1338.1","7","20.1"
"Steuben","2021","96697","818","845.9","163","168.6","655","677.4","4","4.1"
"St Lawrence","2021","109519","1154","1053.7","165","150.7","989","903","5","4.6"
"Suffolk","2021","1510715","17109","1132.5","1455","96.3","15654","1036.2","328","21.7"
"Sullivan","2021","77612","917","1181.5","131","168.8","786","1012.7","12","15.5"
"Tioga","2021","48847","420","859.8","57","116.7","363","743.1","3","6.1"
"Tompkins","2021","103627","1976","1906.8","177","170.8","1799","1736","22","21.2"
"Ulster","2021","181879","1700","934.7","238","130.9","1462","803.8","36","19.8"
"Warren","2021","65227","920","1410.5","66","101.2","854","1309.3","2","3.1"
"Washington","2021","61913","328","529.8","66","106.6","262","423.2","7","11.3"
"Wayne","2021","91230","1210","1326.3","186","203.9","1024","1122.4","17","18.6"
"Westchester","2021","992573","9216","928.5","1504","151.5","7712","777","218","22"
"Wyoming","2021","40232","261","648.7","52","129.3","209","519.5","0","0"
"Yates","2021","25366","182","717.5","34","134","148","583.5","1","3.9"
"Albany","2020","303723","7450","2452.9","1127","371.1","6323","2081.8","239","78.7"
"Allegany","2020","45491","402","883.7","73","160.5","329","723.2","9","19.8"
"Bronx","2020","1413534","36217","2562.2","13129","928.8","23088","1633.4","1802","127.5"
"Broome","2020","188206","5180","2752.3","660","350.7","4520","2401.6","92","48.9"
"Cattaraugus","2020","73437","875","1191.5","126","171.6","749","1019.9","12","16.3"
"Cayuga","2020","75732","1295","1710","213","281.3","1082","1428.7","9","11.9"
"Chautauqua","2020","125262","2936","2343.9","398","317.7","2538","2026.2","46","36.7"
"Chemung","2020","82347","1503","1825.2","172","208.9","1331","1616.3","20","24.3"
"Chenango","2020","46567","785","1685.7","113","242.7","672","1443.1","13","27.9"
"Clinton","2020","79798","1140","1428.6","129","161.7","1011","1266.9","8","10"
"Columbia","2020","58702","724","1233.3","93","158.4","631","1074.9","11","18.7"
"Cortland","2020","47095","862","1830.3","97","206","765","1624.4","11","23.4"
"Delaware","2020","42703","464","1086.6","68","159.2","396","927.3","8","18.7"
"Dutchess","2020","291964","3733","1278.6","578","198","3155","1080.6","95","32.5"
"Erie","2020","912816","21714","2378.8","3689","404.1","18025","1974.7","1195","130.9"
"Essex","2020","34881","312","894.5","60","172","252","722.5","7","20.1"
"Franklin","2020","49529","652","1316.4","79","159.5","573","1156.9","4","8.1"
"Fulton","2020","52698","958","1817.9","113","214.4","845","1603.5","7","13.3"
"Genesee","2020","56509","827","1463.5","103","182.3","724","1281.2","8","14.2"
"Greene","2020","46678","550","1178.3","192","411.3","358","767","6","12.9"
"Hamilton","2020","4342","46","1059.4","7","161.2","39","898.2","0","0"
"Herkimer","2020","60592","900","1485.3","106","174.9","794","1310.4","7","11.6"
"Jefferson","2020","108426","2055","1895.3","278","256.4","1777","1638.9","30","27.7"
"Kings","2020","2551468","50938","1996.4","14590","571.8","36348","1424.6","2336","91.6"
"Lewis","2020","26044","149","572.1","24","92.2","125","480","3","11.5"
"Livingston","2020","62263","566","909","51","81.9","515","827.1","2","3.2"
"Madison","2020","70220","953","1357.2","134","190.8","819","1166.3","8","11.4"
"Monroe","2020","736749","16088","2183.6","2281","309.6","13807","1874","805","109.3"
"Montgomery","2020","48790","766","1570","69","141.4","697","1428.6","9","18.4"
"Nassau","2020","1349999","12244","907","1826","135.3","10418","771.7","285","21.1"
"New York","2020","1623340","47676","2936.9","9264","570.7","38412","2366.2","898","55.3"
"Niagara","2020","207172","4766","2300.5","659","318.1","4107","1982.4","156","75.3"
"Oneida","2020","226556","4463","1969.9","558","246.3","3905","1723.6","135","59.6"
"Onondaga","2020","456836","9983","2185.2","1619","354.4","8364","1830.9","366","80.1"
"Ontario","2020","109258","1514","1385.7","168","153.8","1346","1231.9","10","9.2"
"Orange","2020","383786","4849","1263.5","670","174.6","4179","1088.9","104","27.1"
"Orleans","2020","39829","464","1165","64","160.7","400","1004.3","5","12.6"
"Oswego","2020","115839","1800","1553.9","195","168.3","1605","1385.5","17","14.7"
"Otsego","2020","58818","637","1083","75","127.5","562","955.5","3","5.1"
