"unique_case_id","electric_utility","county","region","climate_zone","kwh_category","therm_category","data_origin","survey_method","case_disposition","construction_type","dwelling_type","recruitment","survey_weight","utility_electric","electric_providers","homes_owned_in_county","purpose_of_home","home_electric_provider","familiarity_with_energy_star","natural_gas_inclusion","natural_gas_provider","natural_gas_available_in_street","interest_in_natural_gas_conversion","fuel_oil_inclusion","propane_inclusion","efficiency_program_participation_in_past_five_years","past_insulation_or_weatherization","past_heating","past_air_conditioning","past_lighting","past_water_heating","past_clothes_washer","past_appliances","past_refrigeration","past_other_equipment","non_participation_awareness","non_participation_not_needed","non_participation_initiation","non_participation_high_cost","non_participation_low_bills","non_participation_rent","non_particpation_other","non_participation_too_busy","non_participation_new_residence","future_insulation_or_weatherization","future_heating","future_air_conditioning","future_water_heating","future_clothes_washer","future_appliances","future_none","desired_insulation_or_weatherization","desired_heating","desired_air_conditioning","desired_water_heating","desired_clothes_washer","desired_appliances","desired_none","annual_electricity_cost","electricity_consumption_rate","number_of_people_age_5","number_of_people_age_6_17","number_of_people_age_18_24","number_of_people_age_25_34","number_of_people_age_35_44","number_of_people_age_45_54","number_of_people_age_55_64","number_of_people_age_65","highest_education_level","household_income_2012","gender","ownership","months_of_occupation","season_of_occupation_spring","season_of_occupation_summer","season_of_occupation_fall","season_of_occupation_winter","season_of_occupation_varies","home_description","number_of_housing_units","estimated_number_of_housing_units","number_of_stories","other_space","multiple_buildings_with_housing","number_of_buildings","number_of_bedrooms","square_feet_of_home","approximate_square_feet_of_home","basement_heating","year_of_home","major_renovations","renovation_completion_date","multiple_electric_meters","number_of_microwave_ovens","number_of_ovens_with_burners","number_of_separate_stove_tops","number_of_separate_oven_units","fuel_for_ovens_with_burners_electric","fuel_for_ovens_with_burners_natural_gas","fuel_for_ovens_with_burners_propane","fuel_for_ovens_with_burners_other","fuel_for_separate_stove_tops_electric","fuel_for_separate_stove_tops_natural_gas","fuel_for_separate_stove_tops_propane","fuel_for_separate_stove_tops_other","fuel_for_separate_oven_units_electricity","fuel_for_separate_oven_units_natural_gas","fuel_for_separate_oven_units_propane","fuel_for_separate_oven_units_other","fridge_description","automatic_ice_maker","water_dispenser","age_of_fridge","energy_star_fridge","other_running_fridges","number_of_other_running_fridges","number_of_compact_fridges","age_of_second_fridge","age_of_third_fridge","age_of_fourth_fridge","number_of_running_chillers_coolers","energy_star_chiller_cooler","energy_star_chillers_coolers","running_standalone_freezer","number_of_running_standalone_freezers","type_of_first_standalone_freezer","age_of_first_standalone_freezer","type_of_second_standalone_freezer","age_of_second_standalone_freezer","type_of_third_standalone_freezer","age_of_third_standalone_freezer","energy_star_standalone_freezer","energy_star_standalone_freezers","shared_central_heating","primary_fuel_type","primary_heating_system_type","age_of_primary_heating_system","energy_star_primary_heating_system","annual_tune_up_heating_system","number_of_wood_fireplaces_in_winter","number_of_natural_gas_fireplaces_in_winter","number_of_propane_fireplaces_in_winter","number_of_electric_fireplaces_in_winter","number_of_heat_stoves_in_winter","number_of_portable_electric_heaters_in_winter","number_of_portable_kerosene_heaters_in_winter","other_fuel_type","other_fuel_type_electricity","other_fuel_type_natural_gas","other_fuel_type_propane","other_fuel_type_district_steam","other_fuel_type_fuel_oil","other_fuel_type_kerosene","other_fuel_type_wood_pellets","other_fuel_type_solar","other_fuel_type_other","air_conditioning_in_home","shared_air_conditioning","primary_air_conditioning_type","age_of_primary_air_conditioning","energy_star_air_conditioning","annual_tune_up_air_conditioning","other_air_conditioning","other_air_conditioning_type_central_air","other_air_conditioning_type_room_window_unit","other_air_conditioning_type_heat_pump","other_air_conditioning_type_other","number_of_room_window_units","programmable_thermostat","programmed_thermostat","number_of_dehumidifiers","age_of_first_dehumidifier","age_of_second_dehumidifier","age_of_third_dehumidifier","age_of_fourth_dehumidifier","energy_star_dehumidifier","energy_star_dehumidifers","number_of_humidifiers","number_of_ceiling_fans","number_of_exhaust_fans_in_kitchen","number_of_exhaust_fans_in_other_rooms","number_of_attic_fans","number_of_whole_house_fans"
"WN34312","NYSEG","Erie","Western New York","Climate zone 5","12,001 to 20,000 kWh",,"Utility data","Web complete","Web complete","Existing Construction - built prior to 2012","Single family","Recruited","1835.55","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Very familiar","Programmed Skip","National Fuel Gas Distribution Corporation","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","1","2","0","1","1","0","0","0","College degree (e.g. Bachelor's degree)","$50,000 to less than $75,000","Female","Own/buying","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Single-family detached house","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","3","1400","Programmed Skip","Yes, a heated basement","1950 to 1959","Yes","2010","No","1","1","0","0","Not mentioned","Mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with one door","Yes","Yes","2 to 4 years old","Yes","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","Yes","1","Chest","Dont know","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Programmed Skip","Natural gas from underground pipes","Central forced air furnace with ducts to individual rooms","15 to 19 years old","Programmed Skip","Yes, done by a heating contractor","Refused","Refused","Refused","Refused","0","2","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Central air conditioning system","Less than 2 years old","Yes","Yes, done by an air conditioning contractor","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed to change temperature automatically","1","2 to 4 years old","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","0","1","1","1","0","0"
"WN37259","National Grid","Erie","Western New York","Climate zone 5","6,001 to 12,000 kWh",,"Utility data","Web complete","Web complete","Existing Construction - built prior to 2012","Single family","Recruited","1835.55","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Not at all familiar","Programmed Skip","National Fuel Resources, Inc","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","0","1","2","0","0","1","1","0","Some college, no degree","$50,000 to less than $75,000","Female","Occupied without payment of rent (e.g. Living with someone w","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Single-family detached house","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","5","1650","Programmed Skip","Yes, a heated basement","1939 or earlier","No","Programmed Skip","No","1","1","0","0","Mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with two doors, top freezer","No","No","2 to 4 years old","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","Yes","1","Chest","3","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Natural gas from underground pipes","Central forced air furnace with ducts to individual rooms","5 to 9 years old","Programmed Skip","No","0","0","0","0","0","0","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Room or window air conditioner","10 to 14 years old","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","1","No","Programmed Skip","0","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","1","2","0","0","0"
"NY44801","ConEd","Queens","New York City","Climate zone 4","6,001 to 12,000 kWh",,"Utility data","Phone complete","Phone complete","Existing Construction - built prior to 2012","Single family","Not recruited","4612.94","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Somewhat familiar","Programmed Skip","National Grid","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Programmed Skip","Programmed Skip","0","0","0","0","0","0","0","2","High school graduate or equivalent (e.g., GED)","Refused","Female","Own/buying","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Single-family attached house","2","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","2","1250","Programmed Skip","Yes, an unheated basement","1940 to 1949","Yes","2013","Programmed Skip","1","1","0","0","Not mentioned","Mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with two doors, freezer next to the refrigerator (","Yes","Yes","10 to 14 years old","Programmed Skip","Yes","1","Refused","5 to 9 years old","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Fuel oil","Central forced air furnace with ducts to individual rooms","20 years old or more","Programmed Skip","Yes, done by a heating contractor","0","0","0","0","0","0","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Room or window air conditioner","2 to 4 years old","Yes","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","2","Yes","Programmed to change temperature automatically","0","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","4","1","1","0","0"
"CN26865","National Grid","Oswego","Central New York","Climate zone 5","12,001 to 20,000 kWh",,"Utility data","Phone complete","Phone complete","Existing Construction - built prior to 2012","Single family","Recruited","1835.55","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Somewhat familiar","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Mentioned","Not mentioned","Programmed Skip","Programmed Skip","0","1","0","0","0","1","1","0","High school graduate or equivalent (e.g., GED)","$50,000 to less than $75,000","Male","Own/buying","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Single-family detached house","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","3","1400","Programmed Skip","Yes, an unheated basement","1990 to 1999","No","Programmed Skip","No","1","0","1","1","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Full-size with two doors, top freezer","No","No","15 to 19 years old","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","Yes","1","Chest","1","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Programmed Skip","Propane (bottled gas)","Central forced air furnace with ducts to individual rooms","15 to 19 years old","Programmed Skip","No","0","0","0","0","0","2","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Room or window air conditioner","2 to 4 years old","Yes","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","2","Yes","Both","0","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","1","1","2","0","0"
"MV42281","National Grid","Fulton","Mohawk Valley","Climate zone 6","6,001 to 12,000 kWh","1,200 to 1,500 therms annually","Utility data","Web complete","Web complete","Existing Construction - built prior to 2012","Single family","Recruited","911.98","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Very familiar","Programmed Skip","National Grid","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","0","1","1","0","1","1","0","0","Trade or technical school (e.g. Associate's degree)","$50,000 to less than $75,000","Female","Own/buying","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Single-family detached house","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","3","Dont know","1,000 to less than 1,500 square feet","Yes, an unheated basement","1939 or earlier","No","Programmed Skip","No","1","1","0","0","Not mentioned","Mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with two doors, freezer next to the refrigerator (","Yes","Yes","10 to 14 years old","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","Yes","1","Upright","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Natural gas from underground pipes","Refused","20 years old or more","Programmed Skip","No","0","0","0","0","0","0","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Room or window air conditioner","2 to 4 years old","Yes","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","3","Yes","Both","0","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","1","1","0","1","0","0"
"NY14171","ConEd","Bronx","New York City","Climate zone 4","501 to 2,500 kWh","300 or more therms annually","Utility data","Web complete","Web complete","Existing Construction - built prior to 2012","Single family","Not recruited","4612.94","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Very familiar","Programmed Skip","Programmed Skip","Dont know","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Programmed Skip","Programmed Skip","0","0","3","0","0","0","0","0","Some college, no degree","Less than $25,000","Female","Rent","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Apartment building or condominium with 2 to 4 units","3","Programmed Skip","4","No","No","Programmed Skip","3","Dont know","Dont know","Programmed Skip","Dont know","No","Programmed Skip","Programmed Skip","1","1","0","0","Mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with two doors, top freezer","No","No","Dont know","Dont know","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","0","0","0","0","0","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","0","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","0","0","1","0","0"
"ST37757","NYSEG","Tompkins","Southern Tier","Climate zone 6","6,001 to 12,000 kWh",,"Utility data","Web complete","Web complete","Existing Construction - built prior to 2012","Tenant","Programmed Skip","2011.14","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Somewhat familiar","Programmed Skip","Programmed Skip","Dont know","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Programmed Skip","Programmed Skip","0","0","0","2","0","0","0","0","College degree (e.g. Bachelor's degree)","Less than $25,000","Female","Rent","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Apartment building or condominium with 5 or more units","6","Programmed Skip","2","No","Yes","2","2","Dont know","Less than 1,000 square feet","Programmed Skip","Dont know","No","Programmed Skip","Programmed Skip","0","1","0","0","Mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with two doors, top freezer","No","No","5 to 9 years old","No","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","0","Programming change","0","0","1","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","No","Room or window air conditioner","5 to 9 years old","No","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","1","No","Programmed Skip","2","Dont know","Dont know","Programmed Skip","Programmed Skip","Programmed Skip","Dont know","0","0","0","1","0","0"
"LI19682","LIPA","Suffolk","Long Island","Climate zone 4","500 kWh or less",,"Utility data","Web complete","Web complete","New Construction - built 2012 or later","Tenant","Programmed Skip","4716.5","No, utility does not provide my electric service at that add","PSE&G-LI","Programmed Skip","Programmed Skip","Programmed Skip","Very familiar","Pay directly to natural gas company","National Grid","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Programmed Skip","Programmed Skip","0","0","0","1","0","0","0","0","College degree (e.g. Bachelor's degree)","$50,000 to less than $75,000","Male","Own/buying","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Apartment building or condominium with 5 or more units","12","Programmed Skip","3","No","Yes","18","2","1159","Programmed Skip","Programmed Skip","2013","No","Programmed Skip","Programmed Skip","1","1","0","0","Not mentioned","Mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with two doors, bottom freezer","Yes","No","Less than 2 years old","Yes","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Natural gas from underground pipes","Central forced air furnace with ducts to individual rooms","Less than 2 years old","Yes","Yes, done by a heating contractor","0","0","0","0","0","0","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","No","Central air conditioning system","Less than 2 years old","Yes","Yes, done by an air conditioning contractor","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed to change temperature automatically","0","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","1","0","0","2","0","0"
"MH55690","NYSEG","Westchester","Mid-Hudson","Climate zone 4","12,001 to 20,000 kWh",,"Utility data","Web complete","Web complete","Existing Construction - built prior to 2012","Single family","Not recruited","4612.94","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Very familiar","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","1","1","0","0","2","0","0","0","College degree (e.g. Bachelor's degree)","Refused","Male","Own/buying","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Single-family detached house","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","4","3700","Programmed Skip","Yes, a heated basement","1980 to 1989","No","Programmed Skip","No","1","1","1","0","Mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full size, two refrigerator doors and a freezer door on bott","No","No","2 to 4 years old","Yes","Yes","1","0","Less than 2 years old","Programmed Skip","Programmed Skip","1","Dont know","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Fuel oil","Baseboard heat","20 years old or more","Programmed Skip","Yes, done by a heating contractor","1","0","0","0","Refused","Refused","Refused","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Yes","Programmed Skip","Central air conditioning system","20 years old or more","Programmed Skip","Yes, done by an air conditioning contractor","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed to change temperature automatically","1","5 to 9 years old","Programmed Skip","Programmed Skip","Programmed Skip","Dont know","Programmed Skip","Refused","1","1","2","0","0"
"MH40077","Central Hudson","Orange","Mid-Hudson","Climate zone 5","6,001 to 12,000 kWh",,"Utility data","Phone complete","Phone complete","Existing Construction - built prior to 2012","Single family","Not recruited","1835.55","Yes","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Somewhat familiar","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","0","0","0","1","0","0","0","1","Some graduate school","$30,000 to less than $35,000","Female","Own/buying","12","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Single-family detached house","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","3","1360","Programmed Skip","Yes, a heated basement","1950 to 1959","No","Programmed Skip","No","1","1","0","0","Mentioned","Not mentioned","Not mentioned","Not mentioned","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Full-size with two doors, top freezer","Yes","No","5 to 9 years old","No","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","0","Programmed Skip","Programmed Skip","Yes","1","Upright","6","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","Programmed Skip","Fuel oil","Central forced air furnace with ducts to individual rooms","5 to 9 years old","No","Yes, done by a heating contractor","0","0","0","0","0","1","0","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","Yes","Programmed Skip","Room or window air conditioner","2 to 4 years old","No","Programmed Skip","No","Programmed Skip","Programmed Skip","Programmed Skip","Programmed Skip","2","No","Programmed Skip","1","5 to 9 years old","Programmed Skip","Programmed Skip","Programmed Skip","No","Programmed Skip","0","0","1","1","0","0"
