API Well Number,County Code,API Hole Number,Sidetrack,Completion,Well Name,Company Name,Operator Number,Well Type,Map Symbol,Well Status ,Status Date,Permit Application Date,Permit Issued Date,Date Spudded,Date of Total Depth,Date Well Completed,Date Well Plugged,Date Well Confidentiality Ends,Confidentiality Code,Town,Quad,Quad Section,Producing Field,Producing Formation,Financial Security,Slant,County,Region,State Lease,"Proposed Depth, ft",Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,"True Vertical Depth, ft","Measured Depth, ft","Kickoff, ft","Drilled Depth, ft","Elevation, ft",Original Well Type,Permit Fee,Objective Formation,Depth Fee,Spacing,Spacing Acres,Integration,Hearing Date,Date Last Modified,DEC Database Link,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
31003044860000,3,4486,0,0,Voided Permit,,9998,NL,O,VP,,,,,,,,,Pre-1989 Well (N/A),,,A,,,False,Vertical,Statewide,9,NA,0,,,,,0,0,0,0,,NL,0,,0,,,,,02/01/2017,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003044860000,,,,
31003045950000,3,4595,0,0,Old #2 Lot 79 Bradley-Thornton,Bradley Producing Company,9673,NL,O,VP,,,,,,,,,Pre-1989 Well (N/A),Alma,,,,,False,Vertical,Allegany,9,NA,,,,,,0,0,0,0,,NL,0,,0,,,,,05/01/2014,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003045950000,,,,
31003049770000,3,4977,0,0,O Donnell 2098,Iroquois Gas Corp.,16,GD,GWP,PA,,,,,,,,,Pre-1989 Well (N/A),Alma,"Oswayo, PA-NY",C,Sharon,,False,Vertical,Allegany,9,NA,0,-78.008570000000006,41.9998,-78.008570000000006,41.9998,0,0,0,0,2160,NL,0,,0,,,,,01/29/1999,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003049770000,"(41.9998, -78.00857)",472,923,2031
31003052120000,3,5212,0,0,Voided Permit,,9998,NL,O,VP,,,,,,,,,Pre-1989 Well (N/A),,,A,,,False,Vertical,Statewide,9,NA,0,,,,,0,0,0,0,,NL,0,,0,,,,,10/28/1994,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003052120000,,,,
31003066880000,3,6688,0,0,Stoup 4b,Albert Oil Co.,30,OD,OWP,PA,12/09/1968,,,,,,12/09/1968,,Pre-1989 Well (N/A),Alma,Allentown,F,Richburg,Richburg,False,Vertical,Allegany,9,NA,0,-78.029129999999995,42.08061,-78.029129999999995,42.08061,0,0,0,0,,NL,0,,0,,,,,09/16/1999,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003066880000,"(42.08061, -78.02913)",472,923,2031
31003071090000,3,7109,0,0,Allen 129,Bradley Producing Corp.,101,OD,OWP,PA,06/20/1969,,,,,,06/20/1969,,Pre-1989 Well (N/A),Alma,Allentown,E,Richburg,Richburg,False,Vertical,Allegany,9,NA,0,-78.060209999999998,42.080269999999999,-78.060209999999998,42.080269999999999,1239,1239,0,1239,2050,NL,0,,0,,,,,12/17/1998,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003071090000,"(42.08027, -78.06021)",472,1689,2031
31003071480000,3,7148,0,0,Brookins 71,Albert Oil Co.,30,IW,OP,PA,09/19/1969,,,,,,09/19/1969,,Pre-1989 Well (N/A),Alma,Allentown,E,Richburg,Richburg,False,Vertical,Allegany,9,NA,0,-78.072310000000002,42.083019999999998,-78.072310000000002,42.083019999999998,1222,1222,0,1222,,NL,0,,0,,,,,12/17/1998,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003071480000,"(42.08302, -78.07231)",472,1689,2031
31003075020000,3,7502,0,0,Amity 2,Middaugh Vincent,145,NL,O,UN,,,,,,,,,Pre-1989 Well (N/A),Amity,,A,,,False,Vertical,Allegany,9,NA,0,,,,,0,0,0,0,1990,OD,0,,0,,,,,05/04/2022,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003075020000,,,,
31003077610000,3,7761,0,0,Swarthout 2,Ebenezer Oil Co. Inc.,24,NL,OP,PA,,,,,,,,,Pre-1989 Well (N/A),Scio,,,,,True,Vertical,Allegany,9,NA,0,,,,,0,0,0,0,,NL,0,,0,,,,,07/25/1994,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003077610000,,,,
31003078480000,3,7848,0,0,Cady Farm,Jennings Earl,206,NL,O,EX,01/28/1971,,,,,,,,Pre-1989 Well (N/A),Wirt,,,,,True,Vertical,Allegany,9,NA,0,,,,,0,0,0,0,,NL,0,,0,,,,,08/12/2016,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003078480000,,,,
