"effective_date","season","service_type","company","customer_type","customer_details","demand","load_factor","usage","units_of_usage","total_bill"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","RESIDENTIAL","-","-","-","0","KWH","22.45"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","250","0","50.45"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","500","0","78.45"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","750","0","106.45"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","1500","0","190.46"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","3000","0","358.47"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","5000","0","582.49"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","0","0","17.66"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","250","0","75.85"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","500","0","137.33"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","750","0","198.80"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","1500","0","383.22"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","3000","0","752.05"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","5000","0","1243.83"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","0","0","16.33"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","250","0","39.94"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","500","0","63.55"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","750","0","87.16"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","1500","0","158.00"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","3000","0","299.67"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","5000","0","488.56"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","0","0","17.06"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","250","0","47.88"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","500","0","78.70"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","750","0","109.52"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","1500","0","201.98"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","3000","0","386.90"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","5000","0","633.46"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","0","0","17.01"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","250","0","62.71"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","500","0","111.11"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","750","0","154.15"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","1500","0","293.98"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","3000","0","584.35"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","5000","0","971.52"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","0","0","23.51"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","250","0","47.40"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","500","0","71.29"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","750","0","95.18"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","1500","0","166.86"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","3000","0","310.22"
"01-Jul-11","SUMMER 2011","ELECTRIC","0","0","-","-","-","5000","0","501.37"
"01-Jul-11","SUMMER 2011","ELECTRIC","CENTRAL HUDSON GAS & ELECTRIC CORPORATION","COMMERICAL","SC 2 - Non-Dem.","10 KW","20%","1440","KWH","133.78"
