Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
John Boyd Thacher,State Park,11,Albany,N,Y,Y,Y-A,N,https://parks.ny.gov/parks/128/details.aspx,,https://parks.ny.gov/environment/nature-centers/8/details.aspx,-74.01470616,42.65546552,"(42.65546552, -74.01470616)",830,1142,2030
Schodack Island,State Park,11,Alb/Rens,N,Y,Y,,N,https://parks.ny.gov/parks/146/details.aspx,,,-73.77652044,42.49059902,"(42.49059902, -73.77652044)",112,1403,2138
Roberto Clemente,State Park,12,Bronx,N,N,Y,,N,https://parks.ny.gov/parks/140/details.aspx,,,-73.92004274,40.85536367,"(40.85536367, -73.92004274)",307,649,2095
Chenango Valley,State Park,5,Broome,Y,Y,Y,,Y,https://parks.ny.gov/parks/41/details.aspx,https://parks.ny.gov/golf/20/details.aspx,,-75.83623684,42.21554025,"(42.21554025, -75.83623684)",945,378,2033
Oquaga Creek,State Park,5,Broome/Delaware,N,Y,Y,,Y,https://parks.ny.gov/parks/27/details.aspx,,,-75.42467935,42.17805145,"(42.17805145, -75.42467935)",940,1625,2033
Allegany,State Park,2,Cattaraugus,N,Y,Y,Y-A,Y-M,https://parks.ny.gov/parks/136/details.aspx,,https://parks.ny.gov/environment/nature-centers/12/details.aspx,-78.76855865,42.05475752,"(42.05475752, -78.76855865)",341,1741,2034
Fair Haven Beach,State Park,4,Cayuga,Y,Y,Y,,Y-M,https://parks.ny.gov/parks/12/details.aspx,https://parks.ny.gov/golf/9/details.aspx,,-76.69131068,43.34170812,"(43.34170812, -76.69131068)",68,693,618
Fillmore Glen,State Park,4,Cayuga,N,Y,Y,,Y,https://parks.ny.gov/parks/157/details.aspx,,,-76.38800625,42.69096898,"(42.69096898, -76.38800625)",78,662,618
Long Point,State Park,4,Cayuga,N,Y,Y,,Y,https://parks.ny.gov/parks/170/details.aspx,,,-76.69840928,42.71741104,"(42.71741104, -76.69840928)",79,345,618
Lake Erie,State Park,2,Chautauqua,N,Y,Y,,Y,https://parks.ny.gov/parks/129/details.aspx,,,-79.43141787,42.42289079,"(42.42289079, -79.43141787)",203,1697,2035
Long Point,State Park,2,Chautauqua,N,N,Y,,Y,https://parks.ny.gov/parks/109/details.aspx,,,-79.4109114,42.17876065,"(42.17876065, -79.4109114)",215,1694,2035
Newtown Battlefield,State Park,4,Chemung,N,Y,Y,,N,https://parks.ny.gov/parks/107/details.aspx,,,-76.73631727,42.04902652,"(42.04902652, -76.73631727)",480,926,2036
Bowman Lake,State Park,5,Chenango,N,Y,Y,,Y,https://parks.ny.gov/parks/76/details.aspx,,,-75.6806338,42.51998474,"(42.51998474, -75.6806338)",267,451,2037
Cumberland Bay,State Park,10,Clinton,N,Y,Y,,Y,https://parks.ny.gov/parks/34/details.aspx,,,-73.42117996,44.73334654,"(44.73334654, -73.42117996)",3,202,2038
Macomb Reservation,State Park,10,Clinton,N,Y,Y,,Y,https://parks.ny.gov/parks/77/details.aspx,,,-73.61240776,44.61786492,"(44.61786492, -73.61240776)",5,304,2038
Point Au Roche,State Park,10,Clinton,N,N,Y,Y,Y,https://parks.ny.gov/parks/30/details.aspx,,,-73.38769347,44.77840043,"(44.77840043, -73.38769347)",13,202,2038
Lake Taghkanic,State Park,7,Columbia,N,Y,Y,,Y-M,https://parks.ny.gov/parks/38/details.aspx,,,-73.70588782,42.09288182,"(42.09288182, -73.70588782)",520,946,619
James Baird,State Park,7,Dutchess,Y,N,Y,,N,https://parks.ny.gov/parks/101/details.aspx,https://parks.ny.gov/golf/1/details.aspx,,-73.79543181,41.6880051,"(41.6880051, -73.79543181)",594,1003,2040
