Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
ALBANY FIRE DEPARTMENT,01001,26 BROAD STREET,ALBANY,NY,12202-0000,01,Albany,5184477879,42.662577,-73.759898,"(42.662577, -73.759898)",2030,43,811
ALTAMONT FIRE DEPARTMENT,01002,115 MAIN STREET PO BOX 642,ALTAMONT,NY,12009,01,Albany,5188618171,42.702865,-74.02531,"(42.702865, -74.02531)",2030,1142,806
BERNE FIRE DEPARTMENT,01003,CANADAY ROAD,BERNE,NY,12023,01,Albany,5188720470,42.612842,-74.070082,"(42.612842, -74.070082)",2030,1184,810
BOGHT COMMUNITY FIRE DEPARTMENT,01004,1095 LOUDON ROAD,COHOES,NY,12047,01,Albany,5187850339,42.783571,-73.743969,"(42.783571, -73.743969)",2030,1176,808
COEYMANS FIRE DEPARTMENT,01005,67 CHURCH STREET,COEYMANS,NY,12045,01,Albany,5187562027,42.474106,-73.798832,"(42.474106, -73.798832)",2030,1174,837
COEYMANS HOLLOW FIRE DEPARTMENT,01006,1290 ROUTE 143,COEYMANS HOLLOW,NY,12046,01,Albany,5187566310,42.48034,-73.92286,"(42.48034, -73.92286)",2030,1175,837
COHOES FIRE DEPARTMENT,01007,97 MOHAWK STREET,COHOES,NY,12047,01,Albany,5182372125,42.774511,-73.700005,"(42.774511, -73.700005)",2030,1176,816
COLONIE FIRE DEPARTMENT,01008,1631 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5188699306,42.719292,-73.834697,"(42.719292, -73.834697)",2030,42,808
DELMAR FIRE DEPARTMENT,01009,145 ADAMS STREET,DELMAR,NY,12054,01,Albany,5184757310,42.621806,-73.83503,"(42.621806, -73.83503)",2030,1180,838
ELSMERE FIRE DEPARTMENT,01010,15 WEST POPLAR DRIVE,DELMAR,NY,12054,01,Albany,5184399144,42.624501,-73.819623,"(42.624501, -73.819623)",2030,1180,838
FORT HUNTER FIRE DEPARTMENT,01011,3525 CARMAN ROAD,SCHENECTADY,NY,12303,01,Albany,5183552434,42.7403,-73.942101,"(42.7403, -73.942101)",2030,72,806
FULLER ROAD FIRE DEPARTMENT,01012,1342 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5184894421,42.702595,-73.815808,"(42.702595, -73.815808)",2030,42,808
GREEN ISLAND FIRE DEPARTMENT,01013,7  CLINTON STREET,GREEN ISLAND,NY,12183,01,Albany,5182731041,42.742022,-73.692784,"(42.742022, -73.692784)",2030,13,807
GUILDERLAND FIRE DEPARTMENT,01014,2303 WESTERN AVE,GUILDERLAND,NY,12084,01,Albany,5184565000,42.703916,-73.91061,"(42.703916, -73.91061)",2030,1229,806
GUILDERLAND CENTER FIRE DEPT,01015,30 SCHOOL ROAD,GUILDERLAND CENTER,NY,12085,01,Albany,5188618871,42.701834,-73.966158,"(42.701834, -73.966158)",2030,1142,806
KNOX FIRE DEPARTMENT,01016,2198 BERNE ALTAMONT ROAD,KNOX,NY,12107,01,Albany,5188720368,42.668944,-74.119396,"(42.668944, -74.119396)",2030,1142,836
LATHAM FIRE DEPARTMENT,01017,226 OLD LOUDON ROAD,LATHAM,NY,12110,01,Albany,5187855060,42.748925,-73.758425,"(42.748925, -73.758425)",2030,1288,808
MEDUSA FIRE DEPARTMENT,01018,458 CR 351,MEDUSA,NY,12120,01,Albany,5182396006,42.436845,-74.12705,"(42.436845, -74.12705)",2030,1293,834
MAPLEWOOD FIRE DEPARTMENT,01019,61 COHOES ROAD,WATERVLIET,NY,12189,01,Albany,5182731200,42.746005,-73.700941,"(42.746005, -73.700941)",2030,19,808
MC KOWNVILLE FIRE DEPARTMENT,01020,1250 WESTERN AVENUE,ALBANY,NY,12203,01,Albany,5184894340,42.67876,-73.830528,"(42.67876, -73.830528)",2030,40,806
MENANDS FIRE DEPARTMENT,01021,250 BROADWAY,MENANDS,NY,12204,01,Albany,5184639494,42.68282,-73.73486,"(42.68282, -73.73486)",2030,41,808
MIDWAY FIRE DEPARTMENT,01022,1956 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5184561993,42.739023,-73.857362,"(42.739023, -73.857362)",2030,42,808
NEW SALEM FIRE DEPARTMENT,01023,694 NEW SALEM ROAD,VOORHEESVILLE,NY,12186,01,Albany,5187652244,42.625059,-73.968935,"(42.625059, -73.968935)",2030,16,835
NORTH BETHLEHEM FIRE DEPARTMENT,01024,589 RUSSELL ROAD,ALBANY,NY,12203,01,Albany,5184896556,42.664105,-73.84205,"(42.664105, -73.84205)",2030,1406,838
ONESQUETHAW FIRE DEPARTMENT,01025,2178 TARRYTOWN RD PO BOX E,CLARKSVILLE,NY,12041,01,Albany,5184682823,42.57541,-73.96359,"(42.57541, -73.96359)",2030,1171,835
RAVENA FIRE DEPARTMENT,01026,116 MAIN STREET PO BOX 207,RAVENA,NY,12143,01,Albany,5187562089,42.471694,-73.810532,"(42.471694, -73.810532)",2030,1308,837
RENSSELAERVILLE FIRE DEPARTMENT,01027,21 RICE RD PO BOX 134,RENSSELAERVILLE,NY,12147,01,Albany,5187975269,42.518434,-74.138762,"(42.518434, -74.138762)",2030,1310,834
SCHUYLER HEIGHTS FIRE DEPT,01028,900 FIRST STREET,WATERVLIET,NY,12189,01,Albany,5182717851,42.710658,-73.720103,"(42.710658, -73.720103)",2030,19,808
SELKIRK FIRE DEPARTMENT,01029,126 MAPLE AVENUE,SELKIRK,NY,12158,01,Albany,5184360534,42.53155,-73.795146,"(42.53155, -73.795146)",2030,1405,838
SHAKER RD-LOUDONVILLE FIRE DEPT,01030,550 ALBANY-SHAKER ROAD,LOUDONVILLE,NY,12211,01,Albany,5184581499,42.715127,-73.784522,"(42.715127, -73.784522)",2030,42,808
SLINGERLANDS FIRE DEPARTMENT,01031,PO BOX 99,SLINGERLANDS,NY,12159,01,Albany,5184394734,42.62985,-73.862168,"(42.62985, -73.862168)",2030,1406,838
STANFORD HEIGHTS FIRE DEPARTMENT,01032,2240 CENTRAL AVENUE,SCHENECTADY,NY,12304,01,Albany,5183467948,42.764326,-73.8861,"(42.764326, -73.8861)",2030,73,808
TRI-VILLAGE FIRE DEPARTMENT,01033,3096 CO RTE 145 PO BOX 575,PRESTON HOLLOW,NY,12469,01,Albany,5182396780,42.446314,-74.209669,"(42.446314, -74.209669)",2030,261,834
VERDOY FIRE DEPARTMENT,01034,988 TROY SCHENECTADY ROAD,LATHAM,NY,12110,01,Albany,5187857291,42.763506,-73.800801,"(42.763506, -73.800801)",2030,1288,808
VOORHEESVILLE FIRE DEPARTMENT,01035,12 ALTAMONT RD PO BOX 525,VOORHEESVILLE,NY,12186,01,Albany,5187654048,42.650819,-73.937756,"(42.650819, -73.937756)",2030,16,835
WATERVLIET FIRE DEPARTMENT,01036,FIRE HEADQRTRS 116 13TH ST,WATERVLIET,NY,12189,01,Albany,5182703826,42.723228,-73.702914,"(42.723228, -73.702914)",2030,19,802
WEST ALBANY FIRE DEPARTMENT,01038,113 SAND CREEK ROAD,ALBANY,NY,12205,01,Albany,5184216624,42.692166,-73.785673,"(42.692166, -73.785673)",2030,42,808
WESTERLO FIRE DEPARTMENT,01039,591 ST RTE 143 PO BOX 87,WESTERLO,NY,12193,01,Albany,5187973321,42.51526,-74.046139,"(42.51526, -74.046139)",2030,22,830
WESTMERE FIRE DEPARTMENT,01040,1732 WESTERN AVENUE,ALBANY,NY,12203,01,Albany,5184566734,42.688816,-73.861582,"(42.688816, -73.861582)",2030,40,806
A E  CRANDALL HOOK AND LADDER CO,02001,8 S MAIN ST BOX 582,ALFRED,NY,14802,02,Allegany,6075878880,42.254065,-77.790323,"(42.254065, -77.790323)",2031,1749,477
ALFRED STATION FIRE DEPARTMENT,02002,623 STATE RTE 244 BOX 282,ALFRED STATION,NY,14803,02,Allegany,6075879201,42.268636,-77.75986,"(42.268636, -77.75986)",2031,1750,477
ALLENTOWN FIRE DEPARTMENT,02003,1966 CHURCH ST PO BOX 82,ALLENTOWN,NY,14707,02,Allegany,5855934020,42.12375,-77.94883,"(42.12375, -77.94883)",2031,923,396
ALMA FIRE DEPARTMENT,02004,5778 CNTY ROUTE 18 BOX 49,ALMA,NY,14708,02,Allegany,5855930044,42.012599,-78.060224,"(42.012599, -78.060224)",2031,1690,475
ALMOND FIRE DEPARTMENT,02005,1 MARVIN LANE BOX 256,ALMOND,NY,14804,02,Allegany,6072765921,42.316386,-77.740698,"(42.316386, -77.740698)",2031,1751,474
ANDOVER FIRE DEPARTMENT,02006,60 S MAIN ST PO BOX 714,ANDOVER,NY,14806,02,Allegany,6074788361,42.154809,-77.795274,"(42.154809, -77.795274)",2031,1753,472
ANGELICA FIRE DEPARTMENT,02007,85 MAIN ST PO BOX 154,ANGELICA,NY,14709,02,Allegany,5854667621,42.307251,-78.020337,"(42.307251, -78.020337)",2031,1691,449
BELFAST FIRE DEPARTMENT,02008,11 MERTON AVENUE PO BOX 487,BELFAST,NY,14711,02,Allegany,5853652606,42.344075,-78.110895,"(42.344075, -78.110895)",2031,1693,471
BELMONT FIRE DEPARTMENT,02009,80 SCHUYLER STREET,BELMONT,NY,14813,02,Allegany,5852685550,42.22457,-78.030511,"(42.22457, -78.030511)",2031,1759,473
BOLIVAR FIRE DEPARTMENT,02010,460 MAIN ST  PO BOX 483,BOLIVAR,NY,14715,02,Allegany,5859281250,42.064374,-78.168037,"(42.064374, -78.168037)",2031,1696,469
CANASERAGA FIRE DEPARTMENT,02011,10 MAIN ST BOX 322,CANASERAGA,NY,14822,02,Allegany,6075456221,42.43964,-77.85099,"(42.43964, -77.85099)",2031,1768,463
CENTERVILLE MEMORIAL FIRE DEPT,02013,8936 CNTY ROAD 3 BOX 16,CENTERVILLE,NY,14029,02,Allegany,5855678132,42.4802,-78.24897,"(42.4802, -78.24897)",2031,520,467
CLARKSVILLE FIRE DEPARTMENT,02014,8854 CNTY ROAD 40 BOX 132,WEST CLARKSVILLE,NY,14786,02,Allegany,5859683138,42.2186,-78.28209,"(42.2186, -78.28209)",2031,1707,466
CUBA FIRE DEPARTMENT,02015,51 E MAIN ST PO BOX 84,CUBA,NY,14727,02,Allegany,5859682530,42.21782,-78.2883,"(42.21782, -78.2883)",2031,1707,466
BROOKS FIRE DEPARTMENT,02016,20 S GENESEE ST BOX 53,FILLMORE,NY,14735,02,Allegany,5855678614,42.465164,-78.112337,"(42.465164, -78.112337)",2031,1713,462
FRIENDSHIP FIRE DEPARTMENT,02017,3 DEPOT STREET PO BOX 503,FRIENDSHIP,NY,14739,02,Allegany,5859732371,42.208223,-78.133936,"(42.208223, -78.133936)",2031,1717,465
HOUGHTON FIRE DEPARTMENT,02018,9750 STATE RT 19 PO BOX 96,HOUGHTON,NY,14744,02,Allegany,5855678229,42.424165,-78.155972,"(42.424165, -78.155972)",2031,1722,468
NEW HUDSON FIRE DEPARTMENT,02019,8597 STATE RTE 305 PO BOX 1,BLACK CREEK,NY,14714,02,Allegany,5859681566,42.275383,-78.226176,"(42.275383, -78.226176)",2031,1695,457
ORAMEL FIRE DEPARTMENT,02020,8415 STATE ROUTE 19,BELFAST,NY,14711,02,Allegany,5853652511,42.31418,-78.13784,"(42.31418, -78.13784)",2031,1693,471
RICHBURG FIRE DEPARTMENT,02021,277 MAIN ST PO BOX 74,RICHBURG,NY,14774,02,Allegany,5859281800,42.08828,-78.15372,"(42.08828, -78.15372)",2031,1737,444
RUSHFORD FIRE DEPARTMENT,02022,BOX 223,RUSHFORD,NY,14777,02,Allegany,5854372522,42.389617,-78.246587,"(42.389617, -78.246587)",2031,1739,455
SCIO FIRE DEPARTMENT,02023,4359 CNTY RD 10 PO BOX 231,SCIO,NY,14880,02,Allegany,5855932046,42.191917,-77.899663,"(42.191917, -77.899663)",2031,911,398
SHORT TRACT FIRE DEPARTMENT,02024,10355 CO RD 15 PO BOX 105,FILLMORE,NY,14735,02,Allegany,5855678075,42.43816,-78.07038,"(42.43816, -78.07038)",2031,1713,461
WELLSVILLE FIRE DEPARTMENT,02025,40 S MAIN ST PO BOX 1156,WELLSVILLE,NY,14895,02,Allegany,5855934980,42.11894,-77.943226,"(42.11894, -77.943226)",2031,923,396
WHITESVILLE FIRE DEPARTMENT,02026,496 MAIN ST PO BOX 256,WHITESVILLE,NY,14897,02,Allegany,6073563223,42.037822,-77.767082,"(42.037822, -77.767082)",2031,924,458
WILLING FIRE DEPARTMENT,02027,1395 ST ROUTE 19 SOUTH,WELLSVILLE,NY,14895,02,Allegany,5855932385,42.055868,-77.915924,"(42.055868, -77.915924)",2031,923,445
WISCOY-ROSSBURG FIRE DEPARTMENT,02028,11490 CO RD 27 PO BOX 171,FILLMORE,NY,14735,02,Allegany,5855678989,42.499877,-78.07623,"(42.499877, -78.07623)",2031,373,462
BIRDSALL FIRE DEPARTMENT,02029,9040 CO RD 15B PO BOX 162,CANASERAGA,NY,14822,02,Allegany,5854663000,42.390335,-77.91577,"(42.390335, -77.91577)",2031,1768,470
BINGHAMTON FIRE DEPARTMENT,04001,38 HAWLEY ST GOV PLZ 4TH FL,BINGHAMTON,NY,13901,04,Broome,6077727016,,,,,,
