"plant_type","spdes_permit_number","facility_name","ground_or_surface","avg_design_hydraulic_flow","street","city","state","country","zip_code","latitude","longitude","location_1"
"Industrial","NY0002127","PFAUDLER INC","Surface","0.0978","1000 WEST AVE","ROCHESTER","NY","USA","14611","43.15","-77.67","(43.15, -77.67)"
"Industrial","NY0218855","THE VIRTIS CO","Ground",,"815 ST RTE 208","GARDINER","NY","USA","12525","41.66","-74.14","(41.66, -74.14)"
"Municipal","NY0023680","WARWICK STP","Surface","1","RIVER ST","WARWICK","NY","USA","10990","41.25","-74.37","(41.25, -74.37)"
"Industrial","NY0210803","NEW MILLER PLACE LAUNDROMAT","Ground","0.009","725 ST RTE 25A","MILLER PLACE","NY","USA","11764","40.94","-72.97","(40.94, -72.97)"
"Industrial","NY0246492","SILGAN PLASTICS CORPORATION","Surface","0.18","40 POWELL LANE","PENN YAN","NY","USA","14527","42.67","-77.06","(42.67, -77.06)"
"Industrial","NY0002372","LYONSDALE PAPER MILL","Surface","1.1","7801 LYONSDALE RD (CO RTE 39) @ LOWDALE RD","LYONS FALLS","NY","USA","13368","43.62","-75.31","(43.62, -75.31)"
"Industrial","NY0271497","SHELBY ETHANOL PLANT","Surface",,"4141 BATES RD","MEDINA","NY","USA","14103","43.21","-78.37","(43.21, -78.37)"
"Municipal","NY0026310","NEWBURGH WWTP","Surface","9","2 RENWICK ST","NEWBURGH","NY","USA","12550","41.49","-74.01","(41.49, -74.01)"
"Industrial","NY0257940","LYME BUS FUELING CENTER","Surface","0.0006","CO RTE 8 - E SIDE - N OF ST RTE 12E","CHAUMONT","NY","USA","13622","44.08","-76.15","(44.08, -76.15)"
"Municipal","NY0021377","CAMDEN WASTEWATER TREATMENT PLANT","Surface","0.8","TABERG ST","CAMDEN","NY","USA","13316","43.33","-75.74","(43.33, -75.74)"
"Industrial","NY0236616","HANSON GREAT BEND","Surface","0.08","23080 CO RTE 47","GREAT BEND","NY","USA","13643","44","-75.69","(44.0, -75.69)"
"Municipal","NY0093637","STILLWATER STP","Surface","0.547","RUNDLE LN","STILLWATER","NY","USA","12170","42.94","-73.65","(42.94, -73.65)"
"Industrial","NY0272582","JOCOSA LLC WASTE OIL RECYCLING FACILITY","Surface",,"1141 RIVER RD","NEW WINDSOR","NY","USA","12553","41.48","-74.01","(41.48, -74.01)"
"Municipal","NY0027766","LEWISTON MASTER SD","Surface","2.75","501 PLETCHER RD","LEWISTON","NY","USA","14092","43.21","-79.04","(43.21, -79.04)"
"Industrial","NY0279919","WUW LAUNDROMAT INC","Ground","0.0145","1052 ISLIP AVE","BRENTWOOD","NY","USA","11717","40.77","-73.21","(40.77, -73.21)"
"Industrial","NY0206181","MEENAN RETAIL SALES BLDG","Ground",,"3020 BURNS AVE","WANTAGH","NY","USA","11793","40.67","-73.52","(40.67, -73.52)"
