"company","street_1","street_2","city","state","zip_code","georeference"
"DMV-HARLEM MVO","159 EAST 125TH STREET","3RD FLOOR","NEW YORK","NY","10035","POINT (-73.936625 40.804046)"
"COMMUNITY FINANCIAL SERVICE CENTERS","112 TOMPKINS AVENUE",,"BROOKLYN","NY","11206","POINT (-73.946317 40.695389)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1629 LEXINGTON AVENUE",,"NEW YORK","NY","10029","POINT (-73.94778 40.790199)"
"COMMUNITY FINANCIAL SERVICE CENTERS","523 FLUSHING VENUE",,"BROOKLYN","NY","11205",
"NYC TRANSIT MUSEUM SHOP","2 BROADWAY",,"NEW YORK","NY","10004","POINT (-74.01329 40.704474)"
"COMMUNITY FINANCIAL SERVICE CENTERS","677 ALLERTON AVENUE",,"BRONX","NY","10467","POINT (-73.868069 40.865418)"
"DMV-BETHPAGE MVO","4031 HEMPSTEAD TURNPIKE",,"BETHPAGE","NY","11714","POINT (-73.486868 40.725308)"
"DMV-LOWER MANHATTAN GREENWICH MVO","11 GREENWICH STREET",,"NEW YORK","NY","10004","POINT (-74.014742 40.705377)"
"CHECK TIME","2966 AVENUE U",,"BROOKLYN","NY","11229","POINT (-73.940279 40.60061)"
"AAA FARMINGDALE","915 BROADHOLLOW ROAD",,"FARMINGDALE","NY","11735","POINT (-73.4238 40.726745)"
"COMMUNITY FINANCIAL SERVICE CENTERS","4822 8TH  AVENUE",,"BROOKLYN","NY","11220","POINT (-74.002986 40.641821)"
"AAA BRANFORD","143 CEDAR STREET",,"BRANFORD","CT","6405","POINT (-72.819254 41.28745)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1152 MYRTLE AVENUE",,"BROOKLYN","NY","11221","POINT (-73.934071 40.697109)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2471 84TH STREET",,"BROOKLYN","NY","11214","POINT (-73.986256 40.599262)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1407 AVENUE Z",,"BROOKLYN","NY","11235","POINT (-73.95497 40.587897)"
"ACTION CHECK CASHING","4729 WHITE PLAINS ROAD",,"BRONX","NY","10470","POINT (-73.849768 40.904298)"
"COMMUNITY FINANCIAL SERVICE CENTERS","44 HOYT STREET",,"BROOKLYN","NY","11201","POINT (-73.985979 40.689271)"
"ACTION CHECK CASHING","81-36 BAXTER AVENUE",,"ELMHURST","NY","11373","POINT (-73.883631 40.746093)"
"RITECHECK CASHING","1353 EAST GUN HILL ROAD",,"BRONX","NY","10469","POINT (-73.846571 40.870643)"
"COMMUNITY FINANCIAL SERVICE CENTERS","52-41 VAN DAM  STREET",,"LONG ISLAND CITY","NY","11101","POINT (-73.936111 40.736403)"
"AAA EAST MEADOW","2411 HEMPSTEAD TURPIKE","STE B","EAST MEADOW","NY","11554","POINT (-73.546432 40.724843)"
"COMMUNITY FINANCIAL SERVICE CENTERS","510 CLAREMONT PARKWAY",,"BRONX","NY","10457","POINT (-73.901461 40.838329)"
"COMMUNITY FINANCIAL SERVICE CENTERS","837 SOUNDVIEW AVE",,"BRONX","NY","10473","POINT (-73.867131 40.822263)"
"COMMUNITY FINANCIAL SERVICE CENTERS","128 E 29TH STREET",,"NEW YORK","NY","10016","POINT (-73.982316 40.743385)"
"RITECHECK CASHING","1272 CASTLE HILL AVENUE",,"BRONX","NY","10462","POINT (-73.851574 40.833961)"
"CHECK TIME","727 UTICA AVENUE",,"BROOKLYN","NY","11203","POINT (-73.930804 40.65567)"
"AAA STAMFORD","1041-1145 HIGH RIDGE ROAD","UNIT 1115","STAMFORD","CT","6905","POINT (-73.547908 41.106977)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1794 JEROME AVENUE",,"BRONX","NY","10453","POINT (-73.911725 40.848581)"
