"county","workforce_information_act_regions","name","street_address","city","state","zip","phone","fax","email","url","hours","parking","access","directions","location_1"
"Albany County","Capital Region","Career Central","175 Central Avenue","Albany","New York","12206","(518) 462-7600","(518) 447-5967","dougl@capreg.org","http://www.capreg.org","M-F: 8:30 a.m. - 5:00 p.m.","Street","Bus","http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=175+central+ave+albany+ny+12206&sll=37.0625,-95.677068&sspn=32.80241,56.337891&ie=UTF8&ll=42.663125,-73.768559&spn=0.007432,0.013754&t=h&z=16&iwloc=A","175 Central Avenue
Albany, NEW YORK 12206
(42.66141, -73.76867)"
"Allegany County","Cattaraugus-Allegany Counties","Allegany County Employment and Training Center","7 Wells Lane","Belmont","NY","14813","(585) 268-9441","(585) 268-9237","lynchr@alleganyco.com","http://www.alleganyco.com","M-F: 8:00 a.m. - 4:00 p.m.","Private Lot and Street","Bus","http://www.google.com/maps?f=q&source=s_q&hl=en&q=7+Wells+Ln,+Belmont,+Allegany,+New+York+14813&sll=42.663125,-73.768559&sspn=0.007432,0.013754&ie=UTF8&cd=2&geocode=Fa1GhAIdZ05Z-w&split=0&ll=42.2241,-78.033915&spn=0.007484,0.013754&t=h&z=16&iwloc=A","7 Wells Lane
Belmont, NY 14813
(42.223864, -78.033287)"
"Bronx County","New York City","Bronx Workforce 1 Career Center","400 East Fordham Road (Entrance on Webster)","Bronx","New York","10458","(718) 960-2458",,"workforce1bronx@rws-nyc.com","http://www.nyc.gov/workforce1","M-F: 8:30 a.m. - 5:00 p.m.",,"Bus and Subway","http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=358+East+149th+St.+Bronx,+NY&sll=40.822653,-73.915964&sspn=0.00768,0.013754&g=358+East+158th+St.+Bronx,+NY&ie=UTF8&ll=40.818681,-73.919063&spn=0.007275,0.013754&t=h&z=16&iwloc=r0","400 East Fordham Road
Bronx, NEW YORK 10458
(40.861461, -73.891067)"
"Bronx County","New York City","Hunts Point Workforce1 Career Center","1029 E 163rd Street, Floor 3 Between Southern Blvd. and Simpson St.","Bronx","New York","10459","(718) 542-6777",,"workforce1huntspoint@rws-nyc.com","http://www.nyc.gov/workforce1","M-F: 9:00 a.m. - 5:00 p.m.",,,"http://maps.google.com/maps?hl=en&gl=us&bav=on.2,or.r_qf.&bvm=bv.47008514,d.aWM&biw=1330&bih=839&safe=active&q=1029+E+163rd+Street,+Floor+3+bronx+ny&um=1&ie=UTF-8&hq=&hnear=0x89c2f5ab2b31eff7:0x311cb7f89beca09c,1029+E+163rd+St,+Bronx,+NY+10459&gl=us&daddr","1029 E 163rd Street
Bronx, NEW YORK 10459
(40.82098, -73.891986)"
"Broome County","Broome-Tioga Counties","Broome-Tioga Workforce New York","171 Front Street","Binghamton","New York","13905","(607) 778-2136","(607) 778-6442","btworks@labor.ny.gov","http://www.broometiogaworks.com","M-F: 8:00 a.m. - 4:00 p.m.","Private Lot","Bus","http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=171+Front+St.+Binghamton+NY&sll=37.0625,-95.677068&sspn=32.939885,56.337891&ie=UTF8&ll=42.102473,-75.916643&spn=0.00753,0.013754&t=h&z=16&iwloc=A","171 Front Street
Binghamton, NEW YORK 13905
(42.101549, -75.916655)"
"Cattaraugus County","Cattaraugus-Allegany Counties","Cattaraugus Career Center","175 North Union Street Suite 4","Olean","New York","14760","(716) 373-1880","(716) 375-2895","blmarvin@cattco.org","http://www.cattco.org/one-stop","M-F: 8:00 a.m. - 5:00 p.m.","Private Lot and Street","Bus","http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=175+North+Union+St.+Olean+NY&sll=42.102473,-75.916643&sspn=0.00753,0.013754&g=171+Front+St.+Binghamton+NY&ie=UTF8&ll=42.080292,-78.432233&spn=0.007533,0.013754&t=h&z=16&iwloc=A","175 North Union Street
Olean, NEW YORK 14760
(42.079102, -78.429884)"
"Cayuga County","Cayuga-Cortland Counties","Cayuga Works Career Center","199 Franklin Street Suite 204","Auburn","New York","13021","(315) 253-1590","(315) 253-1135","akubarek@cayugacounty.us","http://www.cortland-co.org/cayugaworks/cayugahome.asp","M-F: 8:30 a.m. - 5:00 p.m.",,"Bus","http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=199+Franklin+St.+Auburn+NY&sll=42.080292,-78.432233&sspn=0.007533,0.013754&ie=UTF8&ll=42.942853,-76.543379&spn=0.00743,0.013754&t=h&z=16&iwloc=A","199 Franklin Street
Auburn, NEW YORK 13021
(42.941391, -76.544922)"
"Chautauqua County","Chautauqua County","Chautauqua Works","407 Central Avenue","Dunkirk","New York","14048","(716) 366-9015","(716) 366-0502","kgeise@chautauquaworks.com","http://www.chautauquaworks.com","M-F: 8:30 a.m. - 4:30 p.m.","Private Lot and Street","Bus","http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=323+central+ave+dunkirk+ny&sll=37.09024,-95.712891&sspn=32.80241,56.337891&ie=UTF8&ll=42.485865,-79.33485&spn=0.007453,0.013754&t=h&z=16&iwloc=A","407 Central Avenue
Dunkirk, NEW YORK 14048
(42.481448, -79.333988)"
"Chautauqua County","Chautauqua County","Jamestown Career Center","4 E. 3rd Street","Jamestown","New York","14701","(716) 661-9553","(716) 664-9184","kgeise@chautauquaworks.com","http://www.chautauquaworks.com","M-F: 8:30 a.m. - 4:30 p.m.","Private Lot and Street","Bus","http://maps.google.com/maps?hl=en&gl=us&bav=on.2,or.r_qf.&bvm=bv.47008514,d.eWU&biw=1330&bih=839&safe=active&q=23+E.+3rd+Street+jamestown+ny&um=1&ie=UTF-8&hq=&hnear=0x89d2a8e39d919843:0xc557366dcd9ad48b,23+E+3rd+St,+Jamestown,+NY+14701&gl=us&daddr=23%20E%","4 E 3rd Street
Jamestown, NEW YORK 14701
(42.096384, -79.241195)"
"Chemung County","Chemung-Schuyler-Steuben Counties","Elmira Career Center","Chemung/Schuyler/Steuben Workforce Development 318 Madsion Avenue","Elmira","New York","14901","(607)733-7131","(607)737-0890","madden@corning-cc.edu","http://www.csswfny.com","M-F: 8:30 a.m. - 4:30 p.m",,,"http://maps.google.com/maps?bav=on.2,or.r_qf.&bvm=bv.47008514,d.dmQ&biw=1330&bih=839&safe=active&q=318+madison+avenue+elmira+ny&um=1&ie=UTF-8&hq=&hnear=0x89d01536f4264779:0xc42b0393cf322106,318+Madison+Ave,+Elmira,+NY+14901&gl=us&daddr=318%20Madison%20Ave","318 Madsion Avenue
Elmira, NEW YORK 14901
(42.09248, -76.799912)"
