Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
CRM Company LLC,4294 Albany Street; Suite 3,,Colonie,NY,12205,Albany,4,4809873006,H Barry Takallou,Private,Waste tire storage - New product manufacturing,[01K11],Yes,593387,4731352,,Waste Tires,,,,"4294 Albany Street; Suite 3
Colonie, NY 12205
(42.729576, -73.860038)"
Supreme Auto Parts & Service; Inc.,1625 Olean-Portville Road,,Olean,NY,14760,Cattaraugus,9,7163720830,Thomas Blicharz,Private,Waste tire storage - Dealer,[05K13],Yes,219186,4663184,4.2 - Utilization of GIS and existing spatial data,Waste Tires,05K13,12/27/2010,,"1625 Olean-Portville Road
Olean, NY 14760
(42.070898, -78.39392)"
Twin Tier Tire Factory,1717 Grand Central Avenue,,Elmira Heights,NY,14903,Chemung,8,6074421371,Lev Wolkowicki,Private,Waste tire storage - Retreader,[08K16],Yes,349751,4665443,,Tire,08K16,10/25/2017,,"1717 Grand Central Avenue
Elmira Heights, NY 14903
(42.126854, -76.817425)"
Mr. Fox Tire Co Inc,1035 William Street,,Buffalo,NY,14206,Erie,9,7168561696,Eric Fox,Private,Waste tire storage - Dealer,[15K01],Yes,186925,4755148,4.2 - Utilization of GIS and existing spatial data,Waste Tires,15K01,01/19/1994,,"1035 William Street
Buffalo, NY 14206
(42.884939, -78.833467)"
Casings; Inc. - Deyo Warehouse,Route 9W; PO Box 731,,Catskill,NY,12414-0731,Greene,4,5189439404,Casings; Inc.,Private,Waste tire storage - permit,[20K01],Yes,591624,4673841,,Waste Tires,4-1926-00108/00003,03/30/2010,08/31/2020,
Casings; Inc. - Haines Garage,169 Maple Avenue,,Catskill,NY,12414,Greene,4,5189439404,Casings; Inc.,,Waste tire storage - permit,[20K02],Yes,592991,4674958,,,4-1926-00071/00003,04/07/2014,04/06/2024,"169 Maple Avenue
Catskill, NY 12414
(42.220794, -73.872475)"
Hooper's Tire Outlet,17 Alexander Street,,Rochester,NY,14620,Monroe,8,5857734335,Daniel Hooper,Private,Waste tire storage - Dealer,[28K11],Yes,287940,4780359,4 - GIS Assisted,Tire,28K11,12/01/2016,,
N&W Associates - DBA The Tire Shop,180 Hudson Ave,,Rochester,NY,14605,Monroe,8,5855463860,Mark Nudds,Private,Waste tire storage - Dealer,[28K06],Yes,288582,4782650,4.3 - Utilization of Digital Orthophoto Quads,Waste Tires,28K06,11/08/2006,,"180 Hudson Ave
Rochester, NY 14605
(43.166534, -77.602052)"
Tire Deals,1600 N. Clinton Ave,,Rochester,NY,14605,Monroe,8,5852601313,Dana Magee,Private,Waste tire storage - Dealer,[28K03],Yes,287769,4785143,1 - No accuracy stated,Waste Tires,28K03,,,"1600 N. Clinton Ave
Rochester, NY 14605
(43.189601, -77.613189)"
Worldwide Tire Distribution Inc,141 West Main Street,,Amsterdam,NY,12010,Montgomery,4,5182126969,Louis Crispino,Private,Waste tire storage - permit,[29K10],Yes,565444,4754574,1 - No accuracy stated,Waste Tires,4-2701-00082/00001,10/25/2013,10/24/2018,"141 West Main Street
Amsterdam, NY 12010
(42.940991, -74.198376)"
S&M Prompt Rubbish Removal Service Inc,7 Linden Place,,Oceanside,NY,11572,Nassau,1,5167642950,Salvatore Mancuso,Private,Waste tire storage - permit,[30T100],Yes,614010,4497743,,Waste Tires;Tire;Tire (Chips),1-2820-04784/00001,07/21/2014,04/12/2019,"7 Linden Place
Oceanside, NY 11572
(40.623005, -73.653621)"
A&J Tires Repair,2246 Forest Ave,,Staten Island,NY,10303,Richmond,2,7187206920,A&J Tires Repair,Private,Waste tire storage - Dealer,[43K41],Yes,570644,4497623,,Tire;Waste Tires,43K41,,,"2246 Forest Ave
Staten Island, NY 10303
(40.626946, -74.16455)"
SMI Waste Tire Facility,1786 Salcman Road,,Seneca Falls,NY,13165,Seneca,8,3155395624,Seneca Meadows Inc,Private,Waste tire storage - New product manufacturing,[50K03],Yes,349655,4782657,,Waste Tires,50K03,09/09/1997,,"1786 Salcman Road
Seneca Falls, NY 13165
(42.915265, -76.843801)"
Casings Inc,1811 Harrison Ave,,Bayshore,NY,11706,Suffolk,1,5189439404,Casing Inc.,Private,Waste tire storage - permit,[52K08],Yes,644827,4514466,4.3 - Utilization of Digital Orthophoto Quads,Waste Tires;Tire,1-4728-04495/00001,05/08/2017,05/07/2022,"1811 Harrison Ave
Bayshore, NY 11706
(40.767666, -73.284447)"
