"name_of_local_government","type_of_local_government","status_as_a_csc","date_adopted_csc_pledge","certification_expiration_date","population_from_2010_census","county","redc_region","dec_regional_office"
"Albany city","city","Bronze Certified","2009-06-10T00:00:00.000","2024-08-31T00:00:00.000","97856","Albany","Capital Region","4"
"Albany County","County","Registered","2009-07-13T00:00:00.000",,"304204","Albany","Capital Region","4"
"Amenia town","town","Registered","2017-09-07T00:00:00.000",,"4436","Dutchess","Mid-Hudson","3"
"Amherst town","town","Registered","2012-05-07T00:00:00.000",,"122366","Erie","Western New York","9"
"Amityville village","village","Registered","2016-04-11T00:00:00.000",,"9523","Suffolk","Long Island","1"
"Amsterdam city","city","Registered","2019-06-18T00:00:00.000",,"18620","Montgomery","Mohawk Valley","4"
"Ancram town","town","Registered","2016-02-18T00:00:00.000",,"1573","Columbia","Capital Region","4"
"Ardsley village","village","Registered","2010-02-02T00:00:00.000",,"4452","Westchester","Mid-Hudson","3"
"Athens village","village","Registered","2020-03-11T00:00:00.000",,"1668","Greene","Capital Region","4"
"Auburn city","city","Registered","2010-02-11T00:00:00.000",,"27687","Cayuga","Central New York","7"
"Austerlitz town","town","Registered","2017-08-17T00:00:00.000",,"1654","Columbia","Capital Region","4"
"Babylon town","town","Registered","2009-04-01T00:00:00.000",,"213603","Suffolk","Long Island","1"
"Baldwinsville village","village","Registered","2014-07-03T00:00:00.000",,"7378","Onondaga","Central New York","7"
"Bath village","village","Registered","2015-06-15T00:00:00.000",,"5786","Steuben","Southern Tier","8"
"Beacon city","city","Silver Certified","2009-04-04T00:00:00.000","2025-09-30T00:00:00.000","15541","Dutchess","Mid-Hudson","3"
"Bedford town","town","Bronze Certified","2009-10-20T00:00:00.000","2024-08-31T00:00:00.000","17335","Westchester","Mid-Hudson","3"
"Bethel town","town","Bronze Certified","2013-11-13T00:00:00.000","2023-08-31T00:00:00.000","4255","Sullivan","Mid-Hudson","3"
"Bethlehem town","town","Registered","2009-04-21T00:00:00.000",,"33656","Albany","Capital Region","4"
"Big Flats town","town","Registered","2017-06-14T00:00:00.000",,"7731","Chemung","Southern Tier","8"
"Binghamton city","city","Registered","2011-10-27T00:00:00.000",,"47376","Broome","Southern Tier","7"
"Black Brook town","town","Registered","2019-08-12T00:00:00.000",,"1497","Clinton","North Country","5"
"Boonville village","village","Registered","2014-03-10T00:00:00.000",,"2072","Oneida","Mohawk Valley","6"
"Brant town","town","Registered","2012-02-14T00:00:00.000",,"2065","Erie","Western New York","9"
"Brighton town","town","Bronze Certified","2014-04-09T00:00:00.000","2024-08-31T00:00:00.000","1435","Monroe","Finger Lakes","8"
"Brockport village","village","Registered","2015-09-28T00:00:00.000",,"8366","Monroe","Finger Lakes","8"
"Bronxville village","village","Registered","2021-02-08T00:00:00.000",,"6323","Westchester","Mid-Hudson","3"
"Brookhaven town","town","Registered","2009-04-16T00:00:00.000",,"486040","Suffolk","Long Island","1"
"Broome County","County","Bronze Certified","2019-06-20T00:00:00.000","2024-08-31T00:00:00.000","200600","Broome","Southern Tier","7"
"Buffalo city","city","Bronze Certified","2019-04-25T00:00:00.000","2024-08-31T00:00:00.000","261310","Erie","Western New York","9"
"Cairo town","town","Registered","2009-05-20T00:00:00.000",,"6670","Greene","Capital Region","4"
