"facility","address","address_1","city","state","zip","phone","fax","county","security","vc_capability","georeference"
"Brentwood Residential Center","1230 Commack Rd.",,"Dix Hills","NY","11746","(631) 667-1188","(631) 667-1213","Suffolk","Non-Secure","Yes","POINT (-73.304051 40.789784)"
"Harriet Tubman Residential Center","6706 Pine Ridge Rd.",,"Auburn","NY","13021","(315) 704-6290","(315) 704-6254","Cayuga","Limited Secure","Yes","POINT (-76.507967 42.942765)"
"Taberg Limited Secure Center","10011 Taberg-Florence Rd.",,"Taberg","NY","13471","(315) 245-0084","(315) 245-0088","Oneida","Limited Secure","Yes","POINT (-75.665395 43.345871)"
"Brookwood Secure Center","419 Spook Rock Rd.","P.O. Box 265","Claverack","NY","12513","(518) 851-3211","(518) 851-2685","Columbia","Secure","Yes","POINT (-73.758347 42.213477)"
"Highland Residential Center","629 North Chodikee Lake Rd.","P.O. Box 970","Highland","NY","12528","(845) 691-6006","(845) 691-6042","Ulster","Limited Secure","Yes","POINT (-73.983894 41.76107)"
"Red Hook Residential Center","531 Turkey Hill Rd.",,"Red Hook","NY","12571","(845) 758-4151","(845) 758-4508","Dutchess","Non-Secure","Yes","POINT (-73.818754 42.018324)"
"Columbia Secure Center","419 Spook Rock Rd.","P.O. Box 265","Claverack","NY","12513","(518) 851-3211","(518) 851-2403","Columbia","Secure","Yes","POINT (-73.758347 42.213477)"
"Industry Residential Center","375 Rush-Scottsville Rd.",,"Rush","NY","14543","(585) 533-2600","(585) 533-2822","Monroe","Limited Secure","Yes","POINT (-77.720872 43.003259)"
"Finger Lakes Residential Center","250 Auburn Rd.",,"Lansing","NY","14882","(607) 533-5000","(607) 533-5012","Tompkins","Limited Secure","Yes","POINT (-76.493042 42.544565)"
"MacCormick Secure Center","300 South Rd.",,"Brooktondale","NY","14817","(607) 539-7121","(607) 539-6588","Tompkins","Secure","Yes","POINT (-76.317432 42.327652)"
"GoshenSecure Center","97 Cross Rd.",,"Goshen","NY","10924","(845) 615-3000","(845) 615-3016","Orange","Secure","Yes","POINT (-74.382209 41.364153)"
