"name","url","agency","category","granularity","filter_value","rows","latitude","longitude","georeference"
"All Payer Patient Safety Indicators (PSI) by Hospital: Calendar Year 2015","http://health.data.ny.gov/d/xmv7-gzdb","Health, Department of","Health","County","WAYNE","14","43.1603","-77.1999","POINT (-77.1999 43.1603)"
"Baby Names: Beginning 2007","http://health.data.ny.gov/d/jxy9-yhdk","Health, Department of","Health","County","WYOMING","818","42.7023847","-78.2244399","POINT (-78.2244399 42.7023847)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","WORCESTER","1","42.591555","-74.750488","POINT (-74.750488 42.591555)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","CORFU","1","42.960397","-78.403858","POINT (-78.403858 42.960397)"
"Directory of Criminal Justice Agencies","http://data.ny.gov/d/gugp-n5ip","Criminal Justice Services, Division of","Public Safety","Municipality","YORKVILLE","1","43.113165","-75.27095","POINT (-75.27095 43.113165)"
"Health Facility General Information","http://health.data.ny.gov/d/vn5v-hh5r","Health, Department of","Health","Municipality","WESTMORELAND","1","43.116256","-75.403802","POINT (-75.403802 43.116256)"
"Hospital Maternity Information: Beginning 2008","http://health.data.ny.gov/d/net3-iygw","Health, Department of","Health","County","SUFFOLK","248","40.9404609","-72.6852404","POINT (-72.6852404 40.9404609)"
"Liquor Authority Expired Licenses","http://data.ny.gov/d/wzgj-tb42","Alcoholic Beverage Control, Division of (State Liquor Authority)","Economic Development","Municipality","DAY","1","43.325962","-74.036008","POINT (-74.036008 43.325962)"
"Local Government Code Officials: Beginning 2007","http://data.ny.gov/d/xky4-9pj6","State, Department of","Government & Finance","Municipality","DIX","16","43.1656","-75.462502","POINT (-75.462502 43.1656)"
"Local Government Code Officials: Beginning 2007","http://data.ny.gov/d/xky4-9pj6","State, Department of","Government & Finance","Municipality","REMSEN","21","43.32692","-75.186788","POINT (-75.186788 43.32692)"
"Pilot Pharmaceutical Take-Back Program Medication Collection Boxes","http://data.ny.gov/d/5e2x-mz3d","Environmental Conservation, Department of","Energy & Environment","County","WAYNE","1","43.1603","-77.1999","POINT (-77.1999 43.1603)"
"Public Assistance Cases with Earned Income:  Beginning April 2006","http://data.ny.gov/d/5mdi-3rq9","Temporary and Disability Assistance, Office of","Human Services","County","WASHINGTON","195","43.3137032","-73.4307589","POINT (-73.4307589 43.3137032)"
"State University Construction Fund (SUCF) Short-Listed Firms: Beginning 2000","http://data.ny.gov/d/kbn3-a3jv","State University Construction Fund","Education","Municipality","WOODBURY","19","40.820226","-73.467966","POINT (-73.467966 40.820226)"
"Summary of Real Property Tax Exemptions by Code by Municipality: Beginning Roll Year 1999","http://data.ny.gov/d/ykg4-r7ad","Taxation and Finance, Department of","Government & Finance","Municipality","GROVE","466","42.476499","-77.897912","POINT (-77.897912 42.476499)"
"Transitional Adult Homes","http://health.data.ny.gov/d/rzzx-9t3e","Health, Department of","Health","County","JEFFERSON","1","43.9988484","-76.0521081","POINT (-76.0521081 43.9988484)"
"Uniform Code Annual Report Submissions: Beginning 2007","http://data.ny.gov/d/kpkx-452i","State, Department of","Government & Finance","Municipality","WEBSTER","27","43.212215","-77.430317","POINT (-77.430317 43.212215)"
"Wastewater Treatment Plants","http://data.ny.gov/d/2v6p-juki","Environmental Conservation, Department of","Energy & Environment","Municipality","WOODRIDGE","3","41.706999","-74.569322","POINT (-74.569322 41.706999)"
"Child Welfare and Community Services Funded Programs","http://data.ny.gov/d/ahjq-dbec","Children and Family Services, Office of","Human Services","Municipality","BATH","10","42.337015","-77.317992","POINT (-77.317992 42.337015)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","COXSACKIE","14","42.350856","-73.80355","POINT (-73.80355 42.350856)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","MAMARONECK","8","40.950936","-73.734667","POINT (-73.734667 40.950936)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","PLEASANT VALLEY","72","41.744149","-73.824857","POINT (-73.824857 41.744149)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","ROME","37","43.212496","-75.455758","POINT (-75.455758 43.212496)"
"Creating Healthy Places Intervention Locations","http://health.data.ny.gov/d/jxme-znux","Health, Department of","Health","Municipality","MOHAWK","1","43.011333","-75.004253","POINT (-75.004253 43.011333)"
"County Seats","http://data.ny.gov/d/4xc7-bukh","Information Technology Services, Office of","Government & Finance","Municipality","WATERLOO","1","42.904651","-76.862848","POINT (-76.862848 42.904651)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","County","PUTNAM","15620","41.4266616","-73.7495141","POINT (-73.7495141 41.4266616)"
"AOT (Assisted Outpatient Treatment) Court Orders","http://data.ny.gov/d/r4sv-k333","Mental Health, Office of","Human Services","County","CHEMUNG","1","42.1412474","-76.760026","POINT (-76.760026 42.1412474)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","OCEAN BEACH","12","40.647197","-73.155737","POINT (-73.155737 40.647197)"
"County Mental Health Profiles: 2006-2016","http://data.ny.gov/d/xgig-n5ch","Mental Health, Office of","Human Services","County","CLINTON","123","44.7462266","-73.6781745","POINT (-73.6781745 44.7462266)"
"Council On The Arts Grant Awards:  Beginning 2003","http://data.ny.gov/d/5q72-7g66","Council on the Arts, New York State","Economic Development","Municipality","SCHENECTADY","231","42.814219","-73.944103","POINT (-73.944103 42.814219)"
"All Payer Potentially Preventable Emergency Visit (PPV) Rates by Patient County (SPARCS): Beginning 2011","http://health.data.ny.gov/d/f8ue-xzy3","Health, Department of","Health","County","ONONDAGA","6","43.0057954","-76.194642","POINT (-76.194642 43.0057954)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","CLIFTON PARK","31","42.863847","-73.778228","POINT (-73.778228 42.863847)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","County","FRANKLIN","15652","44.5929338","-74.3037624","POINT (-74.3037624 44.5929338)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","CHAZY","6","44.88727","-73.436535","POINT (-73.436535 44.88727)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","NYACK","1","41.090984","-73.918239","POINT (-73.918239 41.090984)"
"Citizen Statewide Lake Monitoring Assessment Program (CSLAP) Lakes","http://data.ny.gov/d/b6x3-58ht","Environmental Conservation, Department of","Energy & Environment","Municipality","CANADICE","1","42.715963","-77.554419","POINT (-77.554419 42.715963)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","LISBON","11119","44.726999","-75.319365","POINT (-75.319365 44.726999)"
"Census 2000 and 2010 Population, Villages","http://data.ny.gov/d/gxct-stum","Empire State Development","Government & Finance","Municipality","SHORTSVILLE","1","42.95471","-77.230163","POINT (-77.230163 42.95471)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","FAYETTEVILLE","7","43.029967","-76.004518","POINT (-76.004518 43.029967)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","EDINBURG","6","43.221888","-74.095078","POINT (-74.095078 43.221888)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","VIENNA","6","43.236964","-75.701683","POINT (-75.701683 43.236964)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","FARMINGTON","6","42.986234","-77.325934","POINT (-77.325934 42.986234)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","ELLICOTTVILLE","2","42.274857","-78.673316","POINT (-78.673316 42.274857)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","HAVERSTRAW","1","41.188349","-73.961251","POINT (-73.961251 41.188349)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","BELLPORT","1","40.756328","-72.938248","POINT (-72.938248 40.756328)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","HANOVER","21","42.9669","-75.378098","POINT (-75.378098 42.9669)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","PHOENIX","191","43.230923","-76.300092","POINT (-76.300092 43.230923)"
"Council On The Arts Grant Awards:  Beginning 2003","http://data.ny.gov/d/5q72-7g66","Council on the Arts, New York State","Economic Development","Municipality","JAMESTOWN","96","42.098961","-79.242051","POINT (-79.242051 42.098961)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","ELLICOTTVILLE","2","42.274857","-78.673316","POINT (-78.673316 42.274857)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","PORT CHESTER","2","41.00155","-73.665835","POINT (-73.665835 41.00155)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","CALEDONIA","49","42.973152","-77.855225","POINT (-77.855225 42.973152)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","MC DONOUGH","143","42.49847","-75.767712","POINT (-75.767712 42.49847)"
"Active Retail Tobacco Vendors","http://health.data.ny.gov/d/9ma3-vsuk","Health, Department of","Health","Municipality","AMSTERDAM","35","42.937753","-74.190343","POINT (-74.190343 42.937753)"
