"year","region","naics_code","industry","jobs"
"2020","Capital Region","11","Agriculture, Forestry, Fishing and Hunting","2664"
"2020","Capital Region","21","Mining, Quarrying, and Oil and Gas Extraction","1060"
"2020","Capital Region","22","Utilities","1953"
"2020","Capital Region","23","Construction","21130"
"2020","Capital Region","31-33","Manufacturing","33109"
"2020","Capital Region","42","Wholesale Trade","14516"
"2020","Capital Region","44-45","Retail Trade","52739"
"2020","Capital Region","48-49","Transportation and Warehousing","12544"
"2020","Capital Region","51","Information","8598"
"2020","Capital Region","52","Finance and Insurance","21470"
"2020","Capital Region","53","Real Estate and Rental and Leasing","6083"
"2020","Capital Region","54","Professional, Scientific, and Technical Services","31314"
"2020","Capital Region","55","Management of Companies and Enterprises","7043"
"2020","Capital Region","56","Administrative and Support and Waste Management and Remediation Services","18961"
"2020","Capital Region","61","Educational Services","17658"
"2020","Capital Region","62","Health Care and Social Assistance","74790"
"2020","Capital Region","71","Arts, Entertainment, and Recreation","4979"
"2020","Capital Region","72","Accommodation and Food Services","32124"
"2020","Capital Region","81","Other Services (except Public Administration)","15857"
"2020","Capital Region","90","Government","108852"
"2020","Capital Region","99","Unclassified Industry","532"
"2020","Central New York","11","Agriculture, Forestry, Fishing and Hunting","2760"
"2020","Central New York","21","Mining, Quarrying, and Oil and Gas Extraction","226"
"2020","Central New York","22","Utilities","4156"
"2020","Central New York","23","Construction","13463"
"2020","Central New York","31-33","Manufacturing","29705"
"2020","Central New York","42","Wholesale Trade","12156"
"2020","Central New York","44-45","Retail Trade","35652"
"2020","Central New York","48-49","Transportation and Warehousing","9926"
"2020","Central New York","51","Information","3823"
"2020","Central New York","52","Finance and Insurance","10560"
"2020","Central New York","53","Real Estate and Rental and Leasing","3781"
"2020","Central New York","54","Professional, Scientific, and Technical Services","16479"
"2020","Central New York","55","Management of Companies and Enterprises","4754"
"2020","Central New York","56","Administrative and Support and Waste Management and Remediation Services","13926"
"2020","Central New York","61","Educational Services","12239"
"2020","Central New York","62","Health Care and Social Assistance","47576"
"2020","Central New York","71","Arts, Entertainment, and Recreation","3093"
"2020","Central New York","72","Accommodation and Food Services","21941"
"2020","Central New York","81","Other Services (except Public Administration)","10104"
"2020","Central New York","90","Government","60883"
"2020","Central New York","99","Unclassified Industry","278"
"2020","Finger Lakes","11","Agriculture, Forestry, Fishing and Hunting","6421"
"2020","Finger Lakes","21","Mining, Quarrying, and Oil and Gas Extraction","676"
"2020","Finger Lakes","22","Utilities","1693"
"2020","Finger Lakes","23","Construction","21337"
"2020","Finger Lakes","31-33","Manufacturing","60486"
"2020","Finger Lakes","42","Wholesale Trade","16319"
"2020","Finger Lakes","44-45","Retail Trade","54931"
"2020","Finger Lakes","48-49","Transportation and Warehousing","11196"
"2020","Finger Lakes","51","Information","6607"
"2020","Finger Lakes","52","Finance and Insurance","15111"
"2020","Finger Lakes","53","Real Estate and Rental and Leasing","6821"
"2020","Finger Lakes","54","Professional, Scientific, and Technical Services","26534"
"2020","Finger Lakes","55","Management of Companies and Enterprises","9734"
"2020","Finger Lakes","56","Administrative and Support and Waste Management and Remediation Services","26229"
"2020","Finger Lakes","61","Educational Services","27786"
"2020","Finger Lakes","62","Health Care and Social Assistance","85041"
"2020","Finger Lakes","71","Arts, Entertainment, and Recreation","5790"
"2020","Finger Lakes","72","Accommodation and Food Services","32458"
"2020","Finger Lakes","81","Other Services (except Public Administration)","14831"
