Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
Industrial,NY0277045,101 LINCOLN AVE,Surface,0.58,"101 LINCOLN AVE, B:2316, L:1",BRONX,NY,USA,10454,40.81,-73.93,"(40.81, -73.93)",2095,647,307
Industrial,NY0023442,109TH AIRLIFT WING-STRATTON AIR NATIONAL GUARD BASE,Surface,0.03,1 AIR NATIONAL GUARD RD|SCHENECTADY CO AIRPORT,SCOTIA,NY,USA,12302,42.85,-73.92,"(42.85, -73.92)",2142,50,108
Industrial,NY0277118,126-20 WILLETS POINT BLVD REDEVELOPMENT,Surface,0.29,126-20 WILLETS POINT BLVD,QUEENS,NY,USA,11368,40.76,-73.84,"(40.76, -73.84)",2137,838,196
Industrial,NY0266825,168 FAMILY LAUNDROMAT,Ground,0.02,64 BROADWAY,ROCKY POINT,NY,USA,11778,40.95,-72.92,"(40.95, -72.92)",2179,1420,1022
Industrial,NY0199648,180 ORVILLE DRIVE,Ground,0.00,180 ORVILLE DR,BOHEMIA,NY,USA,11716,40.77,-73.10,"(40.77, -73.1)",2179,1073,1019
Industrial,NY0007145,1900 SOUTH AVE LOGISTICS,Surface,0.00,"1900 SOUTH AVE|B:1801, L:35,75",STATEN ISLAND,NY,USA,10314,40.60,-74.20,"(40.6, -74.2)",,,
Industrial,NY0279803,215 DEPOT ROAD REALTY CORP,Ground,0.02,215 DEPOT RD,HUNTINGTON STATION,NY,USA,11746,40.84,-73.40,"(40.84, -73.4)",2179,1121,1020
Industrial,NY0026212,26TH WARD WASTEWATER RESOURCE RECOVERY FACILITY,Surface,85.00,122-68 FLATLANDS AVE,BROOKLYN,NY,USA,12207,40.65,-73.88,"(40.65, -73.88)",2090,822,894
Municipal,NY0026212,26TH WARD WASTEWATER RESOURCE RECOVERY FACILITY,Surface,85.00,122-68 FLATLANDS AVE,BROOKLYN,NY,USA,12207,40.65,-73.88,"(40.65, -73.88)",2090,822,894
Industrial,NY0004502,380 DEVELOPMENT LLC PROPERTY,Surface,,500 WESTERN AVE AND GULF AVE B 1760 L 115,STATEN ISLAND,NY,USA,10303,40.63,-74.18,"(40.63, -74.18)",2139,606,585
Industrial,NY0268585,3D Rigging and Construction,Surface,0.00,435 CREBLE RD - FORMERLY LONG LN,SELKIRK,NY,USA,12158,42.56,-73.84,"(42.56, -73.84)",2030,1405,837
Industrial,NY0108235,#3 MARAPEG WELL SVCS DIV ENVIROSYSTEMS,,,RED WING RD,MAYVILLE,NY,USA,14757,42.20,-79.57,"(42.2, -79.57)",2035,1742,220
Industrial,NY0199320,71 REMINGTON BLVD,Ground,0.00,71 REMINGTON BLVD,RONKONKOMA,NY,USA,11779,40.79,-73.14,"(40.79, -73.14)",2179,1421,1019
Industrial,NY0246859,7-ELEVEN #35087,Surface,0.00,8132 Buffalo Rd|(Corner of Rt 19 and Buffalo Road),Bergen,NY,USA,14416,43.07,-77.95,"(43.07, -77.95)",2086,173,791
Industrial,NY0227706,7-ELEVEN STORE  #35115,Surface,,1735 ST RTE 14,PHELPS,NY,USA,14532,42.95,-76.98,"(42.95, -76.98)",2133,370,803
Industrial,NY0201120,866 UNITED NATIONS PLAZA,Surface,,866 UN PLAZA,NEW YORK,NY,USA,10017,40.75,-73.97,"(40.75, -73.97)",2095,740,749
Industrial,NY0223964,ACKNER FUELS HEADQUARTERS,Surface,0.01,ST RTES 43 & 66 @ TEAL RD,AVERILL PARK,NY,USA,12018,42.63,-73.53,"(42.63, -73.53)",2138,1146,114
Industrial,NY0237311,ACROSS THE MALL LAUNDROMAT,Ground,,237 OLD WALT WHITMAN RD,HUNTINGTON STATION,NY,USA,11746,40.82,-73.41,"(40.82, -73.41)",2179,1121,1020
Municipal,NY0020320,ADDISON - V STP,Surface,0.42,FRONT ST,ADDISON,NY,USA,14801,42.11,-77.22,"(42.11, -77.22)",2178,1748,48
Industrial,NY0268631,Adirondack Beverage,Surface,,701 Corporations Park,Schenectady,NY,USA,12302,42.84,-73.98,"(42.84, -73.98)",2142,50,108
Industrial,NY0183661,ADIRONDACK LAKE FIELD SURVEY,Ground,0.00,1115 ST RTE 86,RAY BROOK,NY,USA,12977,44.30,-74.08,"(44.3, -74.08)",2084,303,430
Industrial,NY0078735,ADM CORN PROCESSING,Surface,0.00,3401 ROCHESTER RD,LAKEVILLE,NY,USA,14480,42.84,-77.71,"(42.84, -77.71)",2091,309,741
Industrial,NY0270318,Agbotic,Ground,,18135 Co Rte 75,Sackets Harbor,NY,USA,13685,43.93,-76.11,"(43.93, -76.11)",2089,1615,851
Industrial,NY0265276,AGRI-CYCLE COMPOSTING FACILITY,Surface,0.00,BELLE RD,BUSKIRK,NY,USA,12028,42.98,-73.43,"(42.98, -73.43)",2184,1154,730
Industrial,NY0100820,AGRI-MARK INC - CHATEAUGAY PLANT,Surface,0.17,39 MCCADAM LN,CHATEAUGAY,NY,USA,12920,44.92,-74.07,"(44.92, -74.07)",621,213,189
Industrial,NY0072532,AIR PRODUCTS & CHEMICALS,Surface,0.28,461 RIVER RD (ST RTE 144),GLENMONT,NY,USA,12077,42.59,-73.77,"(42.59, -73.77)",2030,1225,837
Industrial,NY0260860,ALBANY ASU,Surface,,1297 FEURA BUSH RD,FEURA BUSH,NY,USA,12067,42.58,-73.87,"(42.58, -73.87)",2030,1405,837
