"agency_name","address","city","state","zip_code","phone_number","fax","region_covered","assisted_living_program_1","assisted_living_program_2","assisted_living_program_2e","assisted_living_program_3","vision_rehab","orientation_mobility","social_casework_level_1","social_casework_level_2","pre_vocationa_young_adults","diagnostic_vocational_evaluation","academic_instruction","vocational_skills","work_readiness","work_experience"
"Abilities, Inc.","201 I.U. Willets Road","Albertson","NY","11507","516-465-1491","516-465-3757","8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"ABVI-Goodwill","422 South Clinton Avenue","Rochester","NY","14620","585-232-1111","585-232-8265","2","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","Y"
"Alphapointe","3611 14th Avenue","Brooklyn","NY","11218-3750","718-854-7300","718-854-2700","6,7,8","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N"
"Andrea Todaro","PO Box 801","Buffalo","NY","14201","716-883-1793","716-883-1793","1,2","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Association for the Visually Impaired (AVI)","260 Old Nyack Turnpike","Spring Valley","NY","10979","845-574-4950","845-574-4944","5","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","N","Y"
"Aurora of Central New York, Inc","518 James Street,   Suite 100","Syracuse","NY","13203-2282","315-422-7263","315-422-4792","3","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y"
"AVRE","174 Court Street","Binghamton","NY","13901","607-724-2428","607-771-8045","3","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","Y","Y"
"Black Veterans for Social Justice, Inc.","665 Willoughby Avenue","Brooklyn","NY","11206","718-852-6004 ext. 250",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Bronx Independent Living Services","4419 Third Avenue, Suite 2C","Bronx","NY","10457","718-515-2800","718-515-2844","8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Candace Stout","107 Spook Ridge Road","Montague","NJ","7827","201-317-3965","201-317-3965",,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Catskill Center for Independence","6104 State Highway 23","Oneonta","NY","13820","607-432-8000","607 -432-6907","4","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Center for Disability Services, Inc.","314 South Manning Boulevard","Albany","NY","12208","518-427-2212","518-482-1629","4","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Central Association for the Blind & Visually Handicapped","507 Kent Street","Utica","NY","13501","315-797-2233","315-797-2244","3","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y"
"Chautauqua Blind Association","510 West Fifth Street","Jamestown","NY","14701","716-664-6660","716-664-1193","1","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"Clinton-Essex-Warren-Washington BOCES (CEWW)","PO Box 455","Plattsburgh","NY","12901","518-561-0100 ext. 211",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Community Options New York, Inc.","182-184 State Street","Binghamton","NY","13901","609-951-9900",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"DRS & Associates","4549 Main Street","Amherst","NY","14226","716-633-7138","716-633-4009","1","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"FEDCAP Rehabilitation Services, Inc.","633 Third Avenue, 6th Floor","New York","NY","10017","212-727-4200","212-727-4374","6,7,8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Glens Falls Association f/t Blind","144 Ridge Street","Glens Falls","NY","12801","518-792-3421","518-792-3430","4","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"Goodwill Industries of Greater NY & Northern NJ","4-21 27th Avenue","Astoria","NY","11102","718-777-6357","718-371-7236","8","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Helen Keller National Center","141 Middle Neck Road","Sands Point","NY","11050","516-944-8900 x 253",,"1,2,3,4,5,6,7,8","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y"
"Helen Keller Services for the Blind","57 Willowby Street","Brooklyn","NY","11201","718-522-2122","718-935-9463","6,7,8","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y"
"Heritage Christian Services","275 Kenneth Drive","Rochester","NY","14623","585-340-2000",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Jawonio, Inc.","260 N. Little Tor Road","New City","NY","10956","845-708-2000 ext. 1305","845-639-3539","5","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Kulanu Academy","PO Box 305","Cedarhurst","NY","11516","516-569-3083 ext. 139",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Liberty Resources, Inc","1065 James Street","Syracuse","NY","13203","315-425-1004","315-479-7884","3","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Lighthouse Guild (Jewish Guild)","250 W 64th St","New York","NY","10023","(800) 284-4422",,"8","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y"
"Living Independently is for Everyone at RCIL, Inc.","131 Genesee Street","Utica","NY","13503","315-797-4642",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Living Resources Corporation","300 WASHINGTON AVE EXT","Albany","NY","12203","518-218-0000 ext. 5309",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Mental Health Association of Rochester","320 North Goodman Street","Rochester","NY","14607","585-325-3145 ext. 112",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"My Blind Spot","90 Broad St.","New York","NY","10004","212-363-0330",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"North Country Association for the Visually Impaired","22 US Oval, Suite B-15","Plattsburgh","NY","12903","518-562-2330","518-562-2331","4","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","Y"
"Northeastern Association of the Blind at Albany","301 Washington Avenue","Albany","NY","12206","518-463-1211","518-436-4194","4","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y"
"NYSARC, Inc. Chautauqua County Chapter","880 East Second Street","Jamestown","NY","14701","716-847-8400","716-852-6100","1","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Quality Connection Employment Services","920 Co-op City Blvd.","Bronx","NY","10475","914-562-4400",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Regional Center for Independent Living","497 State Street","Rochester","NY","14608-1642","585-442-6470","585-271-8558","1,2","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Robert Statham d/b/a Pathlight Career Counseling","94 Falleson Road","Rochester","NY","14612","585-621-6826",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Rockland Independent Living Center d/b/a Bridges","873 Route 45,   Suite 108","New City","NY","10956","845-624-1366 ext. 130",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Teresa Page, Voc-Ed Services (VES)","6188 Old Beattie Road","Lockport","NY","14094","716-266-5621",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"The Resource Center","880 EAST SECOND ST","Jamestown","NY","14701","716-661-1412",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"The Star Group","PO Box 708","Whitney Point","NY","13862","607-765-7827","607-849-4925","3","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"The Summit Center","150 Stahl","Getzville","NY","14068","716-629-3424",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Thomas Reap PhD","913 Old Liverpool Road, Suite J","Liverpool","NY","13688-5751","315-457-0030","1-800-513-9316","3","N","N","N","N","N","N","N","N","N","Y","N","N","N","N"
"Tri-Lakes Center for Independent Living, Inc.","43 BROADWAY STE 1","Saranac Lake","NY","12983","518-891-5295",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"VIA Visually Impaired Advancement (Elizabeth Pierce)","1170 Main Street","Buffalo","NY","14209","716-882-1025","716-882-5577","1","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y"
