"agent_id","business_name","address_1","address_2","city","state","zip","phone_number","county","dec_region","latitude","longitude","georeference"
"1263","TOWN OF MIDDLEFIELD","County Route 35","Po Box 961","Cooperstown","NY","13326","6075472629","Otsego",,,,
"1284","TOWN OF MACEDON","32 Main Street",,"Macedon","NY","14502","3159865932","Wayne",,,,
"1384","TOWN OF PALERMO","53 Co.Rte.35",,"Fulton","NY","13069","3157514220","Oswego",,,,
"1491","ALL SEASONS SPORTS INC.","3733 State Route #13",,"Pulaski","NY","13142","3158946136","Oswego",,,,
"1649","TOWN OF RUTLAND","28411 Nys Route 126",,"Black River","NY","13612","315-788-9997","Jefferson",,,,
"2005","TOWN OF TYRONE","457 County Route 23",,"Dundee","NY","14837","6072926757","Schuyler",,,,
"3866","BUBBAS BOBBERS & BAIT","10519 Cty Rt 76",,"Hammondsport","NY","14840","607-868-7088","Steuben",,,,
"1958","TOWN OF SIDNEY","44 Grand Street, Suite 1",,"Sidney","NY","13838","607-561-2334","Delaware",,,,"POINT (-75.391647 42.313796)"
"2334","TOWN OF TUSCARORA","1094 Gill Road",,"Addison","NY","14801","6073593234","Steuben",,,,"POINT (-77.271603 42.054356)"
"1109","TOWN OF SENECA","3675 Flint Road",,"Stanley","NY","14463","5855265251","Ontario",,,,"POINT (-77.10666 42.854059)"
"2775","MARINE VILLAGE COTTAGES","82 Dickson Point Rd",,"Plattsburgh","NY","12901","5185635698","Clinton",,,,"POINT (-73.366863 44.807573000000005)"
"2215","TOWN OF EDINBURG","45 Military Road",,"Edinburg","NY","12134","5188634655","Saratoga",,,,"POINT (-74.103001 43.229116)"
"1930","TOWN OF HORNELLSVILLE","4 Park Street","P O Box 1","Arkport","NY","14807","6072959660","Steuben",,,,"POINT (-77.7889 42.252225)"
"2702","TOWN OF FLORIDA","181 State Highway 161",,"Amsterdam","NY","12010","5188435817","Montgomery",,,,"POINT (-74.231044 42.901623)"
"1528","INLET ACE, LLC","3085 State Rte 28 Main Street","P O Box 1150","Old Forge","NY","13420","3153696342","Herkimer",,,,
"1224","WAL-MART STORES INC.","10401 Bennett Road  Rt#60",,"Fredonia","NY","14063","7166793150","Chautauqua",,,,"POINT (-79.310121 42.454627)"
