"agency_name","county","day_accredited","month_accredited_numeric","month_accredited_name","year_accredited"
"ALBANY CITY PD","ALBANY","9","12","December","1999"
"ALBANY CO SO","ALBANY","4","3","March","2003"
"BETHLEHEM TOWN PD","ALBANY","20","9","September","1990"
"COLONIE TOWN PD","ALBANY","8","12","December","1994"
"GUILDERLAND TN PD","ALBANY","3","9","September","2009"
"SUNY POLICE ALBANY","ALBANY","7","6","June","2011"
"SUNY POLICE ALFRED","ALLEGANY","14","6","June","2012"
"BINGHAMTON CITY PD","BROOME","3","6","June","1993"
"BROOME CO SO","BROOME","23","10","October","2001"
"ENDICOTT VG PD","BROOME","6","12","December","1990"
"JOHNSON CITY VG PD","BROOME","12","9","September","1996"
"SUNY POLICE BINGHAMTON","BROOME","5","12","December","2019"
"VESTAL TOWN PD","BROOME","12","3","March","1992"
"CATTARAUGUS CO SO","CATTARAUGUS","4","12","December","2008"
"CHAUTAUQUA CO SO","CHAUTAUQUA","12","9","September","2002"
"SUNY POLICE FREDONIA","CHAUTAUQUA","20","3","March","2014"
"CHEMUNG CO SO","CHEMUNG","4","3","March","2010"
"ELMIRA CITY PD","CHEMUNG","6","12","December","2001"
"CHENANGO CO SO","CHENANGO","9","12","December","1999"
"COLUMBIA CO SO","COLUMBIA","13","9","September","2007"
"HUDSON PD","COLUMBIA","10","6","June","1999"
"CORTLAND CITY PD","CORTLAND","8","12","December","2016"
"SUNY POLICE CORTLAND","CORTLAND","2","3","March","2011"
"DELAWARE CO SO","DELAWARE","4","3","March","2010"
"BEACON CITY PD","DUTCHESS","2","9","September","2010"
"DUTCHESS CO SO","DUTCHESS","4","12","December","1997"
"EAST FISHKILL TN PD","DUTCHESS","18","9","September","1992"
"POUGHKEEPSIE TOWN PD","DUTCHESS","2","3","March","2011"
"AMHERST TOWN PD","ERIE","12","3","March","1992"
"BUFFALO CITY PD","ERIE","6","6","June","2019"
"CHEEKTOWAGA TN PD","ERIE","2","6","June","1994"
"ERIE CO SO","ERIE","13","6","June","2013"
"EVANS TOWN PD","ERIE","5","12","December","1991"
"LANCASTER TOWN PD","ERIE","7","9","September","2017"
"SUNY POLICE BUFFALO","ERIE","13","12","December","2007"
"SUNY POLICE BUFFALO COLLEGE","ERIE","14","6","June","2012"
"TONAWANDA TOWN PD","ERIE","9","9","September","1993"
"WEST SENECA TOWN PD","ERIE","9","9","September","1993"
"GLOVERSVILLE CITY PD","FULTON","7","12","December","2017"
"GENESEE CO SO","GENESEE","7","12","December","2000"
"CATSKILL VG PD","GREENE","5","3","March","2009"
"WATERTOWN PD","JEFFERSON","10","12","December","1998"
"GENESEO VG PD","LIVINGSTON","2","6","June","2016"
"LIVINGSTON CO SO","LIVINGSTON","4","12","December","1997"
"SUNY POLICE GENESEO","LIVINGSTON","19","3","March","2015"
"MADISON CO SO","MADISON","5","9","September","2019"
"BRIGHTON TOWN PD","MONROE","5","9","September","1991"
"BROCKPORT VG PD","MONROE","2","12","December","2004"
"EAST ROCHESTER VG PD","MONROE","10","6","June","2004"
"FAIRPORT VG PD","MONROE","5","12","December","1996"
"GATES TOWN PD","MONROE","12","3","March","1992"
"GREECE TOWN PD","MONROE","24","3","March","1994"
"IRONDEQUOIT TN PD","MONROE","5","12","December","1991"
"MONROE CO SO","MONROE","12","3","March","1992"
"OGDEN TOWN PD","MONROE","5","9","September","1991"
"ROCHESTER CITY PD","MONROE","21","2","February","1990"
"SUNY POLICE BROCKPORT","MONROE","13","12","December","2018"
"WEBSTER TOWN PD","MONROE","11","3","March","1999"
"MONTGOMERY CO SO","MONTGOMERY","13","12","December","2018"
"CENTRE ISLAND VILLAGE PD","NASSAU","8","9","September","2016"
"OLD WESTBURY VG PD","NASSAU","18","6","June","2015"
"ROCKVILLE CENTRE PD","NASSAU","4","3","March","1997"
"MTA POLICE DEPARTMENT","NEW YORK","3","3","March","2016"
"LOCKPORT CITY PD","NIAGARA","2","6","JUNE","2022"
"NIAGARA COUNTY SO","NIAGARA","8","3","March","2001"
"NIAGARA FALLS PD","NIAGARA","4","9","September","2003"
"TONAWANDA CITY PD","NIAGARA","5","12","December","1991"
"ONEIDA CO SO","ONEIDA","14","12","December","2006"
"ROME CITY PD","ONEIDA","4","12","December","2003"
"UTICA PD","ONEIDA","2","9","September","2010"
"CAMILLUS TOWN PD","ONONDAGA","12","3","March","1998"
"CICERO TOWN PD","ONONDAGA","5","6","June","2003"
"DeWITT TOWN PD","ONONDAGA","4","6","June","1998"
"GEDDES TOWN PD","ONONDAGA","12","9","September","2001"
"LIVERPOOL VG PD","ONONDAGA","14","6","June","2001"
"MANLIUS TOWN PD","ONONDAGA","12","9","September","1996"
"NORTH SYRACUSE VILLAGE PD","ONONDAGA","18","6","June","2015"
"ONONDAGA CO SO","ONONDAGA","24","9","September","1998"
"SOLVAY VG PD","ONONDAGA","4","3","March","2003"
"SYRACUSE PD","ONONDAGA","17","9","September","1992"
"CANANDAIGUA PD","ONTARIO","4","3","March","2010"
"GENEVA CITY PD","ONTARIO","9","3","March","2006"
"ONTARIO CO SO","ONTARIO","3","6","June","1993"
"BLOOMING GROVE TOWN PD","ORANGE","2","9","September","2021"
