"new_york_state_agency_occupation_title","agency","division","street_address","city","state","zip","telephone","url","occupation_code","occupation_title","georeference"
"Acupunturist","NYS Education Department","Office of the Professions","89 Washington Avenue","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/acupuncturist.shtm","29-1199","Acupunturists","POINT (-73.757764 42.65355)"
"AEM Certified Planner","NYS Department of Agriculture and Markets","Division of Soil and Water","10B Airline Drive","Albany","NY","12235","5184573738","https://statistics.labor.ny.gov/olcny/aem-certified-planners.shtm","45-2011","Agricultural Inspectors","POINT (-73.81954 42.735803)"
"Aquatic Antifouling Paint Applicator","NYS Department of Environmental Conservation","Division of Materials Management","625 Broadway, 9th Floor","Albany","NY","12233","5184028748","https://statistics.labor.ny.gov/olcny/aquatic-antifouling.shtm","51-9122","Painters, Transportation Equipment","POINT (-73.749302 42.652548)"
"Architect","NYS Education Department","Office of the Professions","89 Washington Avenue - 2nd Flr.","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/architect.shtm","17-1011","Architects, Except Landscape and Naval","POINT (-73.757764 42.65355)"
"Armored Car Guard","NYS Department of State","Division of Licensing Services","99 Washington Avenue","Albany","NY","12201","5184744429","https://statistics.labor.ny.gov/olcny/armored-car-guard.shtm","33-9032","Security Guards","POINT (-73.759668 42.654645)"
"Asbestos Handler","NYS Department of Labor","Licensing and Certification Unit","Harriman Campus, Bldg. 12, Room 161A,","Albany","NY","12240","5184572735","https://statistics.labor.ny.gov/olcny/asbestos-handler.shtm","47-4041","Hazardous Materials Removal Workers",
"Athlete Agent","NYS Department of State","Division of Licensing Services","99 Washington Avenue","Albany","NY","12201","5184744429","https://statistics.labor.ny.gov/olcny/athlete-agent.shtm","29-9091","Athletic Trainers","POINT (-73.759668 42.654645)"
"Audiologist","NYS Education Department","Office of the Professions","89 Washington Avenue","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/audiologists.shtm","29-1181","Audiologists","POINT (-73.757764 42.65355)"
"Backflow Prevention Device Tester","NYS Department of Health","Environmental Health Protection","Empire State Plaza - Corning Tower, Rm 1110","Albany","NY","12237","5184027650","https://statistics.labor.ny.gov/olcny/backflow.shtm","51-8031","Water and Liquid Waste Treatment Plant and Systems Operators",
"Bailbond Agent","NYS Department of Financial Services","Application and Licensing","One Commerce Plaza","Albany","NY","12257","5184746630","https://statistics.labor.ny.gov/olcny/bailbond-agent.shtm","13-2099","Financial Specialists, All Other",
"Barber","NYS Department of State","Division of Licensing Services","99 Washington Avenue","Albany","NY","12201","5184744429","https://statistics.labor.ny.gov/olcny/barbers.shtm","39-5011","Barbers","POINT (-73.759668 42.654645)"
"Blaster","NYS Department of Labor","Division of Safety and Health","State Office Campus, Building 12, Room 161","Albany","NY","12240","5184857815","https://statistics.labor.ny.gov/olcny/blasters.shtm","47-5031","Explosives Workers, Ordnance Handling Experts, and Blasters",
"Boiler Inspector","NYS Department of Labor","Division of Safety and Health","State Office Campus, Building 12, Room 165","Albany","NY","12240","5184572722","https://statistics.labor.ny.gov/olcny/boiler-inspector.shtm","47-4011","Construction and Building Inspectors",
"Bus Driver","NYS Department of Motor Vehicles","Bus Driver Unit","6 Empire State Plaza, Room 331","Albany","NY","12228","5184739455","https://statistics.labor.ny.gov/olcny/bus-driver.shtm","53-3021","Bus Drivers, Transit and Intercity",
"Certified Athletic Trainer","NYS Education Department","Office of the Professions","89 Washington Avenue - 2nd Flr.","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/certified-athletic-trainer.shtm","29-9091","Athletic Trainers","POINT (-73.757764 42.65355)"
"Certified Behavior Analyst Assistant","NYS Education Department","Office of the Professions","89 Washington Avenue","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/certified-behavior-analyst-assistants.shtm","21-1093","Social and Human Service Assistants","POINT (-73.757764 42.65355)"
"Certified Clinical Laboratory Technician","NYS Education Department","Office of the Professions","89 Washington Avenue - 2nd Flr.","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/clinical-laboratory-technology.shtm","29-2011","Medical and Clinical Laboratory Technologists","POINT (-73.757764 42.65355)"
"Certified Dental Assistant","NYS Education Department","Office of the Professions","89 Washington Avenue - 2nd Flr.","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/certified-dental-assistant.shtm","31-9091","Dental Assistants","POINT (-73.757764 42.65355)"
"Certified Examiner - Bus Driver","NYS Department of Motor Vehicles","Bus Driver Unit","6 Empire State Plaza, Room 524","Albany","NY","12228","5184745485","https://statistics.labor.ny.gov/olcny/certified-examiner-bus-driver.shtm","13-1041","Licensing Examiners and Inspectors",
"Certified First Responder","NYS Department of Health","Bureau of Emergency Medical Services","875 Central Avenue","Albany","NY","12206","5184020996","https://statistics.labor.ny.gov/olcny/certified-first-responder.shtm","29-2041","Emergency Medical Technicians","POINT (-73.790185 42.680214)"
"Certified Histological Technician","NYS Education Department","Office of the Professions","89 Washington Avenue - 2nd Flr.","Albany","NY","12234","5184743817","https://statistics.labor.ny.gov/olcny/clinical-laboratory-technology.shtm","29-2011","Medical and Clinical Laboratory Technologists","POINT (-73.757764 42.65355)"
"Certified Milk Inspector","NYS Department of Agriculture and Markets","Division of Milk Control and Dairy Services","10B Airline Drive","Albany","NY","12235","5184571772","https://statistics.labor.ny.gov/olcny/milk.shtm","45-2011","Agricultural Inspectors","POINT (-73.81954 42.735803)"
