"vendor","fiscalyear","quarter","paymentamount"
"1220 EXHIBITS INC","2017-2018","3","27700.00"
"1220 EXHIBITS INC","2017-2018","2","112457.00"
"1220 EXHIBITS INC","2017-2018","1","210400.00"
"1220 EXHIBITS INC","2016-2017","4","41270.00"
"1220 EXHIBITS INC","2016-2017","3","105200"
"1220 EXHIBITS INC","2016-2017","2","109122"
"192 BRANCH INTERIOR SERVICES INC","2020-2021","2","94164"
"192 BRANCH INTERIOR SERVICES INC","2020-2021","1","259586"
"192 BRANCH INTERIOR SERVICES INC","2019-2020","4","128168"
"192 BRANCH INTERIOR SERVICES INC","2019-2020","3","28965"
"192 BRANCH INTERIOR SERVICES INC","2019-2020","2","113458"
"192 BRANCH INTERIOR SERVICES INC","2019-2020","1","85252"
"192 BRANCH INTERIOR SERVICES INC","2018-2019","3","21105"
"192 BRANCH INTERIOR SERVICES INC","2015-2016","2","22563"
"192 BRANCH INTERIOR SERVICES INC","2014-2015","4","56028"
"192 BRANCH INTERIOR SERVICES INC","2014-2015","2","106379.00"
"34 GROUP INC","2022-2023","1","31535.72"
"34 GROUP INC","2021-2022","3","42723.4"
"514 POTTER AVE CORP","2015-2016","1","11852"
"514 POTTER AVE CORP","2014-2015","4","21632.72"
"514 POTTER AVE CORP","2014-2015","3","37795.56"
"514 POTTER AVE CORP","2014-2015","1","38391.78"
"A-1 CONSTRUCTION & PAINTING INC","2014-2015","3","27521.01"
"A-1 CONSTRUCTION & PAINTING INC","2014-2015","2","117652.65"
"A-1 CONSTRUCTION & PAINTING INC","2014-2015","1","230921.34"
"AAA WINDOWS AND DOORS CORP","2018-2019","4","10826.75"
"AAA WINDOWS AND DOORS CORP","2018-2019","3","52839"
"AAA WINDOWS AND DOORS CORP","2018-2019","2","48901.25"
"A A D CONSTRUCTION CORP","2018-2019","1","230194"
"A A D CONSTRUCTION CORP","2016-2017","3","288145.38"
"A A D CONSTRUCTION CORP","2016-2017","2","363284.67"
"A A D CONSTRUCTION CORP","2016-2017","1","132886.55"
"A A D CONSTRUCTION CORP","2015-2016","3","78002.12"
"A A D CONSTRUCTION CORP","2015-2016","1","413307.12"
"A A D CONSTRUCTION CORP","2014-2015","3","789133.87"
"A A D CONSTRUCTION CORP","2014-2015","2","439306.36"
"A A D CONSTRUCTION CORP","2014-2015","1","140717.32"
"ABCD CONSTRUCTION CORP","2019-2020","1","703878.2"
"ABCD CONSTRUCTION CORP","2018-2019","1","415497.71"
"ABCD CONSTRUCTION CORP","2017-2018","4","619963.33"
"ABCD CONSTRUCTION CORP","2017-2018","3","91639.94"
"ABCD CONSTRUCTION CORP","2017-2018","2","277034.53"
"ABCD CONSTRUCTION CORP","2017-2018","1","214987.90"
"ABCD CONSTRUCTION CORP","2016-2017","4","790358.38"
"ABCD CONSTRUCTION CORP","2016-2017","3","628459.74"
"ABCD CONSTRUCTION CORP","2016-2017","2","833172.83"
"ABCD CONSTRUCTION CORP","2016-2017","1","348733.86"
"ABCD CONSTRUCTION CORP","2015-2016","4","186673.77"
"ABCD CONSTRUCTION CORP","2015-2016","3","464156.64"
"ABCD CONSTRUCTION CORP","2015-2016","2","350056.63"
"ABCD CONSTRUCTION CORP","2015-2016","1","809260.27"
"ABCD CONSTRUCTION CORP","2014-2015","4","613240.58"
"ABCD CONSTRUCTION CORP","2014-2015","3","214947.19"
"ABCD CONSTRUCTION CORP","2014-2015","2","144345.28"
"ABCD CONSTRUCTION CORP","2014-2015","1","227498.97"
"ABSCOPE ENVIRONMENTAL INC","2014-2015","4","7962.95"
"ABSCOPE ENVIRONMENTAL INC","2014-2015","2","137728.05"
"ACE CONTRACTING INC","2016-2017","2","27666.84"
"ACE CONTRACTING INC","2016-2017","1","21813.16"
"ACE CONTRACTING INC","2015-2016","4","11440"
"ACE CONTRACTING INC","2015-2016","2","198613.52"
"ACE CONTRACTING INC","2015-2016","1","257294.48"
"ACE CONTRACTING INC","2014-2015","1","19389.74"
"ACKERMAN PLUMBING INC","2016-2017","3","17152.48"
"ACKERMAN PLUMBING INC","2015-2016","4","33428.78"
"ACKERMAN PLUMBING INC","2015-2016","2","39454.03"
"ACKERMAN PLUMBING INC","2015-2016","1","18825.55"
"ACKERMAN PLUMBING INC","2014-2015","4","142698.31"
"ACKERMAN PLUMBING INC","2014-2015","3","278238.85"
"ACKERMAN PLUMBING INC","2014-2015","2","105061.89"
"ACKERMAN PLUMBING INC","2014-2015","1","119109.06"
"A COLARUSSO & SON INC","2015-2016","3","27191.69"
"A COLARUSSO & SON INC","2015-2016","1","69551.2"
"A COLARUSSO & SON INC","2014-2015","1","164167.11"
"ACS SYSTEM ASSOCIATES INC","2022-2023","1","221402.01"
"ACS SYSTEM ASSOCIATES INC","2021-2022","4","97803.27"
"ACS SYSTEM ASSOCIATES INC","2021-2022","3","324061.71"
"ACS SYSTEM ASSOCIATES INC","2021-2022","2","211864.18"
"ACS SYSTEM ASSOCIATES INC","2021-2022","1","504579.33"
"ACS SYSTEM ASSOCIATES INC","2020-2021","4","191208"
"ACS SYSTEM ASSOCIATES INC","2016-2017","4","71081.00"
"ACS SYSTEM ASSOCIATES INC","2016-2017","3","77537.61"
"ACS SYSTEM ASSOCIATES INC","2016-2017","1","30866.45"
"ACS SYSTEM ASSOCIATES INC","2015-2016","4","121013.99"
"ACS SYSTEM ASSOCIATES INC","2015-2016","3","60898.63"
"ACS SYSTEM ASSOCIATES INC","2015-2016","2","372186.03"
"ACS SYSTEM ASSOCIATES INC","2015-2016","1","30996"
"ACS SYSTEM ASSOCIATES INC","2014-2015","4","73523"
"ACS SYSTEM ASSOCIATES INC","2014-2015","3","219276"
"ACS SYSTEM ASSOCIATES INC","2014-2015","2","338485.75"
"ACS SYSTEM ASSOCIATES INC","2014-2015","1","163282.66"
"ACTS II CONSTRUCTION INC","2016-2017","3","34621"
"ACTS II CONSTRUCTION INC","2016-2017","1","28221.5"
"ACTS II CONSTRUCTION INC","2015-2016","3","246097.50"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2022-2023","1","68047"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2021-2022","4","72534"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2021-2022","3","94577"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2021-2022","2","124232"
