"region","pin","county","cont_no","sh","descript","bin","executed","numbersheets","route","loc_municipality","url"
"1",,"Albany","P 1-03-0176",,"Albany Ring #3 Wolf Road Connection",,,"0",,,"https://rpol.dot.ny.gov/?id=P-1-03-0176"
"2",,"MONTGOMERY","RC 1620","0107","BRIDGE;",,"1927-04-28T00:00:00.000","3","NY30A","T-Glen","https://rpol.dot.ny.gov/?id=RC-1620"
"4",,"Monroe","P 2019-04-74588",,"Laurelton Bayside Animal Hospital",,,"1",,,"https://rpol.dot.ny.gov/?id=P-2019-04-74588"
,"X731.45.121","BRONX","D900040","I-278",,,,"0",,,"https://rpol.dot.ny.gov/?id=D900040"
"8",,"ULSTER","RC 66-125",,"TREE REMOVAL;",,"1966-09-23T00:00:00.000","5",,,"https://rpol.dot.ny.gov/?id=RC-66-125"
"3","3700.02","ONONDAGA","A72-3-1",,"Emergency Repairs.",,"1972-11-23T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=A72-3-1"
"4","4700.16","LIVINGSTON","A72-4-1",,"Emergency Repairs.",,"1972-10-14T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=A72-4-1"
"4","4700.34","LIVINGSTON","A72-4-2",,"Emergency Repairs.",,"1972-10-11T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=A72-4-2"
"4","4700.21","LIVINGSTON","A72-4-3",,"Emergency Repairs.",,"1972-10-18T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=A72-4-3"
"11",,"BRONX","BE 62-2","BE","LANDSCAPING,;RT. I-95;",,"1962-09-26T00:00:00.000","18",,,"https://rpol.dot.ny.gov/?id=BE-62-2"
"11",,"BRONX","BE 65-1","BE","MISC.,;RT. I-95;",,"1965-03-25T00:00:00.000","7",,,"https://rpol.dot.ny.gov/?id=BE-65-1"
"9",,"BROOME","CR 64-4",,"CEMETERY REMOVAL,;RT. 17;",,"1964-12-15T00:00:00.000","2",,,"https://rpol.dot.ny.gov/?id=CR-64-4"
"8",,"COLUMBIA","CR 65-1","0615","CEMETERY REMOVAL;",,"1965-07-08T00:00:00.000",,"980C, NY22, US20","T-New Lebanon","https://rpol.dot.ny.gov/?id=CR-65-1"
"5",,"CATTARAUGUS","CR 68-1","STE","CEMETERY REMOVAL,;RT. 17, SECT. 5S;",,"1968-05-08T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=CR-68-1"
"4","4158.05","WYOMING","D250460","68--09","A.C. RESURFACING;",,"1983-04-11T00:00:00.000",,"NY77","T-Java, T-Sheldon","https://rpol.dot.ny.gov/?id=D250460"
"7","M704.00","LEWIS","D250616","1490","BRIDGE PAINTING;",,"1983-06-24T00:00:00.000",,"NY177","T-Pinckney","https://rpol.dot.ny.gov/?id=D250616"
"9","M904.00","CHENANGO, DELAWARE","D250646",,"BRIDGE PAINTING ON RT. 41, 30;",,"1983-07-28T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=D250646"
"7","7720.40","CLINTON","D250815",,"COMFORT STATION; PLUMBING",,"1984-01-24T00:00:00.000","21",,,"https://rpol.dot.ny.gov/?id=D250815"
"1","9682.22","GREENE","D96822",,"EMERGENCY REPAIRS ON RT. 23A;",,"1981-05-01T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=D96822"
"10",,"NASSAU, SUFFOLK","NSP 52-1","NSP, SSP","LANDSCAPING;",,"1952-03-28T00:00:00.000","1",,,"https://rpol.dot.ny.gov/?id=NSP-52-1"
"4",,"Monroe","P 2019-04-72835",,"Final Section Plans for Alpine Ridge Subdivision",,,"20",,,"https://rpol.dot.ny.gov/?id=P-2019-04-72835"
"4",,"Monroe","P 2019-04-72835",,"Final Section Plans for Alpine Ridge Subdivision",,,"20",,,"https://rpol.dot.ny.gov/?id=P-2019-04-72835"
"4",,"Monroe","P 2019-04-73206",,"Gascon Winery Mendon Ionia Road",,,"6",,,"https://rpol.dot.ny.gov/?id=P-2019-04-73206"
"4",,"Monmroe","P 2019-04-73671",,"Final Section 1 Utility Plans for Alpine Ridge Subdivision",,,"3",,,"https://rpol.dot.ny.gov/?id=P-2019-04-73671"
"6",,"CHEMUNG","PSC 3202","PSC 3202","RAILROAD BRIDGES,;MADISON, LAKE, WASHINGTON STS.;",,"1932-02-16T00:00:00.000","1",,,"https://rpol.dot.ny.gov/?id=PSC-3202"
"8",,"COLUMBIA","PSC 3334","PSC 3334","RAILROAD BRIDGE AT MARTINDALE RD.;",,"1928-11-01T00:00:00.000","7",,,"https://rpol.dot.ny.gov/?id=PSC-3334"
"2","2700.02","HERKIMER","A72-2-1",,"Emergency Repairs.",,"1972-10-11T00:00:00.000",,,,"https://rpol.dot.ny.gov/?id=A72-2-1"
